package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gpclib", "append.poly", -1, 0, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", 0, 0, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", 1, 0, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", -1, 1, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", 0, 1, 0, "class<`gpc.poly.nohole`>", 1
"gpclib", "append.poly", 1, 1, 0, "class<`gpc.poly.nohole`>", 1
"gpclib", "append.poly", -1, 2, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", 0, 2, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", 0, 2, 1, "class<`gpc.poly.nohole`>", 1
"gpclib", "append.poly", 1, 2, 0, "class<`gpc.poly`>", 1
"gpclib", "append.poly", 1, 2, 1, "class<`gpc.poly.nohole`>", 1
"gpclib", "area", -1, 0, 0, "double", 1
"gpclib", "area", 0, 0, 0, "class<`matrix`>", 1
"gpclib", "area.poly", -1, 0, 0, "double", 1
"gpclib", "area.poly", 0, 0, 0, "class<`gpc.poly`>", 1
"gpclib", "area.poly", 1, 0, 0, "...", 1
"gpclib", "area.poly", -1, 1, 0, "double", 1
"gpclib", "area.poly", 0, 1, 0, "class<`gpc.poly`>", 1
"gpclib", "area.poly", 1, 1, 0, "...", 1
"gpclib", "asMethod", -1, 0, 0, "class<`gpc.poly`>", 1
"gpclib", "asMethod", 0, 0, 0, "double[]", 1
"gpclib", "asMethod", 1, 0, 0, "character", 1
"gpclib", "asMethod", 2, 0, 0, "logical", 1
"gpclib", "asMethod", -1, 1, 0, "class<`gpc.poly`>", 1
"gpclib", "asMethod", 0, 1, 0, "class<`matrix`>", 1
"gpclib", "asMethod", 1, 1, 0, "character", 1
"gpclib", "asMethod", 2, 1, 0, "logical", 1
"gpclib", "asMethod", -1, 2, 0, "double[]", 1
"gpclib", "asMethod", 0, 2, 0, "class<`gpc.poly`>", 1
"gpclib", "asMethod", 1, 2, 0, "character", 1
"gpclib", "asMethod", 2, 2, 0, "logical", 1
"gpclib", "asMethod", -1, 3, 0, "class<`gpc.poly.nohole`>", 1
"gpclib", "asMethod", 0, 3, 0, "double[]", 1
"gpclib", "asMethod", 1, 3, 0, "character", 1
"gpclib", "asMethod", 2, 3, 0, "logical", 1
"gpclib", "asMethod", -1, 4, 0, "double[]", 1
"gpclib", "asMethod", 0, 4, 0, "class<`gpc.poly.nohole`>", 1
"gpclib", "asMethod", 1, 4, 0, "character", 1
"gpclib", "asMethod", 2, 4, 0, "logical", 1
"gpclib", "expand.poly", -1, 0, 0, "list<list<double[]>>", 1
"gpclib", "expand.poly", 0, 0, 0, "double[]", 1
"gpclib", "expand.poly", -1, 1, 0, "list<list<double[]>>", 1
"gpclib", "expand.poly", 0, 1, 0, "double[]", 1
