package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gridExtra", "align_2", -1, 0, 0, "list<class<`gDesc`, `gTree`, `grob`, `gtable`>>", 1
"gridExtra", "align_2", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "align_2", 1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "align_2", 2, 0, 0, "double", 1
"gridExtra", "align_2", 3, 0, 0, "character", 1
"gridExtra", "arrangeGrob", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "arrangeGrob", 0, 0, 0, "...", 1
"gridExtra", "arrangeGrob", 1, 0, 0, "list<class<`gDesc`, `grob`, `rect`>>", 1
"gridExtra", "arrangeGrob", 1, 0, 1, "list<class<`gDesc`, `gTree`, `grob`>>", 1
"gridExtra", "arrangeGrob", 1, 0, 2, "list<class<`gDesc`, `gTree`, `grob`, `gtable`>>", 1
"gridExtra", "arrangeGrob", 2, 0, 0, "any", 1
"gridExtra", "arrangeGrob", 3, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 4, 0, 0, "character", 1
"gridExtra", "arrangeGrob", 5, 0, 0, "logical", 1
"gridExtra", "arrangeGrob", 6, 0, 0, "logical", 1
"gridExtra", "arrangeGrob", 7, 0, 0, "character", 1
"gridExtra", "arrangeGrob", 8, 0, 0, "double", 1
"gridExtra", "arrangeGrob", 8, 0, 1, "null", 1
"gridExtra", "arrangeGrob", 9, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 9, 0, 1, "double", 1
"gridExtra", "arrangeGrob", 10, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 11, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 12, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 12, 0, 1, "character", 1
"gridExtra", "arrangeGrob", 13, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 13, 0, 1, "character", 1
"gridExtra", "arrangeGrob", 14, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 14, 0, 1, "character", 1
"gridExtra", "arrangeGrob", 15, 0, 0, "null", 1
"gridExtra", "arrangeGrob", 15, 0, 1, "character", 1
"gridExtra", "cbind_2", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "cbind_2", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "cbind_2", 1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "cbind_2", 2, 0, 0, "character", 1
"gridExtra", "col_widths", -1, 0, 0, "class<`unit`, `unit.list`>", 1
"gridExtra", "col_widths", 0, 0, 0, "class<`matrix`>", 1
"gridExtra", "combine_2", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "combine_2", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "combine_2", 1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gridExtra", "combine_2", 2, 0, 0, "double", 1
"gridExtra", "combine_2", 3, 0, 0, "character", 1
"gridExtra", "%contains%", -1, 0, 0, "logical", 1
"gridExtra", "%contains%", 0, 0, 0, "character[]", 1
"gridExtra", "%contains%", 1, 0, 0, "character[]", 1
"gridExtra", "ellipseGrob", -1, 0, 0, "class<`gDesc`, `grob`, `polygon`>", 1
"gridExtra", "ellipseGrob", 0, 0, 0, "class<`unit`, `unit.arithmetic`>", 1
"gridExtra", "ellipseGrob", 1, 0, 0, "class<`unit`, `unit.arithmetic`>", 1
"gridExtra", "ellipseGrob", 2, 0, 0, "double", 1
"gridExtra", "ellipseGrob", 3, 0, 0, "double[]", 1
