package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gridSVG", "animUnit", -1, 0, 0, "class<`animUnit`>", 1
"gridSVG", "animUnit", 0, 0, 0, "class<`unit`>", 1
"gridSVG", "animUnit", 1, 0, 0, "integer[]", 1
"gridSVG", "animUnit", 2, 0, 0, "integer[]", 1
"gridSVG", "animValue", -1, 0, 0, "class<`animValue`>", 1
"gridSVG", "animValue", 0, 0, 0, "character[]", 1
"gridSVG", "animValue", 1, 0, 0, "null", 1
"gridSVG", "animValue", 2, 0, 0, "null", 1
"gridSVG", "filter", -1, 0, 0, "logical[]", 1
"gridSVG", "filter", 0, 0, 0, "character[]", 1
"gridSVG", "fun", -1, 0, 0, "character[]", 1
"gridSVG", "fun", 0, 0, 0, "any", 1
"gridSVG", "fun", 1, 0, 0, "any", 1
