package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gsDesign", "$", -1, 0, 0, "class<`spendfn`>", 1
"gsDesign", "$", 0, 0, 0, "double", 1
"gsDesign", "$", 1, 0, 0, "double[]", 1
"gsDesign", "$", 2, 0, 0, "double", 1
"gsDesign", "$", -1, 1, 0, "class<`n2dependent`, `numeric`>", 1
"gsDesign", "$", 0, 1, 0, "double[]", 1
"gsDesign", "$", 1, 1, 0, "class<`gsDesign`>", 1
"gsDesign", "$", 2, 1, 0, "double", 1
"gsDesign", "$", 2, 1, 1, "class<`n2dependent`, `numeric`>", 1
"gsDesign", "$", 3, 1, 0, "...", 1
"gsDesign", "$", -1, 2, 0, "class<`spendfn`>", 1
"gsDesign", "$", 0, 2, 0, "double", 1
"gsDesign", "$", 1, 2, 0, "double[]", 1
"gsDesign", "$", 2, 2, 0, "double[]", 1
"gsDesign", "$", -1, 3, 0, "class<`n2independent`, `numeric`>", 1
"gsDesign", "$", 0, 3, 0, "double[]", 1
"gsDesign", "$", 1, 3, 0, "class<`gsDesign`>", 1
"gsDesign", "$", 2, 3, 0, "...", 1
"gsDesign", "$", -1, 4, 0, "class<`spendfn`>", 1
"gsDesign", "$", 0, 4, 0, "double", 1
"gsDesign", "$", 1, 4, 0, "double[]", 1
"gsDesign", "$", 2, 4, 0, "double", 1
"gsDesign", "$", -1, 5, 0, "class<`spendfn`>", 1
"gsDesign", "$", 0, 5, 0, "double", 1
"gsDesign", "$", 1, 5, 0, "double[]", 1
"gsDesign", "$", 2, 5, 0, "double[]", 1
"gsDesign", "binomialSPRT", -1, 0, 0, "class<`binomialSPRT`, `gsBinomialExact`, `gsProbability`>", 1
"gsDesign", "binomialSPRT", 0, 0, 0, "double", 1
"gsDesign", "binomialSPRT", 1, 0, 0, "double", 1
"gsDesign", "binomialSPRT", 2, 0, 0, "double", 1
"gsDesign", "binomialSPRT", 3, 0, 0, "double", 1
"gsDesign", "binomialSPRT", 4, 0, 0, "double", 1
"gsDesign", "binomialSPRT", 5, 0, 0, "double", 1
"gsDesign", "checkLengths", -1, 0, 0, "any", 1
"gsDesign", "checkLengths", 0, 0, 0, "...", 1
"gsDesign", "checkLengths", 1, 0, 0, "logical", 1
"gsDesign", "checkRange", -1, 0, 0, "any", 1
"gsDesign", "checkRange", 0, 0, 0, "class<`array`>", 1
"gsDesign", "checkRange", 0, 0, 1, "double[]", 1
"gsDesign", "checkRange", 1, 0, 0, "double[]", 1
"gsDesign", "checkRange", 2, 0, 0, "logical[]", 1
"gsDesign", "checkRange", 3, 0, 0, "any", 1
"gsDesign", "checkRange", 4, 0, 0, "double", 1
