package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gsubfn", "as.function.formula", -1, 0, 0, "class<`function`>", 1
"gsubfn", "as.function.formula", 0, 0, 0, "class<`formula`>", 1
"gsubfn", "as.function.formula", 1, 0, 0, "...", 1
"gsubfn", "$.fn", -1, 0, 0, "class<`function`>", 1
"gsubfn", "$.fn", 0, 0, 0, "class<`fn`>", 1
"gsubfn", "$.fn", 1, 0, 0, "character", 1
"gsubfn", "gsubfn", -1, 0, 0, "character[]", 1
"gsubfn", "gsubfn", 0, 0, 0, "any", 1
"gsubfn", "gsubfn", 1, 0, 0, "any", 1
"gsubfn", "gsubfn", 2, 0, 0, "character[]", 1
"gsubfn", "gsubfn", 3, 0, 0, "any", 1
"gsubfn", "gsubfn", 4, 0, 0, "logical", 1
"gsubfn", "gsubfn", 5, 0, 0, "logical", 1
"gsubfn", "gsubfn", 6, 0, 0, "null", 1
"gsubfn", "gsubfn", 6, 0, 1, "character", 1
"gsubfn", "gsubfn", 7, 0, 0, "environment", 1
"gsubfn", "gsubfn", 8, 0, 0, "...", 1
"gsubfn", "match.funfn", -1, 0, 0, "class<`function`>", 1
"gsubfn", "match.funfn", -1, 0, 1, "class<`protoMethod`>", 1
"gsubfn", "match.funfn", 0, 0, 0, "character", 1
"gsubfn", "match.funfn", 0, 0, 1, "class<`formula`>", 1
"gsubfn", "match.funfn", 0, 0, 2, "class<`function`>", 1
"gsubfn", "match.funfn", 0, 0, 3, "class<`result`>", 1
"gsubfn", "match.funfn", 0, 0, 4, "class<`protoMethod`>", 1
"gsubfn", "match.funfn", 1, 0, 0, "logical", 1
"gsubfn", "ostrapply", -1, 0, 0, "class<`matrix`>", 1
"gsubfn", "ostrapply", -1, 0, 1, "list<character[]>", 1
"gsubfn", "ostrapply", 0, 0, 0, "character[]", 1
"gsubfn", "ostrapply", 1, 0, 0, "character", 1
"gsubfn", "ostrapply", 2, 0, 0, "class<`environment`, `proto`>", 1
"gsubfn", "ostrapply", 2, 0, 1, "class<`function`>", 1
"gsubfn", "ostrapply", 3, 0, 0, "logical", 1
"gsubfn", "ostrapply", 4, 0, 0, "...", 1
"gsubfn", "ostrapply", 5, 0, 0, "any", 1
"gsubfn", "ostrapply", 6, 0, 0, "class<`formula`>", 1
"gsubfn", "ostrapply", 6, 0, 1, "logical", 1
"gsubfn", "ostrapply", 7, 0, 0, "logical", 1
"gsubfn", "ostrapply", 8, 0, 0, "class<`function`>", 1
"gsubfn", "read.pattern", -1, 0, 0, "class<`data.frame`>", 1
"gsubfn", "read.pattern", 0, 0, 0, "any", 1
"gsubfn", "read.pattern", 1, 0, 0, "character", 1
"gsubfn", "read.pattern", 2, 0, 0, "logical", 1
"gsubfn", "read.pattern", 3, 0, 0, "character", 1
"gsubfn", "read.pattern", 4, 0, 0, "character", 1
"gsubfn", "read.pattern", 5, 0, 0, "character", 1
"gsubfn", "read.pattern", 6, 0, 0, "...", 1
"gsubfn", "[<-.result", -1, 0, 0, "class<`result`>", 1
"gsubfn", "[<-.result", 0, 0, 0, "class<`result`>", 1
"gsubfn", "[<-.result", 1, 0, 0, "...", 1
"gsubfn", "[<-.result", 2, 0, 0, "class<`eigen`>", 1
"gsubfn", "[<-.result", 2, 0, 1, "class<`lm`>", 1
"gsubfn", "[<-.result", 2, 0, 2, "class<`matrix`>", 1
"gsubfn", "[<-.result", 2, 0, 3, "class<`qr`>", 1
"gsubfn", "[<-.result", 2, 0, 4, "list<double>", 1
"gsubfn", "strapply", -1, 0, 0, "character[]", 1
"gsubfn", "strapply", -1, 0, 1, "class<`matrix`>", 1
"gsubfn", "strapply", -1, 0, 2, "list<character[] | list<character[]>>", 1
"gsubfn", "strapply", 0, 0, 0, "character[]", 1
"gsubfn", "strapply", 1, 0, 0, "character", 1
"gsubfn", "strapply", 2, 0, 0, "class<`function`>", 1
"gsubfn", "strapply", 2, 0, 1, "class<`result`>", 1
"gsubfn", "strapply", 2, 0, 2, "class<`environment`, `proto`>", 1
"gsubfn", "strapply", 3, 0, 0, "any", 1
"gsubfn", "strapply", 4, 0, 0, "...", 1
"gsubfn", "strapply", 5, 0, 0, "any", 1
"gsubfn", "strapply", 6, 0, 0, "logical", 1
"gsubfn", "strapply", 7, 0, 0, "logical", 1
"gsubfn", "strapply", 8, 0, 0, "any", 1
"gsubfn", "strapply", 9, 0, 0, "class<`function`>", 1
"gsubfn", "strapply", 9, 0, 1, "logical", 1
"gsubfn", "strapply", 9, 0, 2, "class<`formula`>", 1
"gsubfn", "strapply", 10, 0, 0, "any", 1
"gsubfn", "strapply", 11, 0, 0, "class<`function`>", 1
"gsubfn", "strapply", 11, 0, 1, "class<`result`>", 1
"gsubfn", "strapply1", -1, 0, 0, "class<`matrix`>", 1
"gsubfn", "strapply1", 0, 0, 0, "character", 1
"gsubfn", "strapply1", 1, 0, 0, "character", 1
"gsubfn", "strapply1", 2, 0, 0, "null", 1
"gsubfn", "strapply1", 3, 0, 0, "logical", 1
"gsubfn", "strapplyc", -1, 0, 0, "list<character[]>", 1
"gsubfn", "strapplyc", 0, 0, 0, "character[]", 1
"gsubfn", "strapplyc", 1, 0, 0, "character", 1
"gsubfn", "strapplyc", 2, 0, 0, "null", 1
"gsubfn", "strapplyc", 3, 0, 0, "logical", 1
"gsubfn", "strapplyc", 4, 0, 0, "logical", 1
"gsubfn", "strapplyc", 5, 0, 0, "any", 1
"gsubfn", "strapplyc", 6, 0, 0, "any", 1
"gsubfn", "tclList2R", -1, 0, 0, "list<character[]>", 1
"gsubfn", "tclList2R", 0, 0, 0, "character", 1
"gsubfn", "tclList2R", 1, 0, 0, "class<`function`>", 1
"gsubfn", "transform2", -1, 0, 0, "class<`data.frame`>", 1
"gsubfn", "transform2", 0, 0, 0, "any", 1
"gsubfn", "transform2", 1, 0, 0, "...", 1
