package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"gtable", "%||%", -1, 0, 0, "class<`unit`>", 1
"gtable", "%||%", 0, 0, 0, "null", 1
"gtable", "%||%", 1, 0, 0, "class<`unit`>", 1
"gtable", "cbind_gtable", -1, 0, 0, "any", 1
"gtable", "cbind_gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "cbind_gtable", 1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "cbind_gtable", 2, 0, 0, "any", 1
"gtable", "compare_unit", -1, 0, 0, "class<`unit`>", 1
"gtable", "compare_unit", 0, 0, 0, "class<`unit`>", 1
"gtable", "compare_unit", 1, 0, 0, "class<`unit`>", 1
"gtable", "compare_unit", 2, 0, 0, "class<`function`>", 1
"gtable", "dim.gtable", -1, 0, 0, "integer[]", 1
"gtable", "dim.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "dimnames<-.gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "dimnames<-.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "dimnames<-.gtable", 1, 0, 0, "list<double[] | character[] | double[] | null | integer[] | null>", 1
"gtable", "dimnames.gtable", -1, 0, 0, "list<any>", 1
"gtable", "dimnames.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "dimnames.gtable", 1, 0, 0, "...", 1
"gtable", "gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable", 0, 0, 0, "class<`unit`>", 1
"gtable", "gtable", 1, 0, 0, "class<`unit`>", 1
"gtable", "gtable", 2, 0, 0, "logical", 1
"gtable", "gtable", 3, 0, 0, "character", 1
"gtable", "gtable", 4, 0, 0, "null", 1
"gtable", "gtable", 5, 0, 0, "null", 1
"gtable", "gtable", 6, 0, 0, "null", 1
"gtable", "[.gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "[.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "[.gtable", 1, 0, 0, "any", 1
"gtable", "[.gtable", 2, 0, 0, "any", 1
"gtable", "gtable_add_cols", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_cols", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_cols", 1, 0, 0, "class<`unit`>", 1
"gtable", "gtable_add_cols", 2, 0, 0, "double", 1
"gtable", "gtable_add_col_space", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_col_space", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_col_space", 1, 0, 0, "class<`unit`>", 1
"gtable", "gtable_add_grob", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_grob", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_grob", 1, 0, 0, "class<`circle`, `gDesc`, `grob`>", 1
"gtable", "gtable_add_grob", 1, 0, 1, "class<`gDesc`, `grob`, `points`>", 1
"gtable", "gtable_add_grob", 1, 0, 2, "class<`gDesc`, `grob`, `rect`>", 1
"gtable", "gtable_add_grob", 1, 0, 3, "class<`matrix`>", 1
"gtable", "gtable_add_grob", 1, 0, 4, "list<class<`gDesc`, `grob`, `rect`> | class<`circle`, `gDesc`, `grob`> | class<`gDesc`, `grob`, `lines`>>", 1
"gtable", "gtable_add_grob", 2, 0, 0, "double", 1
"gtable", "gtable_add_grob", 2, 0, 1, "integer[]", 1
"gtable", "gtable_add_grob", 3, 0, 0, "double", 1
"gtable", "gtable_add_grob", 3, 0, 1, "integer[]", 1
"gtable", "gtable_add_grob", 4, 0, 0, "double", 1
"gtable", "gtable_add_grob", 4, 0, 1, "integer[]", 1
"gtable", "gtable_add_grob", 5, 0, 0, "double", 1
"gtable", "gtable_add_grob", 5, 0, 1, "integer[]", 1
"gtable", "gtable_add_grob", 6, 0, 0, "double[]", 1
"gtable", "gtable_add_grob", 7, 0, 0, "character", 1
"gtable", "gtable_add_grob", 8, 0, 0, "character", 1
"gtable", "gtable_add_padding", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_padding", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_padding", 1, 0, 0, "class<`unit`>", 1
"gtable", "gtable_add_rows", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_rows", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_rows", 1, 0, 0, "class<`unit`>", 1
"gtable", "gtable_add_rows", 2, 0, 0, "double", 1
"gtable", "gtable_add_row_space", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_row_space", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_add_row_space", 1, 0, 0, "class<`unit`>", 1
"gtable", "gtable_col", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_col", 0, 0, 0, "character", 1
"gtable", "gtable_col", 1, 0, 0, "list<class<`gDesc`, `grob`, `rect`> | class<`circle`, `gDesc`, `grob`> | class<`gDesc`, `grob`, `lines`>>", 1
"gtable", "gtable_col", 2, 0, 0, "null", 1
"gtable", "gtable_col", 3, 0, 0, "null", 1
"gtable", "gtable_col", 4, 0, 0, "null", 1
"gtable", "gtable_col", 5, 0, 0, "null", 1
"gtable", "gtable_filter", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_filter", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_filter", 1, 0, 0, "character", 1
"gtable", "gtable_filter", 2, 0, 0, "logical", 1
"gtable", "gtable_filter", 3, 0, 0, "logical", 1
"gtable", "gtable_filter", 4, 0, 0, "logical", 1
"gtable", "gtable_layout", -1, 0, 0, "class<`layout`>", 1
"gtable", "gtable_layout", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_matrix", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_matrix", 0, 0, 0, "character", 1
"gtable", "gtable_matrix", 1, 0, 0, "class<`matrix`>", 1
"gtable", "gtable_matrix", 2, 0, 0, "class<`unit`>", 1
"gtable", "gtable_matrix", 3, 0, 0, "class<`unit`>", 1
"gtable", "gtable_matrix", 4, 0, 0, "class<`matrix`>", 1
"gtable", "gtable_matrix", 4, 0, 1, "null", 1
"gtable", "gtable_matrix", 5, 0, 0, "logical", 1
"gtable", "gtable_matrix", 6, 0, 0, "character", 1
"gtable", "gtable_matrix", 7, 0, 0, "null", 1
"gtable", "gtable_row", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_row", 0, 0, 0, "character", 1
"gtable", "gtable_row", 1, 0, 0, "list<class<`gDesc`, `grob`, `rect`> | class<`circle`, `gDesc`, `grob`> | class<`gDesc`, `grob`, `lines`>>", 1
"gtable", "gtable_row", 2, 0, 0, "null", 1
"gtable", "gtable_row", 3, 0, 0, "null", 1
"gtable", "gtable_row", 4, 0, 0, "null", 1
"gtable", "gtable_row", 5, 0, 0, "null", 1
"gtable", "gtable_show_layout", -1, 0, 0, "class<`viewport`>", 1
"gtable", "gtable_show_layout", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_show_layout", 1, 0, 0, "...", 1
"gtable", "gtable_trim", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "gtable_trim", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "insert.unit", -1, 0, 0, "class<`unit`>", 1
"gtable", "insert.unit", 0, 0, 0, "class<`unit`>", 1
"gtable", "insert.unit", 1, 0, 0, "class<`unit`>", 1
"gtable", "insert.unit", 2, 0, 0, "double", 1
"gtable", "is.gtable", -1, 0, 0, "logical", 1
"gtable", "is.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "length.gtable", -1, 0, 0, "integer", 1
"gtable", "length.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "makeContent.gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "makeContent.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "makeContext.gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "makeContext.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "makeContext.gTableChild", -1, 0, 0, "class<`circle`, `gDesc`, `gTableChild`, `grob`>", 1
"gtable", "makeContext.gTableChild", -1, 0, 1, "class<`gDesc`, `gTableChild`, `grob`, `lines`>", 1
"gtable", "makeContext.gTableChild", -1, 0, 2, "class<`gDesc`, `gTableChild`, `grob`, `null`>", 1
"gtable", "makeContext.gTableChild", -1, 0, 3, "class<`gDesc`, `gTableChild`, `grob`, `points`>", 1
"gtable", "makeContext.gTableChild", -1, 0, 4, "class<`gDesc`, `gTableChild`, `grob`, `rect`>", 1
"gtable", "makeContext.gTableChild", 0, 0, 0, "class<`circle`, `gDesc`, `gTableChild`, `grob`>", 1
"gtable", "makeContext.gTableChild", 0, 0, 1, "class<`gDesc`, `gTableChild`, `grob`, `lines`>", 1
"gtable", "makeContext.gTableChild", 0, 0, 2, "class<`gDesc`, `gTableChild`, `grob`, `null`>", 1
"gtable", "makeContext.gTableChild", 0, 0, 3, "class<`gDesc`, `gTableChild`, `grob`, `points`>", 1
"gtable", "makeContext.gTableChild", 0, 0, 4, "class<`gDesc`, `gTableChild`, `grob`, `rect`>", 1
"gtable", "neg_to_pos", -1, 0, 0, "double", 1
"gtable", "neg_to_pos", -1, 0, 1, "integer[]", 1
"gtable", "neg_to_pos", 0, 0, 0, "double", 1
"gtable", "neg_to_pos", 0, 0, 1, "integer[]", 1
"gtable", "neg_to_pos", 1, 0, 0, "any", 1
"gtable", "new_data_frame", -1, 0, 0, "class<`data.frame`>", 1
"gtable", "new_data_frame", 0, 0, 0, "list<double[] | character[] | double | character>", 1
"gtable", "new_data_frame", 1, 0, 0, "double", 1
"gtable", "new_data_frame", 1, 0, 1, "null", 1
"gtable", "plot.gtable", -1, 0, 0, "null", 1
"gtable", "plot.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "plot.gtable", 1, 0, 0, "...", 1
"gtable", "rbind_gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "rbind_gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "rbind_gtable", 1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "rbind_gtable", 2, 0, 0, "character", 1
"gtable", "t.gtable", -1, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "t.gtable", 0, 0, 0, "class<`gDesc`, `gTree`, `grob`, `gtable`>", 1
"gtable", "vpname", -1, 0, 0, "character[]", 1
"gtable", "vpname", 0, 0, 0, "class<`data.frame`>", 1
