package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"hms", "as_hms", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "as_hms", 0, 0, 0, "character", 1
"hms", "as_hms", 0, 0, 1, "class<`difftime`>", 1
"hms", "as_hms", 0, 0, 2, "class<`POSIXct`, `POSIXt`>", 1
"hms", "as_hms", 0, 0, 3, "double", 1
"hms", "as.POSIXct.hms", -1, 0, 0, "class<`POSIXct`, `POSIXt`>", 1
"hms", "as.POSIXct.hms", 0, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "as.POSIXct.hms", 1, 0, 0, "...", 1
"hms", "check_args", -1, 0, 0, "null", 1
"hms", "check_args", 0, 0, 0, "list<double | null | null | integer[] | null>", 1
"hms", "hms", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "hms", 0, 0, 0, "double", 1
"hms", "hms", 0, 0, 1, "null", 1
"hms", "hms", 1, 0, 0, "double", 1
"hms", "hms", 1, 0, 1, "null", 1
"hms", "hms", 2, 0, 0, "double", 1
"hms", "hms", 2, 0, 1, "null", 1
"hms", "hms", 2, 0, 2, "integer[]", 1
"hms", "hms", 3, 0, 0, "null", 1
"hms", "map2", -1, 0, 0, "list<double[]>", 1
"hms", "map2", 0, 0, 0, "list<null | integer[] | null | double | null>", 1
"hms", "map2", 1, 0, 0, "double[]", 1
"hms", "map2", 2, 0, 0, "class<`function`>", 1
"hms", "map2", 3, 0, 0, "...", 1
"hms", "map_int", -1, 0, 0, "integer[]", 1
"hms", "map_int", 0, 0, 0, "list<integer[] | double>", 1
"hms", "map_int", 1, 0, 0, "class<`function`>", 1
"hms", "map_int", 2, 0, 0, "...", 1
"hms", "map_lgl", -1, 0, 0, "logical[]", 1
"hms", "map_lgl", 0, 0, 0, "list<any>", 1
"hms", "map_lgl", 1, 0, 0, "class<`function`>", 1
"hms", "map_lgl", 2, 0, 0, "...", 1
"hms", "map_mold", -1, 0, 0, "integer[]", 1
"hms", "map_mold", 0, 0, 0, "list<any>", 1
"hms", "map_mold", 1, 0, 0, "class<`function`>", 1
"hms", "map_mold", 2, 0, 0, "integer", 1
"hms", "map_mold", 3, 0, 0, "...", 1
"hms", "new_hms", -1, 0, 0, "any", 1
"hms", "new_hms", 0, 0, 0, "double[]", 1
"hms", "parse_hm", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "parse_hm", 0, 0, 0, "character", 1
"hms", "parse_hms", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "parse_hms", 0, 0, 0, "character", 1
"hms", "parse_time", -1, 0, 0, "class<`difftime`>", 1
"hms", "parse_time", 0, 0, 0, "character", 1
"hms", "parse_time", 1, 0, 0, "character", 1
"hms", "reduce", -1, 0, 0, "(double[] | null)", 1
"hms", "reduce", 0, 0, 0, "list<any>", 1
"hms", "reduce", 1, 0, 0, "any", 1
"hms", "reduce", 2, 0, 0, "...", 1
"hms", "reduce", 3, 0, 0, "any", 1
"hms", "round_hms", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "round_hms", 0, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "round_hms", 1, 0, 0, "double", 1
"hms", "trunc_hms", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "trunc_hms", 0, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "trunc_hms", 1, 0, 0, "double", 1
"hms", "vec_cast.hms", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms", 0, 0, 0, "character", 1
"hms", "vec_cast.hms", 0, 0, 1, "class<`difftime`>", 1
"hms", "vec_cast.hms", 0, 0, 2, "class<`POSIXct`, `POSIXt`>", 1
"hms", "vec_cast.hms", 0, 0, 3, "class<`POSIXlt`, `POSIXt`>", 1
"hms", "vec_cast.hms", 0, 0, 4, "double", 1
"hms", "vec_cast.hms", 1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms", 2, 0, 0, "...", 1
"hms", "vec_cast.hms.character", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms.character", 0, 0, 0, "character", 1
"hms", "vec_cast.hms.character", 1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms.character", 2, 0, 0, "...", 1
"hms", "vec_cast.hms.difftime", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms.difftime", 0, 0, 0, "class<`difftime`>", 1
"hms", "vec_cast.hms.difftime", 1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms.difftime", 2, 0, 0, "...", 1
"hms", "vec_cast.hms.double", -1, 0, 0, "class<`difftime`, `hms`>", 1
"hms", "vec_cast.hms.double", 0, 0, 0, "double", 1
