package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"htmltools", "$", -1, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "$", 0, 0, 0, "...", 1
"htmltools", "$", 1, 0, 0, "character", 1
"htmltools", "$", 1, 0, 1, "null", 1
"htmltools", "as.character.html", -1, 0, 0, "character", 1
"htmltools", "as.character.html", 0, 0, 0, "class<`character`, `html`>", 1
"htmltools", "as.character.html", 1, 0, 0, "...", 1
"htmltools", "as.character.shiny.tag", -1, 0, 0, "character", 1
"htmltools", "as.character.shiny.tag", 0, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "as.character.shiny.tag", 1, 0, 0, "...", 1
"htmltools", "as.tags", -1, 0, 0, "class<`list`, `shiny.tag.list`>", 1
"htmltools", "as.tags", 0, 0, 0, "null", 1
"htmltools", "as.tags", 1, 0, 0, "...", 1
"htmltools", "as.tags.default", -1, 0, 0, "class<`list`, `shiny.tag.list`>", 1
"htmltools", "as.tags.default", 0, 0, 0, "null", 1
"htmltools", "as.tags.default", 1, 0, 0, "...", 1
"htmltools", "attachDependencies", -1, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "attachDependencies", 0, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "attachDependencies", 1, 0, 0, "class<`html_dependency`>", 1
"htmltools", "attachDependencies", 2, 0, 0, "logical", 1
"htmltools", "concat8", -1, 0, 0, "character", 1
"htmltools", "concat8", 0, 0, 0, "...", 1
"htmltools", "css", -1, 0, 0, "character", 1
"htmltools", "css", 0, 0, 0, "...", 1
"htmltools", "css", 1, 0, 0, "character", 1
"htmltools", "div", -1, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "div", 0, 0, 0, "...", 1
"htmltools", "div", 1, 0, 0, "character", 1
"htmltools", "div", 1, 0, 1, "null", 1
"htmltools", "doRenderTags", -1, 0, 0, "class<`character`, `html`>", 1
"htmltools", "doRenderTags", 0, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "doRenderTags", 0, 0, 1, "list<any>", 1
"htmltools", "doRenderTags", 1, 0, 0, "any", 1
"htmltools", "dropNullsOrEmpty", -1, 0, 0, "(character[] | list<any>)", 1
"htmltools", "dropNullsOrEmpty", 0, 0, 0, "character[]", 1
"htmltools", "dropNullsOrEmpty", 0, 0, 1, "list<any>", 1
"htmltools", "extractPreserveChunks", -1, 0, 0, "list<character>", 1
"htmltools", "extractPreserveChunks", 0, 0, 0, "character", 1
"htmltools", "findDependencies", -1, 0, 0, "null", 1
"htmltools", "findDependencies", 0, 0, 0, "class<`shiny.tag`>", 1
"htmltools", "findDependencies", 0, 0, 1, "character", 1
"htmltools", "findDependencies", 0, 0, 2, "class<`character`, `html`>", 1
"htmltools", "findDependencies", 1, 0, 0, "logical", 1
"htmltools", "flattenTags", -1, 0, 0, "list<any>", 1
"htmltools", "flattenTags", 0, 0, 0, "class<`list`, `shiny.tag.list`>", 1
"htmltools", "flattenTags", 0, 0, 1, "character[]", 1
"htmltools", "flattenTags", 0, 0, 2, "class<`character`, `html`>", 1
"htmltools", "flattenTags", 0, 0, 3, "class<`shiny.tag`>", 1
"htmltools", "flattenTags", 0, 0, 4, "null", 1
"htmltools", "flattenTags", 0, 0, 5, "list<any>", 1
"htmltools", "FUN", -1, 0, 0, "null", 1
"htmltools", "FUN", 0, 0, 0, "class<`shiny.tag`>", 1
