package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"hutils", "%<->%", -1, 0, 0, "null", 1
"hutils", "%<->%", 0, 0, 0, "any", 1
"hutils", "%<->%", 1, 0, 0, "any", 1
"hutils", "ahull", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "ahull", 0, 0, 0, "any", 1
"hutils", "ahull", 1, 0, 0, "double[]", 1
"hutils", "ahull", 2, 0, 0, "double[]", 1
"hutils", "ahull", 3, 0, 0, "double", 1
"hutils", "ahull", 4, 0, 0, "double", 1
"hutils", "ahull", 5, 0, 0, "character", 1
"hutils", "ahull", 6, 0, 0, "logical", 1
"hutils", "all_same_sign", -1, 0, 0, "(logical | null)", 1
"hutils", "all_same_sign", 0, 0, 0, "character", 1
"hutils", "all_same_sign", 0, 0, 1, "null", 1
"hutils", "all_same_sign", 0, 0, 2, "^double[]", 1
"hutils", "any_grepl", -1, 0, 0, "logical", 1
"hutils", "any_grepl", 0, 0, 0, "character[]", 1
"hutils", "any_grepl", 1, 0, 0, "character", 1
"hutils", "any_grepl", 2, 0, 0, "logical", 1
"hutils", "any_grepl", 3, 0, 0, "logical", 1
"hutils", "any_grepl", 4, 0, 0, "logical", 1
"hutils", "any_grepl", 5, 0, 0, "logical", 1
"hutils", "areTrueFalse", -1, 0, 0, "logical[]", 1
"hutils", "areTrueFalse", 0, 0, 0, "...", 1
"hutils", "average_bearing", -1, 0, 0, "double", 1
"hutils", "average_bearing", 0, 0, 0, "double", 1
"hutils", "average_bearing", 1, 0, 0, "double", 1
"hutils", "average_bearing", 2, 0, 0, "character", 1
"hutils", "average_bearing", 2, 0, 1, "double", 1
"hutils", "average_bearing", 2, 0, 2, "null", 1
"hutils", "average_bearing_n", -1, 0, 0, "double", 1
"hutils", "average_bearing_n", 0, 0, 0, "integer[]", 1
"hutils", "check_TF", -1, 0, 0, "null", 1
"hutils", "check_TF", 0, 0, 0, "logical", 1
"hutils", "coalesce", -1, 0, 0, "double[]", 1
"hutils", "coalesce", 0, 0, 0, "^double[]", 1
"hutils", "coalesce", 1, 0, 0, "...", 1
"hutils", "definitely_sorted", -1, 0, 0, "logical", 1
"hutils", "definitely_sorted", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "definitely_sorted", 1, 0, 0, "any", 1
"hutils", "definitely_sorted", 2, 0, 0, "logical", 1
"hutils", "definitely_sorted", 3, 0, 0, "any", 1
"hutils", "definitely_sorted", 4, 0, 0, "any", 1
"hutils", "drop_col", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "drop_col", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "drop_col", 1, 0, 0, "character", 1
"hutils", "drop_col", 2, 0, 0, "logical", 1
"hutils", "drop_constant_cols", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "drop_constant_cols", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "drop_constant_cols", 1, 0, 0, "logical", 1
"hutils", "drop_grep", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "drop_grep", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "drop_grep", 1, 0, 0, "character", 1
"hutils", "drop_grep", 2, 0, 0, "...", 1
"hutils", "drop_grep", 3, 0, 0, "logical", 1
"hutils", "duplicated_rows", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "duplicated_rows", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "duplicated_rows", 1, 0, 0, "character[]", 1
"hutils", "duplicated_rows", 2, 0, 0, "logical", 1
"hutils", "duplicated_rows", 3, 0, 0, "logical", 1
"hutils", "duplicated_rows", 4, 0, 0, "logical", 1
"hutils", "duplicated_rows", 5, 0, 0, "logical", 1
"hutils", "haversine_distance", -1, 0, 0, "double", 1
"hutils", "haversine_distance", 0, 0, 0, "double", 1
"hutils", "haversine_distance", 1, 0, 0, "double", 1
"hutils", "haversine_distance", 2, 0, 0, "double", 1
"hutils", "haversine_distance", 3, 0, 0, "double", 1
"hutils", "%implies%", -1, 0, 0, "logical[]", 1
"hutils", "%implies%", 0, 0, 0, "logical[]", 1
"hutils", "%implies%", 1, 0, 0, "logical[]", 1
"hutils", "longest_prefix", -1, 0, 0, "character", 1
"hutils", "longest_prefix", 0, 0, 0, "character[]", 1
"hutils", "longest_prefix", 1, 0, 0, "null", 1
"hutils", "longest_prefix", 2, 0, 0, "logical", 1
"hutils", "longest_prefix", 3, 0, 0, "logical", 1
"hutils", "longest_suffix", -1, 0, 0, "character", 1
"hutils", "longest_suffix", 0, 0, 0, "character[]", 1
"hutils", "longest_suffix", 1, 0, 0, "null", 1
"hutils", "longest_suffix", 2, 0, 0, "logical", 1
"hutils", "longest_suffix", 3, 0, 0, "logical", 1
"hutils", "mutate_ntile", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "mutate_ntile", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "mutate_ntile", 1, 0, 0, "character", 1
"hutils", "mutate_ntile", 2, 0, 0, "double", 1
"hutils", "mutate_ntile", 3, 0, 0, "null", 1
"hutils", "mutate_ntile", 4, 0, 0, "character", 1
"hutils", "mutate_ntile", 4, 0, 1, "null", 1
"hutils", "mutate_ntile", 5, 0, 0, "null", 1
"hutils", "mutate_ntile", 5, 0, 1, "character", 1
"hutils", "mutate_ntile", 6, 0, 0, "null", 1
"hutils", "mutate_ntile", 7, 0, 0, "logical", 1
"hutils", "mutate_ntile", 8, 0, 0, "logical", 1
"hutils", "mutate_ntile", 9, 0, 0, "logical", 1
"hutils", "mutate_other", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "mutate_other", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "mutate_other", 1, 0, 0, "character", 1
"hutils", "mutate_other", 2, 0, 0, "double", 1
"hutils", "mutate_other", 3, 0, 0, "any", 1
"hutils", "mutate_other", 4, 0, 0, "null", 1
"hutils", "mutate_other", 5, 0, 0, "character", 1
"hutils", "mutate_other", 6, 0, 0, "double", 1
"hutils", "mutate_other", 7, 0, 0, "logical", 1
"hutils", "mutate_other", 8, 0, 0, "character", 1
"hutils", "ngrep", -1, 0, 0, "(character[] | integer[])", 1
"hutils", "ngrep", 0, 0, 0, "character", 1
"hutils", "ngrep", 1, 0, 0, "character[]", 1
"hutils", "ngrep", 2, 0, 0, "logical", 1
"hutils", "ngrep", 3, 0, 0, "...", 1
"hutils", "%notchin%", -1, 0, 0, "logical", 1
"hutils", "%notchin%", 0, 0, 0, "character", 1
"hutils", "%notchin%", 1, 0, 0, "character[]", 1
"hutils", "%pin%", -1, 0, 0, "logical[]", 1
"hutils", "%pin%", 0, 0, 0, "character[]", 1
"hutils", "%pin%", 1, 0, 0, "character[]", 1
"hutils", "RQ", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "RQ", 0, 0, 0, "character", 1
"hutils", "RQ", 1, 0, 0, "null", 1
"hutils", "RQ", 2, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "samp", -1, 0, 0, "double[]", 1
"hutils", "samp", 0, 0, 0, "double", 1
"hutils", "samp", 0, 0, 1, "integer[]", 1
"hutils", "samp", 1, 0, 0, "double", 1
"hutils", "samp", 2, 0, 0, "logical", 1
"hutils", "samp", 3, 0, 0, "logical", 1
"hutils", "samp", 4, 0, 0, "null", 1
"hutils", "select_grep", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "select_grep", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "select_grep", 1, 0, 0, "character", 1
"hutils", "select_grep", 2, 0, 0, "character", 1
"hutils", "select_grep", 2, 0, 1, "null", 1
"hutils", "select_grep", 3, 0, 0, "character", 1
"hutils", "select_grep", 3, 0, 1, "null", 1
"hutils", "select_grep", 4, 0, 0, "logical", 1
"hutils", "select_grep", 5, 0, 0, "logical", 1
"hutils", "select_grep", 6, 0, 0, "logical", 1
"hutils", "select_grep", 7, 0, 0, "logical", 1
"hutils", "select_grep", 8, 0, 0, "logical", 1
"hutils", "select_grep", 9, 0, 0, "logical", 1
"hutils", "selector", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "selector", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "selector", 1, 0, 0, "...", 1
"hutils", "selector", 2, 0, 0, "null", 1
"hutils", "selector", 3, 0, 0, "logical", 1
"hutils", "selector", 4, 0, 0, "logical", 1
"hutils", "select_which", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "select_which", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "select_which", 1, 0, 0, "class<`function`>", 1
"hutils", "select_which", 2, 0, 0, "character", 1
"hutils", "select_which", 3, 0, 0, "logical", 1
"hutils", "set_cols_first", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_cols_first", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_cols_first", 1, 0, 0, "character", 1
"hutils", "set_cols_first", 2, 0, 0, "logical", 1
"hutils", "set_cols_last", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_cols_last", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_cols_last", 1, 0, 0, "character", 1
"hutils", "set_cols_last", 2, 0, 0, "logical", 1
"hutils", "set_colsuborder", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_colsuborder", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_colsuborder", 1, 0, 0, "character[]", 1
"hutils", "set_colsuborder", 2, 0, 0, "logical", 1
"hutils", "set_local_extrema", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "set_local_extrema", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "Switch", -1, 0, 0, "double[]", 1
"hutils", "Switch", 0, 0, 0, "character[]", 1
"hutils", "Switch", 1, 0, 0, "...", 1
"hutils", "Switch", 2, 0, 0, "double", 1
"hutils", "Switch", 3, 0, 0, "null", 1
"hutils", "Switch", 4, 0, 0, "logical", 1
"hutils", "weight2rows", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "weight2rows", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"hutils", "weight2rows", 1, 0, 0, "character", 1
"hutils", "weight2rows", 2, 0, 0, "double", 1
"hutils", "weight2rows", 2, 0, 1, "null", 1
"hutils", "weight2rows", 3, 0, 0, "logical", 1
"hutils", "weighted_ntile", -1, 0, 0, "integer[]", 1
"hutils", "weighted_ntile", 0, 0, 0, "integer[]", 1
"hutils", "weighted_ntile", 1, 0, 0, "any", 1
"hutils", "weighted_ntile", 2, 0, 0, "double", 1
