package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"imputeTS", "locf", -1, 0, 0, "double[]", 1
"imputeTS", "locf", 0, 0, 0, "^double[]", 1
"imputeTS", "locf", 1, 0, 0, "logical", 1
"imputeTS", "ma", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "ma", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "ma", 1, 0, 0, "double", 1
"imputeTS", "ma", 2, 0, 0, "character", 1
"imputeTS", "na_locf", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "na_locf", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "na_locf", 1, 0, 0, "character", 1
"imputeTS", "na_locf", 2, 0, 0, "any", 1
"imputeTS", "na_locf", 3, 0, 0, "double", 1
"imputeTS", "na.locf", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "na.locf", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "na.locf", 1, 0, 0, "character", 1
"imputeTS", "na.locf", 2, 0, 0, "character", 1
"imputeTS", "na.locf", 3, 0, 0, "double", 1
"imputeTS", "na_ma", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "na_ma", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "na_ma", 1, 0, 0, "double", 1
"imputeTS", "na_ma", 2, 0, 0, "character", 1
"imputeTS", "na_ma", 3, 0, 0, "double", 1
"imputeTS", "na_mean", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "na_mean", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "na_mean", 1, 0, 0, "character", 1
"imputeTS", "na_mean", 2, 0, 0, "double", 1
"imputeTS", "na.mean", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "na.mean", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "na.mean", 1, 0, 0, "character", 1
"imputeTS", "na.mean", 2, 0, 0, "double", 1
"imputeTS", "na_replace", -1, 0, 0, "class<`ts`>", 1
"imputeTS", "na_replace", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "na_replace", 1, 0, 0, "double", 1
"imputeTS", "na_replace", 2, 0, 0, "double", 1
"imputeTS", "plotNA.distribution", -1, 0, 0, "null", 1
"imputeTS", "plotNA.distribution", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "plotNA.distribution", 1, 0, 0, "character", 1
"imputeTS", "plotNA.distribution", 2, 0, 0, "character", 1
"imputeTS", "plotNA.distribution", 3, 0, 0, "character", 1
"imputeTS", "plotNA.distribution", 4, 0, 0, "character", 1
"imputeTS", "plotNA.distribution", 5, 0, 0, "character", 1
"imputeTS", "plotNA.distribution", 6, 0, 0, "double", 1
"imputeTS", "plotNA.distribution", 7, 0, 0, "double", 1
"imputeTS", "plotNA.distribution", 8, 0, 0, "character", 1
"imputeTS", "plotNA.distribution", 9, 0, 0, "...", 1
"imputeTS", "plotNA.distributionBar", -1, 0, 0, "list<list<double[]>>", 1
"imputeTS", "plotNA.distributionBar", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "plotNA.distributionBar", 1, 0, 0, "double", 1
"imputeTS", "plotNA.distributionBar", 2, 0, 0, "null", 1
"imputeTS", "plotNA.distributionBar", 3, 0, 0, "logical", 1
"imputeTS", "plotNA.distributionBar", 4, 0, 0, "logical", 1
"imputeTS", "plotNA.distributionBar", 5, 0, 0, "logical", 1
"imputeTS", "plotNA.distributionBar", 6, 0, 0, "double", 1
"imputeTS", "plotNA.distributionBar", 7, 0, 0, "character[]", 1
"imputeTS", "plotNA.distributionBar", 8, 0, 0, "character", 1
"imputeTS", "plotNA.distributionBar", 9, 0, 0, "character", 1
"imputeTS", "plotNA.distributionBar", 10, 0, 0, "null", 1
"imputeTS", "plotNA.distributionBar", 11, 0, 0, "...", 1
"imputeTS", "plotNA.gapsize", -1, 0, 0, "list<list<double[]>>", 1
"imputeTS", "plotNA.gapsize", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "plotNA.gapsize", 1, 0, 0, "double", 1
"imputeTS", "plotNA.gapsize", 2, 0, 0, "logical", 1
"imputeTS", "plotNA.gapsize", 3, 0, 0, "logical", 1
"imputeTS", "plotNA.gapsize", 4, 0, 0, "character[]", 1
"imputeTS", "plotNA.gapsize", 5, 0, 0, "character", 1
"imputeTS", "plotNA.gapsize", 6, 0, 0, "character", 1
"imputeTS", "plotNA.gapsize", 7, 0, 0, "character", 1
"imputeTS", "plotNA.gapsize", 8, 0, 0, "double", 1
"imputeTS", "plotNA.gapsize", 9, 0, 0, "logical", 1
"imputeTS", "plotNA.gapsize", 10, 0, 0, "logical", 1
"imputeTS", "plotNA.gapsize", 11, 0, 0, "logical", 1
"imputeTS", "plotNA.gapsize", 12, 0, 0, "double", 1
"imputeTS", "plotNA.gapsize", 13, 0, 0, "...", 1
"imputeTS", "plotNA.imputations", -1, 0, 0, "list<list<double[]>>", 1
"imputeTS", "plotNA.imputations", 0, 0, 0, "class<`ts`>", 1
"imputeTS", "plotNA.imputations", 1, 0, 0, "class<`ts`>", 1
"imputeTS", "plotNA.imputations", 2, 0, 0, "class<`ts`>", 1
"imputeTS", "plotNA.imputations", 2, 0, 1, "null", 1
