package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"infotheo", "condentropy", -1, 0, 0, "double", 1
"infotheo", "condentropy", 0, 0, 0, "integer[]", 1
"infotheo", "condentropy", 1, 0, 0, "integer[]", 1
"infotheo", "condentropy", 2, 0, 0, "character", 1
"infotheo", "condinformation", -1, 0, 0, "double", 1
"infotheo", "condinformation", 0, 0, 0, "integer[]", 1
"infotheo", "condinformation", 1, 0, 0, "integer[]", 1
"infotheo", "condinformation", 2, 0, 0, "integer[]", 1
"infotheo", "condinformation", 3, 0, 0, "character", 1
"infotheo", "discretize", -1, 0, 0, "struct<`Murder`:integer[], `Assault`:integer[], `UrbanPop`:integer[], `Rape`:integer[]>", 1
"infotheo", "discretize", 0, 0, 0, "struct<`Murder`:double[], `Assault`:integer[], `UrbanPop`:integer[], `Rape`:double[]>", 1
"infotheo", "discretize", 1, 0, 0, "character", 1
"infotheo", "discretize", 2, 0, 0, "double", 1
"infotheo", "entropy", -1, 0, 0, "double", 1
"infotheo", "entropy", 0, 0, 0, "struct<`Murder`:integer[], `Assault`:integer[], `UrbanPop`:integer[], `Rape`:integer[]>", 1
"infotheo", "entropy", 0, 0, 1, "integer[]", 1
"infotheo", "entropy", 1, 0, 0, "character", 1
"infotheo", "filter", -1, 0, 0, "logical[]", 1
"infotheo", "filter", 0, 0, 0, "character[]", 1
"infotheo", "interinformation", -1, 0, 0, "double", 1
"infotheo", "interinformation", 0, 0, 0, "struct<`Murder`:integer[], `Assault`:integer[], `UrbanPop`:integer[], `Rape`:integer[]>", 1
"infotheo", "interinformation", 1, 0, 0, "character", 1
"infotheo", "multiinformation", -1, 0, 0, "double", 1
"infotheo", "multiinformation", 0, 0, 0, "struct<`Murder`:integer[], `Assault`:integer[], `UrbanPop`:integer[], `Rape`:integer[]>", 1
"infotheo", "multiinformation", 1, 0, 0, "character", 1
"infotheo", "mutinformation", -1, 0, 0, "^double[]", 1
"infotheo", "mutinformation", 0, 0, 0, "struct<`Murder`:integer[], `Assault`:integer[], `UrbanPop`:integer[], `Rape`:integer[]>", 1
"infotheo", "mutinformation", 0, 0, 1, "integer[]", 1
"infotheo", "mutinformation", 1, 0, 0, "null", 1
"infotheo", "mutinformation", 1, 0, 1, "integer[]", 1
"infotheo", "mutinformation", 2, 0, 0, "character", 1
"infotheo", "natstobits", -1, 0, 0, "double", 1
"infotheo", "natstobits", 0, 0, 0, "double", 1
