package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"interp", "::", -1, 0, 0, "struct<`z`:^double[], `zx`:^double[], `zy`:^double[], `zxy`:^double[], `zxx`:^double[], `zyy`:^double[], `zxxy`:^double[], `zxyy`:^double[], `zxxx`:^double[], `zyyy`:^double[], `x`:double[], `y`:double[]>", 1
"interp", "::", 0, 0, 0, "double[]", 1
"interp", "::", 1, 0, 0, "double[]", 1
"interp", "::", 2, 0, 0, "double[]", 1
"interp", "::", 3, 0, 0, "double[]", 1
"interp", "::", 4, 0, 0, "double[]", 1
"interp", "::", 5, 0, 0, "double", 1
"interp", "::", 6, 0, 0, "double", 1
"interp", "::", 7, 0, 0, "character", 1
"interp", "::", 8, 0, 0, "character", 1
"interp", "::", 9, 0, 0, "double[]", 1
"interp", "::", 10, 0, 0, "character", 1
"interp", "::", 11, 0, 0, "character", 1
"interp", "::", 12, 0, 0, "double", 1
"interp", "::", 13, 0, 0, "character", 1
"interp", "arcs", -1, 0, 0, "^integer[]", 1
"interp", "arcs", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "area", -1, 0, 0, "double[]", 1
"interp", "area", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "circles", -1, 0, 0, "null", 1
"interp", "circles", 0, 0, 0, "double[]", 1
"interp", "circles", 1, 0, 0, "double[]", 1
"interp", "circles", 2, 0, 0, "double[]", 1
"interp", "circles", 3, 0, 0, "null", 1
"interp", "convex.hull", -1, 0, 0, "struct<`x`:double[], `y`:double[], `i`:integer[]>", 1
"interp", "convex.hull", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "convex.hull", 1, 0, 0, "logical", 1
"interp", "convex.hull", 2, 0, 0, "logical", 1
"interp", "convex.hull", 3, 0, 0, "character", 1
"interp", "dummy.node", -1, 0, 0, "struct<`x`:double, `y`:double>", 1
"interp", "dummy.node", 0, 0, 0, "double", 1
"interp", "dummy.node", 1, 0, 0, "double", 1
"interp", "dummy.node", 2, 0, 0, "double", 1
"interp", "dummy.node", 3, 0, 0, "double", 1
"interp", "dummy.node", 4, 0, 0, "double", 1
"interp", "dummy.node", 5, 0, 0, "double", 1
"interp", "dummy.node", 6, 0, 0, "double", 1
"interp", "filter", -1, 0, 0, "logical[]", 1
"interp", "filter", 0, 0, 0, "character[]", 1
"interp", "franke.data", -1, 0, 0, "struct<`x`:double[], `y`:double[], `z`:double[]>", 1
"interp", "franke.data", 0, 0, 0, "double", 1
"interp", "franke.data", 1, 0, 0, "double", 1
"interp", "franke.data", 2, 0, 0, "struct<`ds1`:struct<`x`:double[], `y`:double[]>, `ds2`:struct<`x`:double[], `y`:double[]>, `ds3`:struct<`x`:double[], `y`:double[]>>", 1
"interp", "franke.fn", -1, 0, 0, "double[]", 1
"interp", "franke.fn", 0, 0, 0, "double[]", 1
"interp", "franke.fn", 1, 0, 0, "double[]", 1
"interp", "franke.fn", 2, 0, 0, "double", 1
"interp", "FUN", -1, 0, 0, "double[]", 1
"interp", "FUN", 0, 0, 0, "^double[]", 1
"interp", "in.convex.hull", -1, 0, 0, "logical[]", 1
"interp", "in.convex.hull", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "in.convex.hull", 1, 0, 0, "^double[]", 1
"interp", "in.convex.hull", 2, 0, 0, "^double[]", 1
"interp", "in.convex.hull", 3, 0, 0, "double", 1
"interp", "inHull", -1, 0, 0, "logical[]", 1
"interp", "inHull", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "inHull", 1, 0, 0, "^double[]", 1
"interp", "inHull", 2, 0, 0, "^double[]", 1
"interp", "inHull", 3, 0, 0, "double", 1
"interp", "interp", -1, 0, 0, "struct<`x`:double[], `y`:double[], `z`:^double[]>", 1
"interp", "interp", 0, 0, 0, "double[]", 1
"interp", "interp", 1, 0, 0, "double[]", 1
"interp", "interp", 2, 0, 0, "double[]", 1
"interp", "interp", 3, 0, 0, "double[]", 1
"interp", "interp", 4, 0, 0, "double[]", 1
"interp", "interp", 5, 0, 0, "language", 1
"interp", "interp", 5, 0, 1, "symbol", 1
"interp", "interp", 6, 0, 0, "logical", 1
"interp", "interp", 6, 0, 1, "symbol", 1
"interp", "interp", 7, 0, 0, "character", 1
"interp", "interp", 7, 0, 1, "symbol", 1
"interp", "interp", 8, 0, 0, "null", 1
"interp", "interp", 8, 0, 1, "symbol", 1
"interp", "interp", 9, 0, 0, "double", 1
"interp", "interp", 9, 0, 1, "symbol", 1
"interp", "interp", 10, 0, 0, "double", 1
"interp", "interp", 11, 0, 0, "character", 1
"interp", "interp", 12, 0, 0, "character", 1
"interp", "interp", 13, 0, 0, "character", 1
"interp", "interp", 14, 0, 0, "character", 1
"interp", "interpp", -1, 0, 0, "struct<`x`:double[], `y`:double[], `z`:^double[]>", 1
"interp", "interpp", 0, 0, 0, "double[]", 1
"interp", "interpp", 1, 0, 0, "double[]", 1
"interp", "interpp", 2, 0, 0, "double[]", 1
"interp", "interpp", 3, 0, 0, "double[]", 1
"interp", "interpp", 4, 0, 0, "double[]", 1
"interp", "interpp", 5, 0, 0, "logical", 1
"interp", "interpp", 6, 0, 0, "logical", 1
"interp", "interpp", 7, 0, 0, "character", 1
"interp", "interpp", 8, 0, 0, "null", 1
"interp", "interpp", 9, 0, 0, "character", 1
"interp", "interpShull", -1, 0, 0, "struct<`x`:double[], `y`:double[], `z`:^double[]>", 1
"interp", "interpShull", 0, 0, 0, "double[]", 1
"interp", "interpShull", 1, 0, 0, "double[]", 1
"interp", "interpShull", 2, 0, 0, "double[]", 1
"interp", "interpShull", 3, 0, 0, "double[]", 1
"interp", "interpShull", 4, 0, 0, "double[]", 1
"interp", "interpShull", 5, 0, 0, "logical", 1
"interp", "interpShull", 6, 0, 0, "character", 1
"interp", "interpShull", 7, 0, 0, "character", 1
"interp", "left", -1, 0, 0, "logical", 1
"interp", "left", 0, 0, 0, "double", 1
"interp", "left", 1, 0, 0, "double", 1
"interp", "left", 2, 0, 0, "double", 1
"interp", "left", 3, 0, 0, "double", 1
"interp", "left", 4, 0, 0, "double", 1
"interp", "left", 5, 0, 0, "double", 1
"interp", "left", 6, 0, 0, "double", 1
"interp", "locpoly", -1, 0, 0, "struct<`z`:^double[], `zx`:^double[], `zy`:^double[], `zxy`:^double[], `zxx`:^double[], `zyy`:^double[], `zxxy`:^double[], `zxyy`:^double[], `zxxx`:^double[], `zyyy`:^double[], `x`:double[], `y`:double[]>", 1
"interp", "locpoly", 0, 0, 0, "double[]", 1
"interp", "locpoly", 1, 0, 0, "double[]", 1
"interp", "locpoly", 2, 0, 0, "^double[]", 1
"interp", "locpoly", 3, 0, 0, "double[]", 1
"interp", "locpoly", 4, 0, 0, "double[]", 1
"interp", "locpoly", 5, 0, 0, "double", 1
"interp", "locpoly", 6, 0, 0, "double", 1
"interp", "locpoly", 7, 0, 0, "character", 1
"interp", "locpoly", 8, 0, 0, "character", 1
"interp", "locpoly", 9, 0, 0, "double[]", 1
"interp", "locpoly", 10, 0, 0, "character", 1
"interp", "locpoly", 11, 0, 0, "character", 1
"interp", "locpoly", 12, 0, 0, "double", 1
"interp", "locpoly", 13, 0, 0, "character", 1
"interp", "locpoly.partderiv.grid", -1, 0, 0, "struct<`z`:^double[], `zx`:^double[], `zy`:^double[], `zxy`:^double[], `zxx`:^double[], `zyy`:^double[], `zxxy`:^double[], `zxyy`:^double[], `zxxx`:^double[], `zyyy`:^double[]>", 1
"interp", "locpoly.partderiv.grid", 0, 0, 0, "double[]", 1
"interp", "locpoly.partderiv.grid", 1, 0, 0, "double[]", 1
"interp", "locpoly.partderiv.grid", 2, 0, 0, "^double[]", 1
"interp", "locpoly.partderiv.grid", 3, 0, 0, "^double[]", 1
"interp", "locpoly.partderiv.grid", 4, 0, 0, "^double[]", 1
"interp", "locpoly.partderiv.grid", 5, 0, 0, "character", 1
"interp", "locpoly.partderiv.grid", 6, 0, 0, "double[]", 1
"interp", "locpoly.partderiv.grid", 7, 0, 0, "character", 1
"interp", "locpoly.partderiv.grid", 8, 0, 0, "double", 1
"interp", "locpoly.partderiv.grid", 9, 0, 0, "logical", 1
"interp", "locpoly.partderiv.grid", 10, 0, 0, "logical", 1
"interp", "locpoly.partderiv.grid", 11, 0, 0, "integer", 1
"interp", "nearest.neighbours", -1, 0, 0, "struct<`index`:^integer[], `dist`:^double[]>", 1
"interp", "nearest.neighbours", 0, 0, 0, "double[]", 1
"interp", "nearest.neighbours", 1, 0, 0, "double[]", 1
"interp", "on", -1, 0, 0, "logical", 1
"interp", "on", 0, 0, 0, "double", 1
"interp", "on", 1, 0, 0, "double", 1
"interp", "on", 2, 0, 0, "double", 1
"interp", "on", 3, 0, 0, "double", 1
"interp", "on", 4, 0, 0, "double", 1
"interp", "on", 5, 0, 0, "double", 1
"interp", "on", 6, 0, 0, "double", 1
"interp", "on.convex.hull", -1, 0, 0, "logical[]", 1
"interp", "on.convex.hull", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "on.convex.hull", 1, 0, 0, "double[]", 1
"interp", "on.convex.hull", 2, 0, 0, "double[]", 1
"interp", "on.convex.hull", 3, 0, 0, "double", 1
"interp", "onHull", -1, 0, 0, "logical[]", 1
"interp", "onHull", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "onHull", 1, 0, 0, "double[]", 1
"interp", "onHull", 2, 0, 0, "double[]", 1
"interp", "onHull", 3, 0, 0, "double", 1
"interp", "outer.convhull", -1, 0, 0, "^double[]", 1
"interp", "outer.convhull", 0, 0, 0, "double[]", 1
"interp", "outer.convhull", 1, 0, 0, "double[]", 1
"interp", "outer.convhull", 2, 0, 0, "double[]", 1
"interp", "outer.convhull", 3, 0, 0, "double[]", 1
"interp", "outer.convhull", 4, 0, 0, "any => any", 1
"interp", "outer.convhull", 5, 0, 0, "character", 1
"interp", "outer.convhull", 6, 0, 0, "null", 1
"interp", "plot.triSht", -1, 0, 0, "null", 1
"interp", "plot.triSht", 0, 0, 0, "struct<`n`:integer, `x`:double[], `y`:double[], `nt`:integer, `trlist`:^integer[], `cclist`:^double[], `nchull`:integer, `chull`:integer[], `narcs`:integer, `arcs`:^integer[], `call`:language>", 1
"interp", "plot.triSht", 1, 0, 0, "logical", 1
"interp", "plot.triSht", 2, 0, 0, "language", 1
"interp", "plot.triSht", 3, 0, 0, "language", 1
"interp", "plot.triSht", 4, 0, 0, "logical", 1
"interp", "plot.triSht", 5, 0, 0, "logical", 1
"interp", "plot.triSht", 6, 0, 0, "logical", 1
"interp", "plot.triSht", 7, 0, 0, "logical", 1
"interp", "plot.triSht", 8, 0, 0, "character", 1
"interp", "plot.triSht", 9, 0, 0, "character", 1
