package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"intervals", "filter", -1, 0, 0, "logical[]", 1
"intervals", "filter", 0, 0, 0, "character[]", 1
"intervals", ".local", -1, 0, 0, "struct<`distance_to_nearest`:double[], `which_nearest`:list<integer[]>, `which_overlap`:list<integer[]>>", 1
"intervals", ".local", 0, 0, 0, "^double[]", 1
"intervals", ".local", 1, 0, 0, "null", 1
"intervals", ".local", 1, 0, 1, "^double[]", 1
"intervals", ".local", 1, 0, 2, "null", 1
"intervals", ".local", 1, 0, 3, "struct<>", 1
"intervals", ".local", 2, 0, 0, "^logical[]", 1
"intervals", ".local", 2, 0, 1, "null", 1
"intervals", ".local", 2, 0, 2, "character", 1
"intervals", ".local", 2, 0, 3, "symbol", 1
"intervals", ".local", 3, 0, 0, "character", 1
"intervals", ".local", 3, 0, 1, "null", 1
