package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"janitor", "adorn_ns", -1, 0, 0, "class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_ns", -1, 0, 1, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_ns", -1, 0, 2, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_ns", 0, 0, 0, "class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_ns", 0, 0, 1, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_ns", 0, 0, 2, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_ns", 1, 0, 0, "character", 1
"janitor", "adorn_ns", 2, 0, 0, "any", 1
"janitor", "adorn_pct_formatting", -1, 0, 0, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_pct_formatting", -1, 0, 1, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_pct_formatting", -1, 0, 2, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_pct_formatting", 0, 0, 0, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_pct_formatting", 0, 0, 1, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_pct_formatting", 0, 0, 2, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_pct_formatting", 1, 0, 0, "double", 1
"janitor", "adorn_pct_formatting", 2, 0, 0, "character", 1
"janitor", "adorn_pct_formatting", 3, 0, 0, "logical", 1
"janitor", "adorn_percentages", -1, 0, 0, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_percentages", -1, 0, 1, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_percentages", 0, 0, 0, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_percentages", 0, 0, 1, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_percentages", 1, 0, 0, "character", 1
"janitor", "adorn_percentages", 2, 0, 0, "any", 1
"janitor", "adorn_rounding", -1, 0, 0, "class<`data.frame`>", 1
"janitor", "adorn_rounding", -1, 0, 1, "class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_rounding", -1, 0, 2, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_rounding", -1, 0, 3, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_rounding", 0, 0, 0, "class<`data.frame`>", 1
"janitor", "adorn_rounding", 0, 0, 1, "class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_rounding", 0, 0, 2, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_rounding", 0, 0, 3, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_rounding", 1, 0, 0, "double", 1
"janitor", "adorn_rounding", 2, 0, 0, "character", 1
"janitor", "adorn_rounding", 3, 0, 0, "logical", 1
"janitor", "adorn_title", -1, 0, 0, "class<`data.frame`>", 1
"janitor", "adorn_title", -1, 0, 1, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_title", -1, 0, 2, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_title", 0, 0, 0, "class<`data.frame`, `grouped_df`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_title", 0, 0, 1, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"janitor", "adorn_title", 0, 0, 2, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_title", 0, 0, 3, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_title", 1, 0, 0, "character", 1
"janitor", "adorn_title", 2, 0, 0, "any", 1
"janitor", "adorn_title", 3, 0, 0, "any", 1
"janitor", "adorn_totals", -1, 0, 0, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_totals", -1, 0, 1, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_totals", 0, 0, 0, "class<`data.frame`>", 1
"janitor", "adorn_totals", 0, 0, 1, "class<`data.frame`, `tabyl`>", 1
"janitor", "adorn_totals", 0, 0, 2, "list<class<`data.frame`, `tabyl`>>", 1
"janitor", "adorn_totals", 1, 0, 0, "character[]", 1
"janitor", "adorn_totals", 2, 0, 0, "character", 1
"janitor", "adorn_totals", 3, 0, 0, "logical", 1
"janitor", "adorn_totals", 4, 0, 0, "character", 1
"janitor", "as_tabyl", -1, 0, 0, "any", 1
"janitor", "as_tabyl", 0, 0, 0, "class<`data.frame`>", 1
"janitor", "as_tabyl", 0, 0, 1, "class<`data.frame`, `tabyl`>", 1
"janitor", "as_tabyl", 0, 0, 2, "integer[]", 1
"janitor", "as_tabyl", 1, 0, 0, "double", 1
"janitor", "as_tabyl", 2, 0, 0, "null", 1
"janitor", "as_tabyl", 2, 0, 1, "character", 1
"janitor", "as_tabyl", 3, 0, 0, "null", 1
"janitor", "as_tabyl", 3, 0, 1, "character", 1
"janitor", "check_vars_in_df", -1, 0, 0, "null", 1
"janitor", "check_vars_in_df", 0, 0, 0, "class<`data.frame`>", 1
"janitor", "check_vars_in_df", 1, 0, 0, "any", 1
"janitor", "check_vars_in_df", 2, 0, 0, "character[]", 1
