package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"jqr", "[[", -1, 0, 0, "struct<`message`:character, `call`:language>", 1
"jqr", "[[", 0, 0, 0, "struct<`message`:character, `call`:language>", 1
"jqr", "$", -1, 0, 0, "character[]", 1
"jqr", "$", 0, 0, 0, "struct<`data`:character, ``:tuple<character>>", 1
"jqr", "$", 0, 0, 1, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "ad", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "ad", 0, 0, 0, "character", 1
"jqr", "allj", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "allj", 0, 0, 0, "character", 1
"jqr", "anyj", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "anyj", 0, 0, 0, "character", 1
"jqr", "at", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "at", 0, 0, 0, "character", 1
"jqr", "at", 0, 0, 1, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "at", 1, 0, 0, "symbol", 1
"jqr", "at_", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "at_", 0, 0, 0, "character", 1
"jqr", "at_", 0, 0, 1, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "at_", 1, 0, 0, "null", 1
"jqr", "at_", 2, 0, 0, "struct<``:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_array", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "build_array", 0, 0, 0, "character", 1
"jqr", "build_array", 1, 0, 0, "language", 1
"jqr", "build_array", 1, 0, 1, "symbol", 1
"jqr", "build_array_", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "build_array_", 0, 0, 0, "character", 1
"jqr", "build_array_", 1, 0, 0, "null", 1
"jqr", "build_array_", 2, 0, 0, "struct<``:struct<`expr`:language, `env`:environment>>", 1
"jqr", "build_array_", 2, 0, 1, "struct<``:struct<`expr`:symbol, `env`:environment>, ``:struct<`expr`:language, `env`:environment>>", 1
"jqr", "build_object", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "build_object", 0, 0, 0, "character", 1
"jqr", "build_object", 0, 0, 1, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "build_object", 1, 0, 0, "symbol", 1
"jqr", "build_object_", -1, 0, 0, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "build_object_", 0, 0, 0, "character", 1
"jqr", "build_object_", 0, 0, 1, "struct<`data`:character, `args`:tuple<character>>", 1
"jqr", "build_object_", 1, 0, 0, "null", 1
"jqr", "build_object_", 2, 0, 0, "struct<`a`:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_object_", 2, 0, 1, "struct<`hello`:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_object_", 2, 0, 2, "struct<`message`:struct<`expr`:symbol, `env`:environment>, `name`:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_object_", 2, 0, 3, "struct<`sha`:struct<`expr`:symbol, `env`:environment>, `author`:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_object_", 2, 0, 4, "struct<``:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_object_", 2, 0, 5, "struct<`sha`:struct<`expr`:symbol, `env`:environment>, `name`:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "build_object_", 2, 0, 6, "struct<`user`:struct<`expr`:symbol, `env`:environment>>", 1
"jqr", "callback", -1, 0, 0, "null", 1
"jqr", "callback", 0, 0, 0, "character[]", 1
"jqr", "collapse_vec", -1, 0, 0, "character", 1
"jqr", "collapse_vec", 0, 0, 0, "character", 1
"jqr", "collapse_vec", 0, 0, 1, "double", 1
