package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"jsonvalidate", "::", -1, 0, 0, "logical", 1
"jsonvalidate", "::", 0, 0, 0, "character", 1
"jsonvalidate", "::", 1, 0, 0, "character", 1
"jsonvalidate", "::", 2, 0, 0, "logical", 1
"jsonvalidate", "::", 3, 0, 0, "logical", 1
"jsonvalidate", "::", 4, 0, 0, "logical", 1
"jsonvalidate", "::", 5, 0, 0, "character", 1
"jsonvalidate", "::", -1, 1, 0, "class<`function`>", 1
"jsonvalidate", "::", 0, 1, 0, "character", 1
"jsonvalidate", "::", 1, 1, 0, "character", 1
"jsonvalidate", "filter", -1, 0, 0, "logical[]", 1
"jsonvalidate", "filter", 0, 0, 0, "character[]", 1
"jsonvalidate", "fun", -1, 0, 0, "character", 1
"jsonvalidate", "fun", 0, 0, 0, "any", 1
"jsonvalidate", "fun", 1, 0, 0, "any", 1
"jsonvalidate", "get_meta_schema_version", -1, 0, 0, "character", 1
"jsonvalidate", "get_meta_schema_version", 0, 0, 0, "character", 1
"jsonvalidate", "get_string", -1, 0, 0, "character", 1
"jsonvalidate", "get_string", 0, 0, 0, "character", 1
"jsonvalidate", "json_validator", -1, 0, 0, "class<`function`>", 1
"jsonvalidate", "json_validator", 0, 0, 0, "character", 1
"jsonvalidate", "json_validator", 1, 0, 0, "character", 1
"jsonvalidate", "json_validator_ajv", -1, 0, 0, "class<`function`>", 1
"jsonvalidate", "json_validator_ajv", 0, 0, 0, "character", 1
"jsonvalidate", "json_validator_imjv", -1, 0, 0, "class<`function`>", 1
"jsonvalidate", "json_validator_imjv", 0, 0, 0, "character", 1
"jsonvalidate", "tmp", -1, 0, 0, "logical", 1
"jsonvalidate", "tmp", 0, 0, 0, "character", 1
"jsonvalidate", "tmp", 1, 0, 0, "logical", 1
"jsonvalidate", "tmp", 2, 0, 0, "logical", 1
"jsonvalidate", "tmp", 3, 0, 0, "logical", 1
"jsonvalidate", "v", -1, 0, 0, "logical", 1
"jsonvalidate", "v", 0, 0, 0, "character", 1
"jsonvalidate", "v", 1, 0, 0, "logical", 1
"jsonvalidate", "v", 2, 0, 0, "logical", 1
"jsonvalidate", "v", 3, 0, 0, "logical", 1
"jsonvalidate", "v", -1, 1, 0, "logical", 1
"jsonvalidate", "v", 0, 1, 0, "character", 1
"jsonvalidate", "v", 1, 1, 0, "logical", 1
"jsonvalidate", "v", 2, 1, 0, "logical", 1
"jsonvalidate", "v", 3, 1, 0, "logical", 1
