package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"kSamples", "ad.pval", -1, 0, 0, "double[]", 1
"kSamples", "ad.pval", 0, 0, 0, "double[]", 1
"kSamples", "ad.pval", 1, 0, 0, "double", 1
"kSamples", "ad.pval", 2, 0, 0, "double", 1
"kSamples", "ad.test", -1, 0, 0, "struct<`test.name`:character, `k`:integer, `ns`:integer[], `N`:integer, `n.ties`:integer, `sig`:double, `ad`:^double[], `warning`:logical, `null.dist1`:double[], `null.dist2`:double[], `method`:character, `Nsim`:double>", 1
"kSamples", "ad.test", 0, 0, 0, "tuple<double[], double[]>", 1
"kSamples", "ad.test", 0, 0, 1, "double[]", 1
"kSamples", "ad.test", 1, 0, 0, "null", 1
"kSamples", "ad.test", 2, 0, 0, "character", 1
"kSamples", "ad.test", 3, 0, 0, "logical", 1
"kSamples", "ad.test", 4, 0, 0, "double", 1
