package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"kohonen", "add.cluster.boundaries", -1, 0, 0, "null", 1
"kohonen", "add.cluster.boundaries", 0, 0, 0, "class<`kohonen`>", 1
"kohonen", "add.cluster.boundaries", 1, 0, 0, "integer[]", 1
"kohonen", "add.cluster.boundaries", 2, 0, 0, "double", 1
"kohonen", "add.cluster.boundaries", 3, 0, 0, "...", 1
"kohonen", "check.data", -1, 0, 0, "list<class<`matrix`>>", 1
"kohonen", "check.data", 0, 0, 0, "class<`matrix`>", 1
"kohonen", "check.data", 0, 0, 1, "list<class<`matrix`> | class<`factor`> | class<`matrix`>>", 1
"kohonen", "check.data.na", -1, 0, 0, "(integer[] | null)", 1
"kohonen", "check.data.na", 0, 0, 0, "list<any>", 1
"kohonen", "check.data.na", 1, 0, 0, "any", 1
"kohonen", "checkListVariables", -1, 0, 0, "logical", 1
"kohonen", "checkListVariables", 0, 0, 0, "list<any>", 1
"kohonen", "checkListVariables", 1, 0, 0, "integer[]", 1
"kohonen", "checkListVariables", 1, 0, 1, "list<integer>", 1
"kohonen", "check.somgrid", -1, 0, 0, "class<`somgrid`>", 1
"kohonen", "check.somgrid", 0, 0, 0, "class<`somgrid`>", 1
"kohonen", "check.whatmap", -1, 0, 0, "(double | integer[])", 1
"kohonen", "check.whatmap", 0, 0, 0, "class<`kohonen`>", 1
"kohonen", "check.whatmap", 0, 0, 1, "list<class<`matrix`> | double | class<`somgrid`> | class<`matrix`>>", 1
"kohonen", "check.whatmap", 1, 0, 0, "double", 1
"kohonen", "check.whatmap", 1, 0, 1, "null", 1
"kohonen", "check.whatmap", 1, 0, 2, "character[]", 1
"kohonen", "check.whatmap", 1, 0, 3, "integer[]", 1
"kohonen", "classmat2classvec", -1, 0, 0, "class<`factor`>", 1
"kohonen", "classmat2classvec", 0, 0, 0, "class<`matrix`>", 1
"kohonen", "classmat2classvec", 1, 0, 0, "double", 1
"kohonen", "classvec2classmat", -1, 0, 0, "class<`matrix`>", 1
"kohonen", "classvec2classmat", 0, 0, 0, "class<`factor`>", 1
"kohonen", "classvec2classmat", 0, 0, 1, "double[]", 1
"kohonen", "CreateStdDistancePointers", -1, 0, 0, "expression", 1
"kohonen", "CreateStdDistancePointers", 0, 0, 0, "class<`factor`>", 1
"kohonen", "CreateStdDistancePointers", 1, 0, 0, "logical", 1
"kohonen", "expandMap", -1, 0, 0, "class<`kohonen`>", 1
"kohonen", "expandMap", 0, 0, 0, "class<`kohonen`>", 1
"kohonen", "FUN", -1, 0, 0, "logical", 1
"kohonen", "FUN", 0, 0, 0, "class<`matrix`>", 1
"kohonen", "FUN", 1, 0, 0, "double", 1
"kohonen", "FUN", 2, 0, 0, "double", 1
"kohonen", "getCodes", -1, 0, 0, "(class<`matrix`> | list<class<`matrix`> | null | class<`matrix`>>)", 1
"kohonen", "getCodes", 0, 0, 0, "class<`kohonen`>", 1
"kohonen", "getCodes", 1, 0, 0, "double", 1
"kohonen", "getCodes", 1, 0, 1, "integer[]", 1
"kohonen", "getDistancePointers", -1, 0, 0, "list<externalptr>", 1
"kohonen", "getDistancePointers", 0, 0, 0, "character[]", 1
"kohonen", "getDistancePointers", 1, 0, 0, "character[]", 1
"kohonen", "getDistancePointers", 2, 0, 0, "double", 1
"kohonen", "getnNA", -1, 0, 0, "class<`matrix`>", 1
"kohonen", "getnNA", 0, 0, 0, "list<class<`matrix`>>", 1
"kohonen", "getnNA", 1, 0, 0, "double", 1
"kohonen", "getnNA", 2, 0, 0, "any", 1
"kohonen", "Hexagon", -1, 0, 0, "null", 1
"kohonen", "Hexagon", 0, 0, 0, "double", 1
"kohonen", "Hexagon", 1, 0, 0, "double", 1
