package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"labelled", "add_value_labels", -1, 0, 0, "struct<`s1`:character[], `s2`:double[]>", 1
"labelled", "add_value_labels", 0, 0, 0, "struct<`s1`:character[], `s2`:double[]>", 1
"labelled", "add_value_labels", 1, 0, 0, "double", 1
"labelled", "copy_labels_from", -1, 0, 0, "struct<`id`:integer[], `happy`:integer[], `gender`:double[]>", 1
"labelled", "copy_labels_from", 0, 0, 0, "struct<`id`:integer[], `happy`:integer[], `gender`:double[]>", 1
"labelled", "copy_labels_from", 1, 0, 0, "struct<`id`:integer[], `happy`:integer[], `gender`:double[]>", 1
"labelled", "copy_labels.data.frame", -1, 0, 0, "struct<`id`:integer[], `happy`:integer[], `gender`:double[]>", 1
"labelled", "copy_labels.data.frame", 0, 0, 0, "struct<`id`:integer[], `happy`:integer[], `gender`:double[]>", 1
"labelled", "copy_labels.data.frame", 1, 0, 0, "struct<`id`:integer[], `happy`:integer[], `gender`:double[]>", 1
"labelled", "copy_labels.default", -1, 0, 0, "double[]", 1
"labelled", "copy_labels.default", 0, 0, 0, "double[]", 1
"labelled", "copy_labels.default", 1, 0, 0, "double[]", 1
"labelled", "filter", -1, 0, 0, "logical[]", 1
"labelled", "filter", 0, 0, 0, "character[]", 1
"labelled", "foreign_to_labelled", -1, 0, 0, "struct<`Sepal.Length`:double[], `Sepal.Width`:double[], `Petal.Length`:double[], `Petal.Width`:double[], `Species`:integer[]>", 1
"labelled", "foreign_to_labelled", 0, 0, 0, "struct<`Sepal.Length`:double[], `Sepal.Width`:double[], `Petal.Length`:double[], `Petal.Width`:double[], `Species`:integer[]>", 1
"labelled", "FUN", -1, 0, 0, "null", 1
"labelled", "FUN", 0, 0, 0, "double[]", 1
"labelled", "FUN", 0, 0, 1, "character", 1
"labelled", "FUN", 1, 0, 0, "symbol", 1
"labelled", "FUN", 1, 0, 1, "character[]", 1
"labelled", "FUN", 2, 0, 0, "symbol", 1
"labelled", "FUN", 2, 0, 1, "logical", 1
"labelled", "FUN", 3, 0, 0, "symbol", 1
"labelled", "FUN", 3, 0, 1, "logical", 1
"labelled", "FUN", 4, 0, 0, "symbol", 1
"labelled", "FUN", 4, 0, 1, "character[]", 1
"labelled", "FUN", 5, 0, 0, "symbol", 1
"labelled", "FUN", 5, 0, 1, "logical", 1
"labelled", "FUN", 6, 0, 0, "logical", 1
"labelled", "FUN", 7, 0, 0, "symbol", 1
"labelled", "FUN", 7, 0, 1, "logical", 1
"labelled", "FUN", 8, 0, 0, "symbol", 1
"labelled", "FUN", 8, 0, 1, "logical", 1
"labelled", "FUN", 9, 0, 0, "symbol", 1
"labelled", "FUN", 10, 0, 0, "null", 1
