package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lambda.r", "%:=%", -1, 0, 0, "null", 1
"lambda.r", "%:=%", 0, 0, 0, "any", 1
"lambda.r", "%:=%", 1, 0, 0, "any", 1
"lambda.r", "%::%", -1, 0, 0, "null", 1
"lambda.r", "%::%", 0, 0, 0, "any", 1
"lambda.r", "%::%", 1, 0, 0, "any", 1
"lambda.r", "add_type", -1, 0, 0, "null", 1
"lambda.r", "add_type", 0, 0, 0, "character", 1
"lambda.r", "add_type", 1, 0, 0, "list<class<`data.frame`> | character | null | class<`data.frame`> | character>", 1
"lambda.r", "add_variant", -1, 0, 0, "null", 1
"lambda.r", "add_variant", 0, 0, 0, "character", 1
"lambda.r", "add_variant", 1, 0, 0, "list<any>", 1
"lambda.r", "add_variant", 2, 0, 0, "environment", 1
"lambda.r", "%as%", -1, 0, 0, "null", 1
"lambda.r", "%as%", 0, 0, 0, "any", 1
"lambda.r", "%as%", 1, 0, 0, "any", 1
"lambda.r", "body_fn", -1, 0, 0, "character[]", 1
"lambda.r", "body_fn", -1, 0, 1, "class<`function`>", 1
"lambda.r", "body_fn", 0, 0, 0, "class<`data.frame`>", 1
"lambda.r", "body_fn", 0, 0, 1, "null", 1
"lambda.r", "body_fn", 1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "body_fn", 2, 0, 0, "environment", 1
"lambda.r", "check_types", -1, 0, 0, "logical", 1
"lambda.r", "check_types", 0, 0, 0, "null", 1
"lambda.r", "check_types", 0, 0, 1, "list<class<`data.frame`> | character | integer[]>", 1
"lambda.r", "check_types", 1, 0, 0, "any", 1
"lambda.r", "clean_defaults", -1, 0, 0, "^character[]", 1
"lambda.r", "clean_defaults", -1, 0, 1, "^logical[]", 1
"lambda.r", "clean_defaults", -1, 0, 2, "null", 1
"lambda.r", "clean_defaults", 0, 0, 0, "list<any>", 1
"lambda.r", "clean_tokens", -1, 0, 0, "character[]", 1
"lambda.r", "clean_tokens", -1, 0, 1, "null", 1
"lambda.r", "clean_tokens", 0, 0, 0, "list<any>", 1
"lambda.r", "dereference_type", -1, 0, 0, "class<`function`>", 1
"lambda.r", "dereference_type", 0, 0, 0, "character[]", 1
"lambda.r", "dereference_type", 1, 0, 0, "list<character[]>", 1
"lambda.r", "fast_forward", -1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "fast_forward", 0, 0, 0, "class<`function`>", 1
"lambda.r", "fast_forward", 1, 0, 0, "character[]", 1
"lambda.r", "fill_args", -1, 0, 0, "null", 1
"lambda.r", "fill_args", -1, 0, 1, "list<any>", 1
"lambda.r", "fill_args", 0, 0, 0, "list<any>", 1
"lambda.r", "fill_args", 1, 0, 0, "null", 1
"lambda.r", "fill_args", 1, 0, 1, "character[]", 1
"lambda.r", "fill_args", 2, 0, 0, "any", 1
"lambda.r", "fill_args", 3, 0, 0, "integer[]", 1
"lambda.r", "from_root_env", -1, 0, 0, "logical", 1
"lambda.r", "from_root_env", 0, 0, 0, "pairlist", 1
"lambda.r", "get_function_env", -1, 0, 0, "environment", 1
"lambda.r", "get_lr", -1, 0, 0, "class<`function`, `lambdar.fun`>", 1
"lambda.r", "get_lr", -1, 0, 1, "class<`function`, `lambdar.type`>", 1
"lambda.r", "get_lr", 0, 0, 0, "character", 1
"lambda.r", "get_name", -1, 0, 0, "character", 1
"lambda.r", "get_name", 0, 0, 0, "class<`function`>", 1
"lambda.r", "get_type", -1, 0, 0, "null", 1
"lambda.r", "get_type", -1, 0, 1, "list<class<`data.frame`> | character | integer[]>", 1
"lambda.r", "get_type", 0, 0, 0, "any", 1
"lambda.r", "get_type", 1, 0, 0, "null", 1
"lambda.r", "get_type", 1, 0, 1, "double", 1
"lambda.r", "get_type_index", -1, 0, 0, "double", 1
"lambda.r", "get_type_index", -1, 0, 1, "null", 1
"lambda.r", "get_type_index", 0, 0, 0, "class<`function`, `lambdar.fun`>", 1
"lambda.r", "get_type_index", 0, 0, 1, "class<`function`, `lambdar.type`>", 1
"lambda.r", "get_type_index", 1, 0, 0, "any", 1
"lambda.r", "get_type_index", 2, 0, 0, "any", 1
"lambda.r", "get_variant", -1, 0, 0, "list<list<any>>", 1
"lambda.r", "get_variant", 0, 0, 0, "class<`function`, `lambdar.fun`>", 1
"lambda.r", "get_variant", 0, 0, 1, "class<`function`, `lambdar.type`>", 1
"lambda.r", "get_variant", 1, 0, 0, "integer", 1
"lambda.r", "guard_fn", -1, 0, 0, "class<`function`>", 1
"lambda.r", "guard_fn", -1, 0, 1, "null", 1
"lambda.r", "guard_fn", 0, 0, 0, "class<`data.frame`>", 1
"lambda.r", "guard_fn", 1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "guard_fn", 1, 0, 1, "null", 1
"lambda.r", "guard_fn", 2, 0, 0, "any", 1
"lambda.r", "has_ellipsis", -1, 0, 0, "integer[]", 1
"lambda.r", "has_ellipsis", 0, 0, 0, "character[]", 1
"lambda.r", "has_variant", -1, 0, 0, "integer", 1
"lambda.r", "has_variant", -1, 0, 1, "logical[]", 1
"lambda.r", "has_variant", -1, 0, 2, "list<any>", 1
"lambda.r", "has_variant", 0, 0, 0, "list<any>", 1
"lambda.r", "has_variant", 1, 0, 0, "any", 1
"lambda.r", "has_variant", 2, 0, 0, "any", 1
"lambda.r", "has_variant", 3, 0, 0, "any", 1
"lambda.r", "idx_ellipsis", -1, 0, 0, "integer[]", 1
"lambda.r", "idx_ellipsis", 0, 0, 0, "list<any>", 1
"lambda.r", "init_function", -1, 0, 0, "class<`function`, `lambdar.fun`>", 1
"lambda.r", "init_function", -1, 0, 1, "class<`function`, `lambdar.type`>", 1
"lambda.r", "init_function", 0, 0, 0, "character", 1
"lambda.r", "init_function", 1, 0, 0, "environment", 1
"lambda.r", "%isa%", -1, 0, 0, "logical", 1
"lambda.r", "%isa%", 0, 0, 0, "double", 1
"lambda.r", "%isa%", 1, 0, 0, "any", 1
"lambda.r", "is.bound", -1, 0, 0, "logical", 1
"lambda.r", "is.bound", 0, 0, 0, "character", 1
"lambda.r", "is.infix", -1, 0, 0, "logical", 1
"lambda.r", "is.infix", 0, 0, 0, "character", 1
"lambda.r", ".is.simple", -1, 0, 0, "logical", 1
"lambda.r", ".is.simple", 0, 0, 0, "character", 1
"lambda.r", ".is.simple", 0, 0, 1, "class<`matrix`>", 1
"lambda.r", ".is.simple", 0, 0, 2, "class<`Prices`, `numeric`>", 1
"lambda.r", ".is.simple", 0, 0, 3, "double", 1
"lambda.r", "is.type", -1, 0, 0, "logical", 1
"lambda.r", "is.type", 0, 0, 0, "character", 1
"lambda.r", "iterator", -1, 0, 0, "class<`function`>", 1
"lambda.r", "iterator", 0, 0, 0, "class<`data.frame`>", 1
"lambda.r", "NewObject", -1, 0, 0, "any", 1
"lambda.r", "NewObject", 0, 0, 0, "any", 1
"lambda.r", "NewObject", 1, 0, 0, "character", 1
"lambda.r", "NewObject", 2, 0, 0, "...", 1
"lambda.r", "parse_body", -1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "parse_body", 0, 0, 0, "class<`function`>", 1
"lambda.r", "parse_eval", -1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "parse_eval", 0, 0, 0, "class<`function`>", 1
"lambda.r", "parse_eval", 1, 0, 0, "null", 1
"lambda.r", "parse_fun", -1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "parse_fun", 0, 0, 0, "class<`function`>", 1
"lambda.r", "parse_fun", 1, 0, 0, "null", 1
"lambda.r", "parse_guard", -1, 0, 0, "class<`data.frame`>", 1
"lambda.r", "parse_guard", -1, 0, 1, "null", 1
