package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lars", "backsolvet", -1, 0, 0, "double[]", 1
"lars", "backsolvet", 0, 0, 0, "class<`matrix`>", 1
"lars", "backsolvet", 1, 0, 0, "double[]", 1
"lars", "backsolvet", 2, 0, 0, "integer", 1
"lars", "betabreaker", -1, 0, 0, "class<`matrix`>", 1
"lars", "betabreaker", 0, 0, 0, "class<`lars`>", 1
"lars", "coef.lars", -1, 0, 0, "double[]", 1
"lars", "coef.lars", 0, 0, 0, "class<`lars`>", 1
"lars", "coef.lars", 1, 0, 0, "...", 1
"lars", "cv.folds", -1, 0, 0, "list<integer[]>", 1
"lars", "cv.folds", 0, 0, 0, "integer", 1
"lars", "cv.folds", 1, 0, 0, "double", 1
"lars", "cv.lars", -1, 0, 0, "list<double[] | character>", 1
"lars", "cv.lars", 0, 0, 0, "class<`AsIs`>", 1
"lars", "cv.lars", 1, 0, 0, "double[]", 1
"lars", "cv.lars", 2, 0, 0, "double", 1
"lars", "cv.lars", 3, 0, 0, "any", 1
"lars", "cv.lars", 4, 0, 0, "logical", 1
"lars", "cv.lars", 5, 0, 0, "logical", 1
"lars", "cv.lars", 6, 0, 0, "logical", 1
"lars", "cv.lars", 7, 0, 0, "character[]", 1
"lars", "delcol", -1, 0, 0, "list<class<`matrix`>>", 1
"lars", "delcol", 0, 0, 0, "class<`matrix`>", 1
"lars", "delcol", 1, 0, 0, "double[]", 1
"lars", "delcol", 2, 0, 0, "integer", 1
"lars", "downdateR", -1, 0, 0, "class<`matrix`>", 1
"lars", "downdateR", 0, 0, 0, "class<`matrix`>", 1
"lars", "downdateR", 1, 0, 0, "integer", 1
"lars", "error.bars", -1, 0, 0, "double[]", 1
"lars", "error.bars", 0, 0, 0, "double[]", 1
"lars", "error.bars", 1, 0, 0, "double[]", 1
"lars", "error.bars", 2, 0, 0, "double[]", 1
"lars", "error.bars", 3, 0, 0, "double", 1
"lars", "error.bars", 4, 0, 0, "...", 1
"lars", "lars", -1, 0, 0, "class<`lars`>", 1
"lars", "lars", 0, 0, 0, "class<`AsIs`>", 1
"lars", "lars", 1, 0, 0, "double[]", 1
"lars", "lars", 2, 0, 0, "character[]", 1
"lars", "lars", 3, 0, 0, "logical", 1
"lars", "lars", 4, 0, 0, "logical", 1
"lars", "lars", 5, 0, 0, "logical", 1
"lars", "lars", 6, 0, 0, "any", 1
"lars", "lars", 7, 0, 0, "double", 1
"lars", "nnls.lars", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"lars", "nnls.lars", 0, 0, 0, "integer[]", 1
"lars", "nnls.lars", 1, 0, 0, "double[]", 1
"lars", "nnls.lars", 2, 0, 0, "class<`matrix`>", 1
"lars", "nnls.lars", 3, 0, 0, "double[]", 1
"lars", "nnls.lars", 4, 0, 0, "class<`matrix`>", 1
"lars", "nnls.lars", 5, 0, 0, "any", 1
"lars", "nnls.lars", 6, 0, 0, "logical", 1
"lars", "nnls.lars", 7, 0, 0, "logical", 1
"lars", "plotCVLars", -1, 0, 0, "null", 1
"lars", "plotCVLars", 0, 0, 0, "list<double[] | character>", 1
"lars", "plotCVLars", 1, 0, 0, "logical", 1
"lars", "plot.lars", -1, 0, 0, "null", 1
"lars", "plot.lars", 0, 0, 0, "class<`lars`>", 1
"lars", "plot.lars", 1, 0, 0, "character[]", 1
"lars", "plot.lars", 2, 0, 0, "logical", 1
"lars", "plot.lars", 3, 0, 0, "character[]", 1
"lars", "plot.lars", 4, 0, 0, "logical", 1
"lars", "plot.lars", 5, 0, 0, "double", 1
"lars", "plot.lars", 6, 0, 0, "...", 1
"lars", "predict.lars", -1, 0, 0, "list<double[] | character | class<`matrix`>>", 1
"lars", "predict.lars", -1, 0, 1, "list<character | double[]>", 1
"lars", "predict.lars", 0, 0, 0, "class<`lars`>", 1
"lars", "predict.lars", 1, 0, 0, "any", 1
"lars", "predict.lars", 2, 0, 0, "any", 1
"lars", "predict.lars", 3, 0, 0, "character[]", 1
"lars", "predict.lars", 4, 0, 0, "character[]", 1
"lars", "predict.lars", 5, 0, 0, "...", 1
"lars", "summary.lars", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"lars", "summary.lars", 0, 0, 0, "class<`lars`>", 1
"lars", "summary.lars", 1, 0, 0, "null", 1
"lars", "summary.lars", 2, 0, 0, "...", 1
"lars", "updateR", -1, 0, 0, "class<`matrix`>", 1
"lars", "updateR", 0, 0, 0, "double", 1
"lars", "updateR", 1, 0, 0, "class<`matrix`>", 1
"lars", "updateR", 1, 0, 1, "null", 1
"lars", "updateR", 2, 0, 0, "any", 1
"lars", "updateR", 3, 0, 0, "any", 1
"lars", "updateR", 4, 0, 0, "logical", 1
