package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lattice", "as.character.shingleLevel", -1, 0, 0, "character[]", 1
"lattice", "as.character.shingleLevel", 0, 0, 0, "class<`shingleLevel`>", 1
"lattice", "as.character.shingleLevel", 1, 0, 0, "...", 1
"lattice", "as.factorOrShingle", -1, 0, 0, "class<`factor`>", 1
"lattice", "as.factorOrShingle", -1, 0, 1, "class<`shingle`>", 1
"lattice", "as.factorOrShingle", 0, 0, 0, "character[]", 1
"lattice", "as.factorOrShingle", 0, 0, 1, "class<`factor`>", 1
"lattice", "as.factorOrShingle", 0, 0, 2, "class<`shingle`>", 1
"lattice", "as.factorOrShingle", 0, 0, 3, "double[]", 1
"lattice", "as.factorOrShingle", 0, 0, 4, "null", 1
"lattice", "as.factorOrShingle", 1, 0, 0, "integer[]", 1
"lattice", "as.factorOrShingle", 2, 0, 0, "logical", 1
"lattice", "as.shingle", -1, 0, 0, "class<`shingle`>", 1
"lattice", "as.shingle", 0, 0, 0, "class<`shingle`>", 1
"lattice", "as.shingle", 0, 0, 1, "double[]", 1
"lattice", "as.shingle", 0, 0, 2, "null", 1
"lattice", "barchart", -1, 0, 0, "class<`trellis`>", 1
"lattice", "barchart", 0, 0, 0, "class<`formula`>", 1
"lattice", "barchart", 0, 0, 1, "class<`array`>", 1
"lattice", "barchart", 0, 0, 2, "class<`matrix`>", 1
"lattice", "barchart", 0, 0, 3, "class<`table`>", 1
"lattice", "barchart", 0, 0, 4, "double[]", 1
"lattice", "barchart", 1, 0, 0, "any", 1
"lattice", "barchart", 2, 0, 0, "...", 1
"lattice", "barchart.array", -1, 0, 0, "class<`trellis`>", 1
"lattice", "barchart.array", 0, 0, 0, "class<`array`>", 1
"lattice", "barchart.array", 0, 0, 1, "class<`matrix`>", 1
"lattice", "barchart.array", 1, 0, 0, "null", 1
"lattice", "barchart.array", 2, 0, 0, "...", 1
"lattice", "barchart.formula", -1, 0, 0, "class<`trellis`>", 1
"lattice", "barchart.formula", 0, 0, 0, "class<`formula`>", 1
"lattice", "barchart.formula", 1, 0, 0, "class<`data.frame`>", 1
"lattice", "barchart.formula", 1, 0, 1, "environment", 1
"lattice", "barchart.formula", 1, 0, 2, "list<integer[] | class<`factor`>>", 1
"lattice", "barchart.formula", 2, 0, 0, "character", 1
"lattice", "barchart.formula", 3, 0, 0, "character", 1
"lattice", "barchart.formula", 4, 0, 0, "double", 1
"lattice", "barchart.formula", 5, 0, 0, "...", 1
"lattice", "barchart.matrix", -1, 0, 0, "class<`trellis`>", 1
"lattice", "barchart.matrix", 0, 0, 0, "class<`array`>", 1
"lattice", "barchart.matrix", 0, 0, 1, "class<`matrix`>", 1
"lattice", "barchart.matrix", 1, 0, 0, "null", 1
"lattice", "barchart.matrix", 2, 0, 0, "...", 1
"lattice", "barchart.numeric", -1, 0, 0, "class<`trellis`>", 1
"lattice", "barchart.numeric", 0, 0, 0, "double[]", 1
"lattice", "barchart.numeric", 1, 0, 0, "null", 1
"lattice", "barchart.numeric", 2, 0, 0, "character", 1
"lattice", "barchart.numeric", 3, 0, 0, "...", 1
"lattice", "barchart.table", -1, 0, 0, "class<`trellis`>", 1
"lattice", "barchart.table", 0, 0, 0, "class<`table`>", 1
"lattice", "barchart.table", 1, 0, 0, "null", 1
"lattice", "barchart.table", 2, 0, 0, "logical", 1
