package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lifecycle", "deprecated", -1, 0, 0, "any", 1
"lifecycle", "deprecate_soft", -1, 0, 0, "any", 1
"lifecycle", "deprecate_soft", 0, 0, 0, "character", 1
"lifecycle", "deprecate_soft", 1, 0, 0, "character", 1
"lifecycle", "deprecate_soft", 2, 0, 0, "null", 1
"lifecycle", "deprecate_soft", 3, 0, 0, "null", 1
"lifecycle", "deprecate_soft", 4, 0, 0, "null", 1
"lifecycle", "deprecate_soft", 5, 0, 0, "any", 1
"lifecycle", "deprecate_stop", -1, 0, 0, "any", 1
"lifecycle", "deprecate_stop", 0, 0, 0, "character", 1
"lifecycle", "deprecate_stop", 1, 0, 0, "character", 1
"lifecycle", "deprecate_stop", 2, 0, 0, "null", 1
"lifecycle", "deprecate_stop", 3, 0, 0, "null", 1
"lifecycle", "deprecate_warn", -1, 0, 0, "any", 1
"lifecycle", "deprecate_warn", 0, 0, 0, "character", 1
"lifecycle", "deprecate_warn", 1, 0, 0, "character", 1
"lifecycle", "deprecate_warn", 2, 0, 0, "character", 1
"lifecycle", "deprecate_warn", 2, 0, 1, "null", 1
"lifecycle", "deprecate_warn", 3, 0, 0, "null", 1
"lifecycle", "deprecate_warn", 4, 0, 0, "null", 1
"lifecycle", "deprecate_warn", 5, 0, 0, "any", 1
"lifecycle", "has_crayon", -1, 0, 0, "logical", 1
"lifecycle", "lifecycle_build_message", -1, 0, 0, "character", 1
"lifecycle", "lifecycle_build_message", 0, 0, 0, "character", 1
"lifecycle", "lifecycle_build_message", 1, 0, 0, "character", 1
"lifecycle", "lifecycle_build_message", 2, 0, 0, "character", 1
"lifecycle", "lifecycle_build_message", 2, 0, 1, "null", 1
"lifecycle", "lifecycle_build_message", 3, 0, 0, "null", 1
"lifecycle", "lifecycle_build_message", 4, 0, 0, "character", 1
"lifecycle", "lifecycle_verbosity", -1, 0, 0, "character", 1
"lifecycle", "new_deprecated_warning", -1, 0, 0, "class<`condition`, `lifecycle_warning_deprecated`, `warning`>", 1
"lifecycle", "new_deprecated_warning", 0, 0, 0, "character", 1
"lifecycle", "new_deprecated_warning", 1, 0, 0, "class<`rlang_trace`>", 1
"lifecycle", "paste_line", -1, 0, 0, "character", 1
"lifecycle", "paste_line", 0, 0, 0, "...", 1
"lifecycle", "push_warning", -1, 0, 0, "list<class<`condition`, `lifecycle_warning_deprecated`, `warning`>>", 1
"lifecycle", "push_warning", 0, 0, 0, "class<`condition`, `lifecycle_warning_deprecated`, `warning`>", 1
"lifecycle", "signal_validate_arg", -1, 0, 0, "character", 1
"lifecycle", "signal_validate_arg", -1, 0, 1, "null", 1
"lifecycle", "signal_validate_arg", 0, 0, 0, "class<`call`>", 1
"lifecycle", "signal_validate_arg", 1, 0, 0, "any", 1
"lifecycle", "signal_validate_fn", -1, 0, 0, "character", 1
"lifecycle", "signal_validate_fn", 0, 0, 0, "class<`call`>", 1
"lifecycle", "signal_validate_pkg", -1, 0, 0, "character", 1
"lifecycle", "signal_validate_pkg", 0, 0, 0, "environment", 1
"lifecycle", "signal_validate_what", -1, 0, 0, "list<character | class<`call`>>", 1
"lifecycle", "signal_validate_what", -1, 0, 1, "list<null | class<`call`>>", 1
"lifecycle", "signal_validate_what", 0, 0, 0, "character", 1
"lifecycle", "signal_validate_what", 1, 0, 0, "character", 1
"lifecycle", "signal_validate_what", 2, 0, 0, "any", 1
"lifecycle", "silver", -1, 0, 0, "character", 1
"lifecycle", "silver", 0, 0, 0, "character", 1
