package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lmerTest", "anova.lmerModLmerTest", -1, 0, 0, "any", 1
"lmerTest", "anova.lmerModLmerTest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "anova.lmerModLmerTest", 1, 0, 0, "...", 1
"lmerTest", "anova.lmerModLmerTest", 2, 0, 0, "any", 1
"lmerTest", "anova.lmerModLmerTest", 3, 0, 0, "any", 1
"lmerTest", "anova.merModLmerTest", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"lmerTest", "anova.merModLmerTest", 0, 0, 0, "class<`merModLmerTest`>", 1
"lmerTest", "anova.merModLmerTest", 1, 0, 0, "...", 1
"lmerTest", "anova.merModLmerTest", 2, 0, 0, "character[]", 1
"lmerTest", "anova.merModLmerTest", 3, 0, 0, "character[]", 1
"lmerTest", "as.data.frame.ls_means", -1, 0, 0, "class<`data.frame`>", 1
"lmerTest", "as.data.frame.ls_means", 0, 0, 0, "class<`data.frame`, `ls_means`>", 1
"lmerTest", "as.data.frame.ls_means", 1, 0, 0, "...", 1
"lmerTest", "as.data.frame.ls_means", 2, 0, 0, "logical", 1
"lmerTest", "as_lmerModLmerTest", -1, 0, 0, "any", 1
"lmerTest", "as_lmerModLmerTest", 0, 0, 0, "class<`lmerMod`>", 1
"lmerTest", "as_lmerModLmerTest", 0, 0, 1, "class<`merModLmerTest`>", 1
"lmerTest", "as_lmerModLmerTest", 1, 0, 0, "double", 1
"lmerTest", "as_lmerModLT", -1, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "as_lmerModLT", 0, 0, 0, "class<`lmerMod`>", 1
"lmerTest", "as_lmerModLT", 0, 0, 1, "class<`merModLmerTest`>", 1
"lmerTest", "as_lmerModLT", 1, 0, 0, "class<`function`>", 1
"lmerTest", "as_lmerModLT", 2, 0, 0, "double", 1
"lmerTest", "containment", -1, 0, 0, "list<character[]>", 1
"lmerTest", "containment", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "contest", -1, 0, 0, "class<`data.frame`>", 1
"lmerTest", "contest", -1, 0, 1, "list<class<`data.frame`>>", 1
"lmerTest", "contest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "contest", 0, 0, 1, "class<`merModLmerTest`>", 1
"lmerTest", "contest", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contest", 1, 0, 1, "double[]", 1
"lmerTest", "contest", 1, 0, 2, "list<double[] | class<`matrix`>>", 1
"lmerTest", "contest", 2, 0, 0, "...", 1
"lmerTest", "contest1D", -1, 0, 0, "any", 1
"lmerTest", "contest1D", 0, 0, 0, "class<`lmerMod`>", 1
"lmerTest", "contest1D", 0, 0, 1, "class<`lmerModLmerTest`>", 1
"lmerTest", "contest1D", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contest1D", 1, 0, 1, "^double[]", 1
"lmerTest", "contest1D", 1, 0, 2, "list<double[]>", 1
"lmerTest", "contest1D", 2, 0, 0, "...", 1
"lmerTest", "contest1D.lmerMod", -1, 0, 0, "class<`data.frame`>", 1
"lmerTest", "contest1D.lmerMod", 0, 0, 0, "class<`lmerMod`>", 1
"lmerTest", "contest1D.lmerMod", 1, 0, 0, "double[]", 1
"lmerTest", "contest1D.lmerMod", 2, 0, 0, "double", 1
"lmerTest", "contest1D.lmerMod", 3, 0, 0, "character[]", 1
"lmerTest", "contest1D.lmerMod", 4, 0, 0, "logical", 1
"lmerTest", "contest1D.lmerMod", 5, 0, 0, "double", 1
"lmerTest", "contest1D.lmerMod", 6, 0, 0, "...", 1
"lmerTest", "contest1D.lmerModLmerTest", -1, 0, 0, "any", 1
"lmerTest", "contest1D.lmerModLmerTest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "contest1D.lmerModLmerTest", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contest1D.lmerModLmerTest", 1, 0, 1, "^double[]", 1
"lmerTest", "contest1D.lmerModLmerTest", 1, 0, 2, "list<double[]>", 1
"lmerTest", "contest1D.lmerModLmerTest", 2, 0, 0, "double", 1
"lmerTest", "contest1D.lmerModLmerTest", 3, 0, 0, "character[]", 1
"lmerTest", "contest1D.lmerModLmerTest", 4, 0, 0, "logical", 1
"lmerTest", "contest1D.lmerModLmerTest", 5, 0, 0, "any", 1
"lmerTest", "contest1D.lmerModLmerTest", 6, 0, 0, "...", 1
"lmerTest", "contest.lmerMod", -1, 0, 0, "class<`data.frame`>", 1
"lmerTest", "contest.lmerMod", 0, 0, 0, "class<`merModLmerTest`>", 1
"lmerTest", "contest.lmerMod", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contest.lmerMod", 1, 0, 1, "double[]", 1
"lmerTest", "contest.lmerMod", 2, 0, 0, "double", 1
"lmerTest", "contest.lmerMod", 3, 0, 0, "logical", 1
"lmerTest", "contest.lmerMod", 4, 0, 0, "logical", 1
"lmerTest", "contest.lmerMod", 5, 0, 0, "logical", 1
"lmerTest", "contest.lmerMod", 6, 0, 0, "double", 1
"lmerTest", "contest.lmerMod", 7, 0, 0, "logical", 1
"lmerTest", "contest.lmerModLmerTest", -1, 0, 0, "class<`data.frame`>", 1
"lmerTest", "contest.lmerModLmerTest", -1, 0, 1, "list<class<`data.frame`>>", 1
"lmerTest", "contest.lmerModLmerTest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "contest.lmerModLmerTest", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contest.lmerModLmerTest", 1, 0, 1, "double[]", 1
"lmerTest", "contest.lmerModLmerTest", 1, 0, 2, "list<double[] | class<`matrix`>>", 1
"lmerTest", "contest.lmerModLmerTest", 2, 0, 0, "double", 1
"lmerTest", "contest.lmerModLmerTest", 3, 0, 0, "logical", 1
"lmerTest", "contest.lmerModLmerTest", 4, 0, 0, "logical", 1
"lmerTest", "contest.lmerModLmerTest", 5, 0, 0, "any", 1
"lmerTest", "contest.lmerModLmerTest", 6, 0, 0, "any", 1
"lmerTest", "contest.lmerModLmerTest", 7, 0, 0, "any", 1
"lmerTest", "contestMD", -1, 0, 0, "any", 1
"lmerTest", "contestMD", 0, 0, 0, "class<`lmerMod`>", 1
"lmerTest", "contestMD", 0, 0, 1, "class<`lmerModLmerTest`>", 1
"lmerTest", "contestMD", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contestMD", 1, 0, 1, "^double[]", 1
"lmerTest", "contestMD", 1, 0, 2, "list<class<`matrix`>>", 1
"lmerTest", "contestMD", 2, 0, 0, "...", 1
"lmerTest", "contestMD.lmerMod", -1, 0, 0, "class<`data.frame`>", 1
"lmerTest", "contestMD.lmerMod", 0, 0, 0, "class<`lmerMod`>", 1
"lmerTest", "contestMD.lmerMod", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contestMD.lmerMod", 2, 0, 0, "double", 1
"lmerTest", "contestMD.lmerMod", 3, 0, 0, "character[]", 1
"lmerTest", "contestMD.lmerMod", 4, 0, 0, "any", 1
"lmerTest", "contestMD.lmerMod", 5, 0, 0, "...", 1
"lmerTest", "contestMD.lmerModLmerTest", -1, 0, 0, "any", 1
"lmerTest", "contestMD.lmerModLmerTest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "contestMD.lmerModLmerTest", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "contestMD.lmerModLmerTest", 1, 0, 1, "^double[]", 1
"lmerTest", "contestMD.lmerModLmerTest", 1, 0, 2, "list<class<`matrix`>>", 1
"lmerTest", "contestMD.lmerModLmerTest", 2, 0, 0, "double[]", 1
"lmerTest", "contestMD.lmerModLmerTest", 3, 0, 0, "any", 1
"lmerTest", "contestMD.lmerModLmerTest", 4, 0, 0, "any", 1
"lmerTest", "contestMD.lmerModLmerTest", 5, 0, 0, "...", 1
"lmerTest", "difflsmeans", -1, 0, 0, "class<`data.frame`, `ls_means`>", 1
"lmerTest", "difflsmeans", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "difflsmeans", 0, 0, 1, "class<`merModLmerTest`>", 1
"lmerTest", "difflsmeans", 1, 0, 0, "...", 1
"lmerTest", "difflsmeans.lmerModLmerTest", -1, 0, 0, "class<`data.frame`, `ls_means`>", 1
"lmerTest", "difflsmeans.lmerModLmerTest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "difflsmeans.lmerModLmerTest", 1, 0, 0, "null", 1
"lmerTest", "difflsmeans.lmerModLmerTest", 2, 0, 0, "double", 1
"lmerTest", "difflsmeans.lmerModLmerTest", 3, 0, 0, "character[]", 1
"lmerTest", "difflsmeans.lmerModLmerTest", 4, 0, 0, "...", 1
"lmerTest", "difflsmeans.merModLmerTest", -1, 0, 0, "class<`data.frame`, `ls_means`>", 1
"lmerTest", "difflsmeans.merModLmerTest", 0, 0, 0, "class<`merModLmerTest`>", 1
"lmerTest", "difflsmeans.merModLmerTest", 1, 0, 0, "null", 1
"lmerTest", "difflsmeans.merModLmerTest", 2, 0, 0, "double", 1
"lmerTest", "difflsmeans.merModLmerTest", 3, 0, 0, "character[]", 1
"lmerTest", "difflsmeans.merModLmerTest", 4, 0, 0, "...", 1
"lmerTest", "doolittle", -1, 0, 0, "list<class<`matrix`>>", 1
"lmerTest", "doolittle", 0, 0, 0, "class<`matrix`>", 1
"lmerTest", "doolittle", 1, 0, 0, "double", 1
"lmerTest", "drop1.lmerModLmerTest", -1, 0, 0, "any", 1
"lmerTest", "drop1.lmerModLmerTest", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "drop1.lmerModLmerTest", 1, 0, 0, "any", 1
"lmerTest", "drop1.lmerModLmerTest", 2, 0, 0, "character[]", 1
"lmerTest", "drop1.lmerModLmerTest", 3, 0, 0, "logical", 1
"lmerTest", "drop1.lmerModLmerTest", 4, 0, 0, "...", 1
"lmerTest", "drop1.merModLmerTest", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"lmerTest", "drop1.merModLmerTest", 0, 0, 0, "class<`merModLmerTest`>", 1
"lmerTest", "drop1.merModLmerTest", 1, 0, 0, "any", 1
"lmerTest", "drop1.merModLmerTest", 2, 0, 0, "character[]", 1
"lmerTest", "drop1.merModLmerTest", 3, 0, 0, "logical", 1
"lmerTest", "drop1.merModLmerTest", 4, 0, 0, "...", 1
"lmerTest", "ensure_full_rank", -1, 0, 0, "class<`matrix`>", 1
"lmerTest", "ensure_full_rank", 0, 0, 0, "class<`matrix`>", 1
"lmerTest", "ensure_full_rank", 1, 0, 0, "double", 1
"lmerTest", "ensure_full_rank", 2, 0, 0, "logical", 1
"lmerTest", "ensure_full_rank", 3, 0, 0, "logical", 1
"lmerTest", "extract_contrasts_type3", -1, 0, 0, "list<class<`matrix`>>", 1
"lmerTest", "extract_contrasts_type3", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "extract_contrasts_type3", 1, 0, 0, "class<`matrix`>", 1
"lmerTest", "fix_redTable", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"lmerTest", "fix_redTable", 0, 0, 0, "class<`anova`, `data.frame`>", 1
"lmerTest", "get_coefmat", -1, 0, 0, "class<`matrix`>", 1
"lmerTest", "get_coefmat", 0, 0, 0, "class<`lmerModLmerTest`>", 1
"lmerTest", "get_coefmat", 1, 0, 0, "character", 1
"lmerTest", "get_contrast_coding", -1, 0, 0, "list<any>", 1
"lmerTest", "get_contrast_coding", -1, 0, 1, "null", 1
