package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lmtest", "bgtest", -1, 0, 0, "class<`bgtest`, `htest`>", 1
"lmtest", "bgtest", 0, 0, 0, "class<`formula`>", 1
"lmtest", "bgtest", 1, 0, 0, "double", 1
"lmtest", "bgtest", 2, 0, 0, "null", 1
"lmtest", "bgtest", 3, 0, 0, "character[]", 1
"lmtest", "bgtest", 4, 0, 0, "class<`mts`, `ts`>", 1
"lmtest", "bgtest", 4, 0, 1, "list<any>", 1
"lmtest", "bgtest", 5, 0, 0, "double", 1
"lmtest", "bptest", -1, 0, 0, "class<`htest`>", 1
"lmtest", "bptest", 0, 0, 0, "class<`formula`>", 1
"lmtest", "bptest", 1, 0, 0, "class<`formula`>", 1
"lmtest", "bptest", 1, 0, 1, "null", 1
"lmtest", "bptest", 2, 0, 0, "logical", 1
"lmtest", "bptest", 3, 0, 0, "class<`mts`, `ts`>", 1
"lmtest", "bptest", 3, 0, 1, "class<`matrix`, `mts`, `ts`>", 1
"lmtest", "bptest", 3, 0, 2, "list<any>", 1
"lmtest", "coefci", -1, 0, 0, "class<`matrix`>", 1
"lmtest", "coefci", 0, 0, 0, "class<`lm`>", 1
"lmtest", "coefci", 1, 0, 0, "null", 1
"lmtest", "coefci", 2, 0, 0, "double", 1
"lmtest", "coefci", 3, 0, 0, "class<`function`>", 1
"lmtest", "coefci", 3, 0, 1, "null", 1
"lmtest", "coefci", 4, 0, 0, "double", 1
"lmtest", "coefci", 4, 0, 1, "null", 1
"lmtest", "coefci", 5, 0, 0, "...", 1
"lmtest", "coefci.default", -1, 0, 0, "class<`matrix`>", 1
"lmtest", "coefci.default", 0, 0, 0, "class<`lm`>", 1
"lmtest", "coefci.default", 1, 0, 0, "null", 1
"lmtest", "coefci.default", 2, 0, 0, "double", 1
"lmtest", "coefci.default", 3, 0, 0, "class<`function`>", 1
"lmtest", "coefci.default", 3, 0, 1, "null", 1
"lmtest", "coefci.default", 4, 0, 0, "double", 1
"lmtest", "coefci.default", 4, 0, 1, "null", 1
"lmtest", "coefci.default", 5, 0, 0, "...", 1
"lmtest", "coeftest", -1, 0, 0, "class<`coeftest`>", 1
"lmtest", "coeftest", 0, 0, 0, "class<`bgtest`, `htest`>", 1
"lmtest", "coeftest", 0, 0, 1, "class<`lm`>", 1
"lmtest", "coeftest", 1, 0, 0, "null", 1
"lmtest", "coeftest", 1, 0, 1, "class<`function`>", 1
"lmtest", "coeftest", 1, 0, 2, "class<`matrix`>", 1
"lmtest", "coeftest", 2, 0, 0, "null", 1
"lmtest", "coeftest", 2, 0, 1, "double", 1
"lmtest", "coeftest", 3, 0, 0, "...", 1
"lmtest", "coeftest.default", -1, 0, 0, "class<`coeftest`>", 1
"lmtest", "coeftest.default", 0, 0, 0, "class<`bgtest`, `htest`>", 1
"lmtest", "coeftest.default", 0, 0, 1, "class<`lm`>", 1
"lmtest", "coeftest.default", 1, 0, 0, "null", 1
"lmtest", "coeftest.default", 1, 0, 1, "class<`function`>", 1
"lmtest", "coeftest.default", 1, 0, 2, "class<`matrix`>", 1
"lmtest", "coeftest.default", 2, 0, 0, "null", 1
"lmtest", "coeftest.default", 2, 0, 1, "double", 1
"lmtest", "coeftest.default", 3, 0, 0, "...", 1
"lmtest", "confint.coeftest", -1, 0, 0, "class<`matrix`>", 1
"lmtest", "confint.coeftest", 0, 0, 0, "class<`coeftest`>", 1
"lmtest", "confint.coeftest", 1, 0, 0, "null", 1
"lmtest", "confint.coeftest", 2, 0, 0, "double", 1
"lmtest", "confint.coeftest", 3, 0, 0, "...", 1
"lmtest", "coxtest", -1, 0, 0, "class<`anova`, `data.frame`>", 1
"lmtest", "coxtest", 0, 0, 0, "class<`lm`>", 1
"lmtest", "coxtest", 1, 0, 0, "class<`lm`>", 1
"lmtest", "coxtest", 2, 0, 0, "any", 1
"lmtest", "df.residual.bgtest", -1, 0, 0, "null", 1
"lmtest", "df.residual.bgtest", 0, 0, 0, "class<`bgtest`, `htest`>", 1
"lmtest", "df.residual.bgtest", 1, 0, 0, "...", 1
"lmtest", "df.residual.coeftest", -1, 0, 0, "double", 1
"lmtest", "df.residual.coeftest", 0, 0, 0, "class<`coeftest`>", 1
"lmtest", "df.residual.coeftest", 1, 0, 0, "...", 1
"lmtest", "dwtest", -1, 0, 0, "class<`htest`>", 1
"lmtest", "dwtest", 0, 0, 0, "class<`formula`>", 1
"lmtest", "dwtest", 1, 0, 0, "null", 1
"lmtest", "dwtest", 2, 0, 0, "character[]", 1
"lmtest", "dwtest", 3, 0, 0, "double", 1
"lmtest", "dwtest", 4, 0, 0, "null", 1
"lmtest", "dwtest", 5, 0, 0, "double", 1
"lmtest", "dwtest", 6, 0, 0, "class<`data.frame`>", 1
"lmtest", "dwtest", 6, 0, 1, "class<`matrix`, `mts`, `ts`>", 1
"lmtest", "dwtest", 6, 0, 2, "class<`mts`, `ts`>", 1
"lmtest", "dwtest", 6, 0, 3, "list<any>", 1
"lmtest", "encomptest", -1, 0, 0, "class<`anova`, `data.frame`>", 1
