package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"logspline", "dlogspline", -1, 0, 0, "double[]", 1
"logspline", "dlogspline", 0, 0, 0, "double[]", 1
"logspline", "dlogspline", 1, 0, 0, "class<`logspline`>", 1
"logspline", "doldlogspline", -1, 0, 0, "double[]", 1
"logspline", "doldlogspline", 0, 0, 0, "double[]", 1
"logspline", "doldlogspline", 1, 0, 0, "class<`oldlogspline`>", 1
"logspline", "logspline", -1, 0, 0, "class<`logspline`>", 1
"logspline", "logspline", 0, 0, 0, "double[]", 1
"logspline", "logspline", 1, 0, 0, "any", 1
"logspline", "logspline", 2, 0, 0, "any", 1
"logspline", "logspline", 3, 0, 0, "double", 1
"logspline", "logspline", 4, 0, 0, "any", 1
"logspline", "logspline", 5, 0, 0, "double", 1
"logspline", "logspline", 6, 0, 0, "double", 1
"logspline", "logspline", 7, 0, 0, "logical", 1
"logspline", "logspline", 8, 0, 0, "double", 1
"logspline", "logspline", 9, 0, 0, "double", 1
"logspline", "oldlogspline", -1, 0, 0, "class<`oldlogspline`>", 1
"logspline", "oldlogspline", 0, 0, 0, "double[]", 1
"logspline", "oldlogspline", 1, 0, 0, "any", 1
"logspline", "oldlogspline", 2, 0, 0, "any", 1
"logspline", "oldlogspline", 3, 0, 0, "any", 1
"logspline", "oldlogspline", 4, 0, 0, "any", 1
"logspline", "oldlogspline", 5, 0, 0, "any", 1
"logspline", "oldlogspline", 6, 0, 0, "any", 1
"logspline", "oldlogspline", 7, 0, 0, "any", 1
"logspline", "oldlogspline", 8, 0, 0, "any", 1
"logspline", "oldlogspline", 9, 0, 0, "logical", 1
"logspline", "oldlogspline.to.logspline", -1, 0, 0, "class<`logspline`>", 1
"logspline", "oldlogspline.to.logspline", 0, 0, 0, "class<`oldlogspline`>", 1
"logspline", "oldlogspline.to.logspline", 1, 0, 0, "any", 1
"logspline", "plogspline", -1, 0, 0, "double[]", 1
"logspline", "plogspline", 0, 0, 0, "double[]", 1
"logspline", "plogspline", 1, 0, 0, "class<`logspline`>", 1
"logspline", "plot.logspline", -1, 0, 0, "null", 1
"logspline", "plot.logspline", 0, 0, 0, "class<`logspline`>", 1
"logspline", "plot.logspline", 1, 0, 0, "double", 1
"logspline", "plot.logspline", 2, 0, 0, "character", 1
"logspline", "plot.logspline", 3, 0, 0, "logical", 1
"logspline", "plot.logspline", 4, 0, 0, "any", 1
"logspline", "plot.logspline", 5, 0, 0, "character", 1
"logspline", "plot.logspline", 6, 0, 0, "character", 1
"logspline", "plot.logspline", 7, 0, 0, "character", 1
"logspline", "plot.logspline", 8, 0, 0, "...", 1
"logspline", "plot.oldlogspline", -1, 0, 0, "null", 1
"logspline", "plot.oldlogspline", 0, 0, 0, "class<`oldlogspline`>", 1
"logspline", "plot.oldlogspline", 1, 0, 0, "double", 1
"logspline", "plot.oldlogspline", 2, 0, 0, "character", 1
"logspline", "plot.oldlogspline", 3, 0, 0, "any", 1
"logspline", "plot.oldlogspline", 4, 0, 0, "character", 1
"logspline", "plot.oldlogspline", 5, 0, 0, "character", 1
"logspline", "plot.oldlogspline", 6, 0, 0, "character", 1
"logspline", "plot.oldlogspline", 7, 0, 0, "logical", 1
"logspline", "plot.oldlogspline", 8, 0, 0, "...", 1
"logspline", "poldlogspline", -1, 0, 0, "double[]", 1
"logspline", "poldlogspline", 0, 0, 0, "double[]", 1
"logspline", "poldlogspline", 1, 0, 0, "class<`oldlogspline`>", 1
"logspline", "qlogspline", -1, 0, 0, "double[]", 1
"logspline", "qlogspline", 0, 0, 0, "double[]", 1
"logspline", "qlogspline", 1, 0, 0, "class<`logspline`>", 1
"logspline", "qoldlogspline", -1, 0, 0, "double[]", 1
"logspline", "qoldlogspline", 0, 0, 0, "double[]", 1
"logspline", "qoldlogspline", 1, 0, 0, "class<`oldlogspline`>", 1
"logspline", "rlogspline", -1, 0, 0, "double[]", 1
"logspline", "rlogspline", 0, 0, 0, "double", 1
"logspline", "rlogspline", 1, 0, 0, "class<`logspline`>", 1
"logspline", "roldlogspline", -1, 0, 0, "double[]", 1
"logspline", "roldlogspline", 0, 0, 0, "double", 1
"logspline", "roldlogspline", 1, 0, 0, "class<`oldlogspline`>", 1
"logspline", "summary.logspline", -1, 0, 0, "null", 1
"logspline", "summary.logspline", 0, 0, 0, "class<`logspline`>", 1
"logspline", "summary.logspline", 1, 0, 0, "...", 1
"logspline", "summary.oldlogspline", -1, 0, 0, "null", 1
"logspline", "summary.oldlogspline", 0, 0, 0, "class<`oldlogspline`>", 1
"logspline", "summary.oldlogspline", 1, 0, 0, "...", 1
"logspline", "unstrip", -1, 0, 0, "class<`matrix`>", 1
"logspline", "unstrip", -1, 0, 1, "double[]", 1
"logspline", "unstrip", 0, 0, 0, "class<`data.frame`>", 1
"logspline", "unstrip", 0, 0, 1, "class<`ts`>", 1
"logspline", "unstrip", 0, 0, 2, "double[]", 1
