package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"loo", "::", -1, 0, 0, "integer[]", 1
"loo", "::", 0, 0, 0, "class<`importance_sampling_loo`, `loo`, `psis_loo`>", 1
"loo", "::", 1, 0, 0, "double", 1
"loo", "::", -1, 1, 0, "double[]", 1
"loo", "::", 0, 1, 0, "class<`function`>", 1
"loo", "::", 0, 1, 1, "class<`array`>", 1
"loo", "::", 0, 1, 2, "class<`importance_sampling`, `list`, `psis`>", 1
"loo", "::", 0, 1, 3, "class<`matrix`>", 1
"loo", "::", 1, 1, 0, "...", 1
"loo", "adjust_k_wip", -1, 0, 0, "double", 1
"loo", "adjust_k_wip", 0, 0, 0, "double", 1
"loo", "adjust_k_wip", 1, 0, 0, "integer", 1
"loo", "assert_importance_sampling_method_is_implemented", -1, 0, 0, "null", 1
"loo", "assert_importance_sampling_method_is_implemented", 0, 0, 0, "character", 1
"loo", "autocovariance", -1, 0, 0, "double[]", 1
"loo", "autocovariance", 0, 0, 0, "double[]", 1
"loo", "called_from_loo", -1, 0, 0, "logical", 1
"loo", "dim.importance_sampling", -1, 0, 0, "integer[]", 1
"loo", "dim.importance_sampling", 0, 0, 0, "class<`importance_sampling`, `list`, `psis`>", 1
"loo", "dim.importance_sampling", 0, 0, 1, "class<`importance_sampling_loo`, `loo`, `psis_loo`>", 1
"loo", "dim.importance_sampling", 0, 0, 2, "class<`loo`, `waic`>", 1
"loo", "dim.psis_loo", -1, 0, 0, "integer[]", 1
"loo", "dim.psis_loo", 0, 0, 0, "class<`importance_sampling`, `list`, `psis`>", 1
"loo", "dim.psis_loo", 0, 0, 1, "class<`importance_sampling_loo`, `loo`, `psis_loo`>", 1
"loo", "dim.psis_loo", 0, 0, 2, "class<`loo`, `waic`>", 1
"loo", "dim.waic", -1, 0, 0, "integer[]", 1
"loo", "dim.waic", 0, 0, 0, "class<`importance_sampling`, `list`, `psis`>", 1
"loo", "dim.waic", 0, 0, 1, "class<`importance_sampling_loo`, `loo`, `psis_loo`>", 1
"loo", "dim.waic", 0, 0, 2, "class<`loo`, `waic`>", 1
"loo", "dirichlet_rng", -1, 0, 0, "class<`matrix`>", 1
"loo", "dirichlet_rng", 0, 0, 0, "double", 1
"loo", "dirichlet_rng", 1, 0, 0, "double[]", 1
