package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"lsa", "delTriple", -1, 0, 0, "^double[]", 1
"lsa", "delTriple", 0, 0, 0, "^double[]", 1
"lsa", "delTriple", 1, 0, 0, "character", 1
"lsa", "delTriple", 2, 0, 0, "character", 1
"lsa", "delTriple", 3, 0, 0, "double", 1
"lsa", "delTriple", 3, 0, 1, "character", 1
"lsa", "dimcalc_ndocs", -1, 0, 0, "any => any", 1
"lsa", "dimcalc_ndocs", 0, 0, 0, "symbol", 1
"lsa", "dimcalc_raw", -1, 0, 0, "any => any", 1
"lsa", "dimcalc_share", -1, 0, 0, "any => any", 1
"lsa", "dimcalc_share", 0, 0, 0, "double", 1
"lsa", "filter", -1, 0, 0, "logical[]", 1
"lsa", "filter", 0, 0, 0, "character[]", 1
"lsa", "print.textmatrix", -1, 0, 0, "^integer[]", 1
"lsa", "print.textmatrix", 0, 0, 0, "^integer[]", 1
"lsa", "print.textmatrix", 1, 0, 0, "double", 1
"lsa", "print.textmatrix", 2, 0, 0, "double", 1
"lsa", "print.textmatrix", 3, 0, 0, "null", 1
"lsa", "setTriple", -1, 0, 0, "integer[]", 1
"lsa", "setTriple", 0, 0, 0, "^double[]", 1
"lsa", "setTriple", 1, 0, 0, "character", 1
"lsa", "setTriple", 2, 0, 0, "character", 1
"lsa", "setTriple", 3, 0, 0, "double", 1
"lsa", "setTriple", 3, 0, 1, "character", 1
"lsa", "summary.textmatrix", -1, 0, 0, "double[]", 1
"lsa", "summary.textmatrix", 0, 0, 0, "^integer[]", 1
"lsa", "summary.textmatrix", 1, 0, 0, "null", 1
