package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ltsa", "DHSimulate", -1, 0, 0, "double[]", 1
"ltsa", "DHSimulate", 0, 0, 0, "double", 1
"ltsa", "DHSimulate", 1, 0, 0, "double[]", 1
"ltsa", "DHSimulate", 2, 0, 0, "logical", 1
"ltsa", "DHSimulate", 3, 0, 0, "any", 1
"ltsa", "DHSimulate", 4, 0, 0, "...", 1
"ltsa", "DLAcfToAR", -1, 0, 0, "class<`matrix`>", 1
"ltsa", "DLAcfToAR", -1, 0, 1, "logical", 1
"ltsa", "DLAcfToAR", 0, 0, 0, "double[]", 1
"ltsa", "DLAcfToAR", 1, 0, 0, "logical", 1
"ltsa", "DLAcfToAR", 2, 0, 0, "logical", 1
"ltsa", "DLLoglikelihood", -1, 0, 0, "double", 1
"ltsa", "DLLoglikelihood", 0, 0, 0, "double[]", 1
"ltsa", "DLLoglikelihood", 1, 0, 0, "class<`ts`>", 1
"ltsa", "DLLoglikelihood", 1, 0, 1, "double[]", 1
"ltsa", "DLLoglikelihood", 2, 0, 0, "logical", 1
"ltsa", "DLResiduals", -1, 0, 0, "double[]", 1
"ltsa", "DLResiduals", 0, 0, 0, "double[]", 1
"ltsa", "DLResiduals", 1, 0, 0, "class<`ts`>", 1
"ltsa", "DLResiduals", 1, 0, 1, "double[]", 1
"ltsa", "DLResiduals", 2, 0, 0, "logical", 1
"ltsa", "DLResiduals", 3, 0, 0, "logical", 1
"ltsa", "DLSimulate", -1, 0, 0, "double[]", 1
"ltsa", "DLSimulate", 0, 0, 0, "double", 1
"ltsa", "DLSimulate", 1, 0, 0, "double[]", 1
"ltsa", "DLSimulate", 2, 0, 0, "logical", 1
"ltsa", "DLSimulate", 3, 0, 0, "class<`function`>", 1
"ltsa", "DLSimulate", 4, 0, 0, "...", 1
"ltsa", "exactLoglikelihood", -1, 0, 0, "list<double>", 1
"ltsa", "exactLoglikelihood", 0, 0, 0, "double[]", 1
"ltsa", "exactLoglikelihood", 1, 0, 0, "class<`ts`>", 1
"ltsa", "exactLoglikelihood", 2, 0, 0, "logical", 1
"ltsa", "innovationVariance", -1, 0, 0, "double", 1
"ltsa", "innovationVariance", 0, 0, 0, "class<`ts`>", 1
"ltsa", "innovationVariance", 1, 0, 0, "character[]", 1
"ltsa", "innovationVariance", 2, 0, 0, "...", 1
"ltsa", "is.toeplitz", -1, 0, 0, "logical", 1
"ltsa", "is.toeplitz", 0, 0, 0, "class<`matrix`>", 1
"ltsa", "is.toeplitz", 0, 0, 1, "double", 1
"ltsa", "PredictionVariance", -1, 0, 0, "double[]", 1
"ltsa", "PredictionVariance", 0, 0, 0, "double[]", 1
"ltsa", "PredictionVariance", 1, 0, 0, "double", 1
"ltsa", "PredictionVariance", 2, 0, 0, "logical", 1
"ltsa", "SimGLP", -1, 0, 0, "double[]", 1
"ltsa", "SimGLP", 0, 0, 0, "double[]", 1
"ltsa", "SimGLP", 1, 0, 0, "double[]", 1
"ltsa", "tacvfARMA", -1, 0, 0, "any", 1
"ltsa", "tacvfARMA", 0, 0, 0, "double[]", 1
"ltsa", "tacvfARMA", 1, 0, 0, "any", 1
"ltsa", "tacvfARMA", 2, 0, 0, "double", 1
"ltsa", "tacvfARMA", 3, 0, 0, "double", 1
"ltsa", "ToeplitzInverseUpdate", -1, 0, 0, "class<`matrix`>", 1
"ltsa", "ToeplitzInverseUpdate", 0, 0, 0, "class<`matrix`>", 1
"ltsa", "ToeplitzInverseUpdate", 1, 0, 0, "double[]", 1
"ltsa", "ToeplitzInverseUpdate", 2, 0, 0, "double", 1
"ltsa", "TrenchForecast", -1, 0, 0, "list<class<`matrix`>>", 1
"ltsa", "TrenchForecast", 0, 0, 0, "class<`ts`>", 1
"ltsa", "TrenchForecast", 1, 0, 0, "double[]", 1
"ltsa", "TrenchForecast", 2, 0, 0, "double", 1
"ltsa", "TrenchForecast", 3, 0, 0, "double", 1
"ltsa", "TrenchForecast", 4, 0, 0, "double", 1
"ltsa", "TrenchForecast", 5, 0, 0, "logical", 1
"ltsa", "TrenchInverse", -1, 0, 0, "class<`matrix`>", 1
"ltsa", "TrenchInverse", 0, 0, 0, "class<`matrix`>", 1
"ltsa", "TrenchLoglikelihood", -1, 0, 0, "double", 1
"ltsa", "TrenchLoglikelihood", 0, 0, 0, "double[]", 1
"ltsa", "TrenchLoglikelihood", 1, 0, 0, "class<`ts`>", 1
"ltsa", "TrenchLoglikelihood", 1, 0, 1, "double[]", 1
"ltsa", "TrenchMean", -1, 0, 0, "double", 1
"ltsa", "TrenchMean", 0, 0, 0, "double[]", 1
"ltsa", "TrenchMean", 1, 0, 0, "double[]", 1
