package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"magic", "adiag", -1, 0, 0, "class<`array`>", 1
"magic", "adiag", -1, 0, 1, "class<`matrix`>", 1
"magic", "adiag", 0, 0, 0, "...", 1
"magic", "adiag", 1, 0, 0, "double", 1
"magic", "adiag", 1, 0, 1, "integer[]", 1
"magic", "adiag", 2, 0, 0, "logical", 1
"magic", "allsubhypercubes", -1, 0, 0, "list<class<`array`>>", 1
"magic", "allsubhypercubes", -1, 0, 1, "list<class<`matrix`> | class<`array`>>", 1
"magic", "allsubhypercubes", -1, 0, 2, "list<class<`array`> | class<`matrix`>>", 1
"magic", "allsubhypercubes", 0, 0, 0, "class<`matrix`>", 1
"magic", "allsubhypercubes", 0, 0, 1, "class<`array`>", 1
"magic", "allsums", -1, 0, 0, "list<class<`matrix`>>", 1
"magic", "allsums", -1, 0, 1, "list<double[]>", 1
"magic", "allsums", 0, 0, 0, "class<`matrix`>", 1
"magic", "allsums", 1, 0, 0, "class<`function`>", 1
"magic", "allsums", 1, 0, 1, "null", 1
"magic", "allsums", 2, 0, 0, "...", 1
"magic", "another_incidence", -1, 0, 0, "class<`array`>", 1
"magic", "another_incidence", 0, 0, 0, "class<`array`>", 1
"magic", "another_latin", -1, 0, 0, "class<`matrix`>", 1
"magic", "another_latin", 0, 0, 0, "class<`matrix`>", 1
"magic", "apad", -1, 0, 0, "class<`array`>", 1
"magic", "apad", -1, 0, 1, "class<`matrix`>", 1
"magic", "apad", -1, 0, 2, "integer[]", 1
"magic", "apad", 0, 0, 0, "class<`array`>", 1
"magic", "apad", 0, 0, 1, "class<`matrix`>", 1
"magic", "apad", 0, 0, 2, "integer[]", 1
"magic", "apad", 1, 0, 0, "double[]", 1
"magic", "apad", 2, 0, 0, "any", 1
"magic", "apad", 3, 0, 0, "character", 1
"magic", "apad", 4, 0, 0, "logical", 1
"magic", "apldrop", -1, 0, 0, "class<`array`>", 1
"magic", "apldrop", -1, 0, 1, "class<`matrix`>", 1
"magic", "apldrop", -1, 0, 2, "list<integer[]>", 1
"magic", "apldrop", 0, 0, 0, "class<`array`>", 1
"magic", "apldrop", 0, 0, 1, "class<`matrix`>", 1
"magic", "apldrop", 1, 0, 0, "double[]", 1
"magic", "apldrop", 2, 0, 0, "logical", 1
"magic", "apldrop<-", -1, 0, 0, "class<`matrix`>", 1
"magic", "apldrop<-", 0, 0, 0, "class<`matrix`>", 1
"magic", "apldrop<-", 1, 0, 0, "double[]", 1
"magic", "apldrop<-", 2, 0, 0, "double", 1
"magic", "apltake", -1, 0, 0, "class<`array`>", 1
"magic", "apltake", -1, 0, 1, "class<`matrix`>", 1
"magic", "apltake", -1, 0, 2, "list<integer[]>", 1
"magic", "apltake", 0, 0, 0, "class<`array`>", 1
"magic", "apltake", 0, 0, 1, "class<`matrix`>", 1
"magic", "apltake", 1, 0, 0, "double[]", 1
"magic", "apltake", 2, 0, 0, "logical", 1
"magic", "apltake<-", -1, 0, 0, "class<`matrix`>", 1
"magic", "apltake<-", 0, 0, 0, "class<`matrix`>", 1
"magic", "apltake<-", 1, 0, 0, "double", 1
"magic", "apltake<-", 2, 0, 0, "double", 1
"magic", "aplus", -1, 0, 0, "class<`matrix`>", 1
"magic", "aplus", 0, 0, 0, "...", 1
"magic", "arev", -1, 0, 0, "class<`array`>", 1
"magic", "arev", -1, 0, 1, "class<`matrix`>", 1
"magic", "arev", 0, 0, 0, "class<`array`>", 1
"magic", "arev", 0, 0, 1, "class<`matrix`>", 1
"magic", "arev", 1, 0, 0, "double", 1
"magic", "arev", 1, 0, 1, "integer[]", 1
"magic", "arot", -1, 0, 0, "class<`array`>", 1
"magic", "arot", 0, 0, 0, "class<`array`>", 1
"magic", "arot", 1, 0, 0, "double", 1
"magic", "arot", 2, 0, 0, "double[]", 1
"magic", "arow", -1, 0, 0, "class<`array`>", 1
"magic", "arow", -1, 0, 1, "class<`matrix`>", 1
"magic", "arow", 0, 0, 0, "class<`array`>", 1
"magic", "arow", 0, 0, 1, "class<`matrix`>", 1
"magic", "arow", 1, 0, 0, "double", 1
"magic", "ashift", -1, 0, 0, "class<`array`>", 1
"magic", "ashift", -1, 0, 1, "class<`matrix`>", 1
"magic", "ashift", 0, 0, 0, "class<`array`>", 1
"magic", "ashift", 0, 0, 1, "class<`matrix`>", 1
"magic", "ashift", 1, 0, 0, "double[]", 1
"magic", "ashift", 1, 0, 1, "class<`matrix`>", 1
"magic", "as.standard", -1, 0, 0, "class<`array`>", 1
"magic", "as.standard", -1, 0, 1, "class<`matrix`>", 1
"magic", "as.standard", 0, 0, 0, "class<`array`>", 1
"magic", "as.standard", 0, 0, 1, "class<`matrix`>", 1
"magic", "as.standard", 1, 0, 0, "logical", 1
"magic", "as.standard", 2, 0, 0, "logical", 1
"magic", "bernhardsson", -1, 0, 0, "class<`matrix`>", 1
"magic", "bernhardsson", 0, 0, 0, "double", 1
"magic", "bernhardssonA", -1, 0, 0, "class<`matrix`>", 1
"magic", "bernhardssonA", 0, 0, 0, "double", 1
"magic", "cilleruelo", -1, 0, 0, "class<`matrix`>", 1
"magic", "cilleruelo", 0, 0, 0, "double", 1
"magic", "cilleruelo", 1, 0, 0, "double", 1
"magic", "circulant", -1, 0, 0, "class<`matrix`>", 1
"magic", "circulant", 0, 0, 0, "double[]", 1
"magic", "circulant", 1, 0, 0, "logical", 1
"magic", "diag.off", -1, 0, 0, "double[]", 1
"magic", "diag.off", 0, 0, 0, "class<`matrix`>", 1
"magic", "diag.off", 1, 0, 0, "double", 1
"magic", "diag.off", 2, 0, 0, "logical", 1
"magic", "do.index", -1, 0, 0, "class<`array`>", 1
"magic", "do.index", 0, 0, 0, "class<`array`>", 1
"magic", "do.index", 1, 0, 0, "class<`function`>", 1
"magic", "do.index", 2, 0, 0, "...", 1
"magic", "eq", -1, 0, 0, "logical", 1
"magic", "eq", 0, 0, 0, "class<`matrix`>", 1
"magic", "eq", 1, 0, 0, "class<`matrix`>", 1
"magic", "%eq%", -1, 0, 0, "logical", 1
"magic", "%eq%", 0, 0, 0, "class<`matrix`>", 1
"magic", "%eq%", 1, 0, 0, "class<`matrix`>", 1
"magic", "fnsd", -1, 0, 0, "integer[]", 1
"magic", "fnsd", 0, 0, 0, "class<`array`>", 1
"magic", "fnsd", 1, 0, 0, "double", 1
"magic", "force.integer", -1, 0, 0, "class<`array`>", 1
"magic", "force.integer", -1, 0, 1, "class<`matrix`>", 1
"magic", "force.integer", 0, 0, 0, "class<`array`>", 1
"magic", "force.integer", 0, 0, 1, "class<`matrix`>", 1
"magic", "hudson", -1, 0, 0, "class<`matrix`>", 1
"magic", "hudson", 0, 0, 0, "double", 1
"magic", "hudson", 0, 0, 1, "null", 1
"magic", "hudson", 1, 0, 0, "null", 1
"magic", "hudson", 1, 0, 1, "double[]", 1
"magic", "hudson", 2, 0, 0, "null", 1
"magic", "hudson", 2, 0, 1, "double[]", 1
"magic", "incidence", -1, 0, 0, "class<`array`>", 1
"magic", "incidence", 0, 0, 0, "class<`matrix`>", 1
"magic", "inc_to_inc", -1, 0, 0, "class<`array`>", 1
"magic", "inc_to_inc", 0, 0, 0, "class<`array`>", 1
"magic", "is.2x2.correct", -1, 0, 0, "logical", 1
"magic", "is.2x2.correct", 0, 0, 0, "class<`matrix`>", 1
"magic", "is.2x2.correct", 1, 0, 0, "logical", 1
"magic", "is.alicehypercube", -1, 0, 0, "list<logical | class<`matrix`>>", 1
"magic", "is.alicehypercube", 0, 0, 0, "class<`array`>", 1
"magic", "is.alicehypercube", 1, 0, 0, "double", 1
"magic", "is.alicehypercube", 2, 0, 0, "logical", 1
"magic", "is.alicehypercube", 3, 0, 0, "class<`function`>", 1
"magic", "is.alicehypercube", 4, 0, 0, "logical", 1
"magic", "is.antimagic", -1, 0, 0, "logical", 1
"magic", "is.antimagic", 0, 0, 0, "class<`matrix`>", 1
"magic", "is.antimagic", 1, 0, 0, "logical", 1
"magic", "is.antimagic", 2, 0, 0, "class<`function`>", 1
"magic", "is.associative", -1, 0, 0, "logical", 1
"magic", "is.associative", 0, 0, 0, "class<`matrix`>", 1
"magic", "is.bree.correct", -1, 0, 0, "logical", 1
"magic", "is.bree.correct", 0, 0, 0, "class<`matrix`>", 1
"magic", "is.bree.correct", 1, 0, 0, "logical", 1
"magic", "is.circulant", -1, 0, 0, "logical", 1
"magic", "is.circulant", 0, 0, 0, "class<`array`>", 1
"magic", "is.circulant", 0, 0, 1, "class<`matrix`>", 1
"magic", "is.circulant", 1, 0, 0, "double[]", 1
"magic", "is.diagonally.correct", -1, 0, 0, "logical", 1
"magic", "is.diagonally.correct", -1, 0, 1, "list<logical | class<`array`>>", 1
"magic", "is.diagonally.correct", -1, 0, 2, "list<logical | class<`matrix`>>", 1
"magic", "is.diagonally.correct", 0, 0, 0, "class<`array`>", 1
"magic", "is.diagonally.correct", 0, 0, 1, "class<`matrix`>", 1
"magic", "is.diagonally.correct", 1, 0, 0, "logical", 1
"magic", "is.diagonally.correct", 2, 0, 0, "class<`function`>", 1
"magic", "is.diagonally.correct", 3, 0, 0, "logical", 1
"magic", "is.diagonally.correct", 4, 0, 0, "...", 1
"magic", "is.hadamard", -1, 0, 0, "logical", 1
