package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"magick", "::", -1, 0, 0, "list<class<`numeric_version`> | logical>", 1
"magick", "::", -1, 1, 0, "(character | raw[])", 1
"magick", "::", 0, 1, 0, "class<`magick-image`>", 1
"magick", "::", 1, 1, 0, "character", 1
"magick", "::", 1, 1, 1, "null", 1
"magick", "::", 2, 1, 0, "character", 1
"magick", "::", 2, 1, 1, "null", 1
"magick", "::", 3, 1, 0, "null", 1
"magick", "::", 4, 1, 0, "null", 1
"magick", "::", 5, 1, 0, "character", 1
"magick", "::", 5, 1, 1, "null", 1
"magick", "::", 6, 1, 0, "null", 1
"magick", "::", 7, 1, 0, "logical", 1
"magick", "as.integer.bitmap", -1, 0, 0, "class<`array`>", 1
"magick", "as.integer.bitmap", 0, 0, 0, "class<`bitmap`, `rgba`>", 1
"magick", "as.integer.bitmap", 1, 0, 0, "logical", 1
"magick", "as.integer.bitmap", 2, 0, 0, "...", 1
"magick", "as.integer.magick-image", -1, 0, 0, "class<`nativeRaster`>", 1
"magick", "as.integer.magick-image", 0, 0, 0, "class<`magick-image`>", 1
"magick", "as.integer.magick-image", 1, 0, 0, "...", 1
"magick", "as.list.magick-image", -1, 0, 0, "list<class<`magick-image`>>", 1
"magick", "as.list.magick-image", 0, 0, 0, "class<`magick-image`>", 1
"magick", "as.list.magick-image", 1, 0, 0, "...", 1
"magick", "as.raster.magick-image", -1, 0, 0, "class<`raster`>", 1
"magick", "as.raster.magick-image", 0, 0, 0, "class<`magick-image`>", 1
"magick", "as.raster.magick-image", 1, 0, 0, "...", 1
"magick", "assert_image", -1, 0, 0, "null", 1
"magick", "assert_image", 0, 0, 0, "class<`magick-device`, `magick-image`>", 1
"magick", "assert_image", 0, 0, 1, "class<`magick-image`>", 1
"magick", "autobrewed", -1, 0, 0, "logical", 1
"magick", "autoviewer_disable", -1, 0, 0, "null", 1
"magick", "autoviewer_enable", -1, 0, 0, "null", 1
"magick", "c.magick-image", -1, 0, 0, "class<`magick-image`>", 1
"magick", "c.magick-image", 0, 0, 0, "...", 1
"magick", "coder_info", -1, 0, 0, "list<character>", 1
"magick", "coder_info", 0, 0, 0, "character", 1
"magick", "demo_image", -1, 0, 0, "class<`magick-image`>", 1
"magick", "demo_image", 0, 0, 0, "character", 1
"magick", "df_to_tibble", -1, 0, 0, "class<`data.frame`, `tbl`, `tbl_df`>", 1
"magick", "df_to_tibble", 0, 0, 0, "class<`data.frame`>", 1
"magick", "download_url", -1, 0, 0, "character", 1
"magick", "download_url", 0, 0, 0, "character", 1
"magick", "FUN", -1, 0, 0, "character", 1
"magick", "FUN", 0, 0, 0, "character", 1
"magick", "FUN", -1, 1, 0, "class<`magick-image`>", 1
"magick", "FUN", 0, 1, 0, "class<`magick-image`>", 1
"magick", "FUN", 1, 1, 0, "null", 1
"magick", "FUN", 1, 1, 1, "character", 1
"magick", "FUN", -1, 2, 0, "class<`magick-image`>", 1
"magick", "FUN", 0, 2, 0, "class<`magick-image`>", 1
"magick", "FUN", 1, 2, 0, "integer[]", 1
"magick", "geometry_area", -1, 0, 0, "character", 1
"magick", "geometry_area", 0, 0, 0, "double", 1
"magick", "geometry_area", 1, 0, 0, "double", 1
"magick", "geometry_area", 2, 0, 0, "double", 1
"magick", "geometry_area", 3, 0, 0, "double", 1
"magick", "geometry_point", -1, 0, 0, "character", 1
"magick", "geometry_point", 0, 0, 0, "double", 1
"magick", "geometry_point", 1, 0, 0, "double", 1
"magick", "geometry_size_percent", -1, 0, 0, "character", 1
"magick", "geometry_size_percent", 0, 0, 0, "double", 1
"magick", "geometry_size_percent", 1, 0, 0, "double", 1
"magick", "geometry_size_percent", 1, 0, 1, "null", 1
"magick", "geometry_size_pixels", -1, 0, 0, "character", 1
"magick", "geometry_size_pixels", 0, 0, 0, "double", 1
"magick", "geometry_size_pixels", 0, 0, 1, "null", 1
"magick", "geometry_size_pixels", 1, 0, 0, "double", 1
"magick", "geometry_size_pixels", 1, 0, 1, "null", 1
"magick", "geometry_size_pixels", 2, 0, 0, "logical", 1
"magick", "image_animate", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_animate", 0, 0, 0, "class<`magick-device`, `magick-image`>", 1
"magick", "image_animate", 0, 0, 1, "class<`magick-image`>", 1
"magick", "image_animate", 1, 0, 0, "double", 1
"magick", "image_animate", 2, 0, 0, "null", 1
"magick", "image_animate", 3, 0, 0, "double", 1
"magick", "image_animate", 4, 0, 0, "character[]", 1
"magick", "image_animate", 5, 0, 0, "logical", 1
"magick", "image_annotate", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_annotate", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_annotate", 1, 0, 0, "character", 1
"magick", "image_annotate", 2, 0, 0, "character", 1
"magick", "image_annotate", 3, 0, 0, "character", 1
"magick", "image_annotate", 4, 0, 0, "double", 1
"magick", "image_annotate", 5, 0, 0, "double", 1
"magick", "image_annotate", 6, 0, 0, "character", 1
"magick", "image_annotate", 7, 0, 0, "character", 1
"magick", "image_annotate", 8, 0, 0, "double", 1
"magick", "image_annotate", 9, 0, 0, "double", 1
"magick", "image_annotate", 10, 0, 0, "null", 1
"magick", "image_annotate", 11, 0, 0, "character", 1
"magick", "image_annotate", 11, 0, 1, "null", 1
"magick", "image_annotate", 12, 0, 0, "null", 1
"magick", "image_annotate", 13, 0, 0, "character", 1
"magick", "image_annotate", 13, 0, 1, "null", 1
"magick", "image_append", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_append", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_append", 1, 0, 0, "logical", 1
"magick", "image_apply", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_apply", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_apply", 1, 0, 0, "class<`function`>", 1
"magick", "image_apply", 2, 0, 0, "...", 1
"magick", "image_average", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_average", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_background", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_background", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_background", 1, 0, 0, "character", 1
"magick", "image_background", 2, 0, 0, "logical", 1
"magick", "image_blank", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_blank", 0, 0, 0, "double", 1
"magick", "image_blank", 1, 0, 0, "double", 1
"magick", "image_blank", 2, 0, 0, "character", 1
"magick", "image_blank", 3, 0, 0, "character", 1
"magick", "image_blur", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_blur", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_blur", 1, 0, 0, "double", 1
"magick", "image_blur", 2, 0, 0, "double", 1
"magick", "image_border", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_border", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_border", 1, 0, 0, "character", 1
"magick", "image_border", 2, 0, 0, "character", 1
"magick", "image_border", 3, 0, 0, "character", 1
"magick", "image_canny", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_canny", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_canny", 1, 0, 0, "character", 1
"magick", "image_charcoal", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_charcoal", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_charcoal", 1, 0, 0, "double", 1
"magick", "image_charcoal", 2, 0, 0, "double", 1
"magick", "image_chop", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_chop", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_chop", 1, 0, 0, "character", 1
"magick", "image_colorize", -1, 0, 0, "class<`magick-image`>", 1
"magick", "image_colorize", 0, 0, 0, "class<`magick-image`>", 1
"magick", "image_colorize", 1, 0, 0, "double", 1
