package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mapproj", "::", -1, 0, 0, "struct<`x`:^double[], `y`:^double[], `range`:double[], `error`:integer>", 1
"mapproj", "::", 0, 0, 0, "struct<`x`:^double[], `y`:^double[], `range`:double[], `names`:character[]>", 1
"mapproj", "::", 1, 0, 0, "null", 1
"mapproj", "::", 2, 0, 0, "character", 1
"mapproj", "::", 3, 0, 0, "null", 1
"mapproj", "::", 3, 0, 1, "double[]", 1
"mapproj", "::", 4, 0, 0, "null", 1
"mapproj", "::", 4, 0, 1, "double[]", 1
"mapproj", ".Last.projection", -1, 0, 0, "struct<`projection`:character, `parameters`:double[], `orientation`:double[]>", 1
"mapproj", ".Last.projection", 0, 0, 0, "null", 1
"mapproj", ".Last.projection", 0, 0, 1, "struct<`projection`:character, `parameters`:double[], `orientation`:double[]>", 1
"mapproj", ".Last.projection", 0, 0, 2, "struct<`projection`:character, `parameters`:null, `orientation`:double[]>", 1
