package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mcclust", "arandi", -1, 0, 0, "double", 1
"mcclust", "arandi", 0, 0, 0, "integer[]", 1
"mcclust", "arandi", 1, 0, 0, "integer[]", 1
"mcclust", "arandi", 2, 0, 0, "logical", 1
"mcclust", "binder", -1, 0, 0, "double[]", 1
"mcclust", "binder", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "binder", 1, 0, 0, "class<`matrix`>", 1
"mcclust", "cltoSim", -1, 0, 0, "class<`matrix`>", 1
"mcclust", "cltoSim", 0, 0, 0, "double[]", 1
"mcclust", "comp.psm", -1, 0, 0, "class<`matrix`>", 1
"mcclust", "comp.psm", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "laugreen", -1, 0, 0, "list<double[] | character>", 1
"mcclust", "laugreen", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "laugreen", 1, 0, 0, "null", 1
"mcclust", "laugreen", 2, 0, 0, "double", 1
"mcclust", "maxpear", -1, 0, 0, "list<integer[] | double | character>", 1
"mcclust", "maxpear", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "maxpear", 1, 0, 0, "null", 1
"mcclust", "maxpear", 2, 0, 0, "character[]", 1
"mcclust", "maxpear", 3, 0, 0, "null", 1
"mcclust", "medv", -1, 0, 0, "integer[]", 1
"mcclust", "medv", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "medv", 1, 0, 0, "double", 1
"mcclust", "minbinder", -1, 0, 0, "list<class<`matrix`> | double[] | integer[] | double | character>", 1
"mcclust", "minbinder", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "minbinder", 1, 0, 0, "class<`matrix`>", 1
"mcclust", "minbinder", 1, 0, 1, "null", 1
"mcclust", "minbinder", 2, 0, 0, "character[]", 1
"mcclust", "minbinder", 3, 0, 0, "null", 1
"mcclust", "minbinder", 4, 0, 0, "logical", 1
"mcclust", "minbinder", 5, 0, 0, "null", 1
"mcclust", "minbinder", 6, 0, 0, "double", 1
"mcclust", "norm.label", -1, 0, 0, "integer[]", 1
"mcclust", "norm.label", 0, 0, 0, "character[]", 1
"mcclust", "norm.label", 0, 0, 1, "double[]", 1
"mcclust", "pear", -1, 0, 0, "double[]", 1
"mcclust", "pear", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "pear", 1, 0, 0, "class<`matrix`>", 1
"mcclust", "relabel", -1, 0, 0, "list<class<`matrix`> | double | integer[]>", 1
"mcclust", "relabel", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "relabel", 1, 0, 0, "logical", 1
"mcclust", "Simtocl", -1, 0, 0, "double[]", 1
"mcclust", "Simtocl", 0, 0, 0, "class<`matrix`>", 1
"mcclust", "vi.dist", -1, 0, 0, "double[]", 1
"mcclust", "vi.dist", 0, 0, 0, "integer[]", 1
"mcclust", "vi.dist", 1, 0, 0, "integer[]", 1
"mcclust", "vi.dist", 2, 0, 0, "logical", 1
"mcclust", "vi.dist", 3, 0, 0, "double", 1
