package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mcmc", ".make.outfun", -1, 0, 0, "any => any", 1
"mcmc", ".make.outfun", 0, 0, 0, "struct<`f`:any => any, `f.inv`:any => any, `log.jacobian`:any => any, `center`:double, `transform`:any => any, `inverse`:any => any>", 1
"mcmc", ".make.outfun", 0, 0, 1, "struct<`f`:any => any, `f.inv`:any => any, `log.jacobian`:any => any, `center`:integer[], `transform`:any => any, `inverse`:any => any>", 1
"mcmc", ".make.outfun", 0, 0, 2, "struct<`transform`:any => any, `inverse`:any => any, `lud`:any => any, `log.jacobian`:any => any, `center`:double, `f`:any => any, `f.inv`:any => any>", 1
"mcmc", "$", -1, 0, 0, "double[]", 1
"mcmc", "$", 0, 0, 0, "double[]", 1
"mcmc", "$", 0, 0, 1, "symbol", 1
"mcmc", "$", 0, 0, 2, "language", 1
"mcmc", "$", 0, 0, 3, "any => any", 1
"mcmc", "$", 1, 0, 0, "null", 1
"mcmc", "$", -1, 1, 0, "any", 1
