package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mcmcplots", ".graypr", -1, 0, 0, "null", 1
"mcmcplots", ".graypr", 0, 0, 0, "logical", 1
"mcmcplots", ".graypr", 1, 0, 0, "logical", 1
"mcmcplots", ".graypr", 2, 0, 0, "logical", 1
"mcmcplots", ".graypr", 3, 0, 0, "logical", 1
"mcmcplots", ".graypr", 4, 0, 0, "logical", 1
"mcmcplots", ".graypr", 5, 0, 0, "logical", 1
"mcmcplots", ".graypr", 6, 0, 0, "double", 1
"mcmcplots", ".graypr", 7, 0, 0, "double", 1
"mcmcplots", ".graypr", 8, 0, 0, "double", 1
"mcmcplots", ".graypr", 9, 0, 0, "double", 1
"mcmcplots", ".to.greek", -1, 0, 0, "expression", 1
"mcmcplots", ".to.greek", 0, 0, 0, "character[]", 1
"mcmcplots", "addBackslash", -1, 0, 0, "character[]", 1
"mcmcplots", "addBackslash", 0, 0, 0, "character[]", 1
"mcmcplots", "autplot1", -1, 0, 0, "null", 1
"mcmcplots", "autplot1", 0, 0, 0, "tuple<^double[]>", 1
"mcmcplots", "autplot1", 1, 0, 0, "double", 1
"mcmcplots", "autplot1", 2, 0, 0, "null", 1
"mcmcplots", "autplot1", 3, 0, 0, "logical", 1
"mcmcplots", "autplot1", 4, 0, 0, "character", 1
"mcmcplots", "autplot1", 4, 0, 1, "language", 1
"mcmcplots", "autplot1", 5, 0, 0, "character[]", 1
"mcmcplots", "autplot1", 6, 0, 0, "null", 1
"mcmcplots", "autplot1", 7, 0, 0, "null", 1
"mcmcplots", "caterpoints", -1, 0, 0, "null", 1
"mcmcplots", "caterpoints", 0, 0, 0, "double[]", 1
"mcmcplots", "caterpoints", 1, 0, 0, "null", 1
"mcmcplots", "caterpoints", 2, 0, 0, "logical", 1
"mcmcplots", "caterpoints", 3, 0, 0, "character", 1
"mcmcplots", "corplot", -1, 0, 0, "null", 1
"mcmcplots", "corplot", 0, 0, 0, "^double[]", 1
"mcmcplots", "corplot", 1, 0, 0, "character[]", 1
"mcmcplots", "corplot", 2, 0, 0, "logical", 1
"mcmcplots", "corplot", 3, 0, 0, "logical", 1
"mcmcplots", "corplot", 4, 0, 0, "double", 1
"mcmcplots", "corplot", 5, 0, 0, "double[]", 1
"mcmcplots", "corplot", 6, 0, 0, "double", 1
"mcmcplots", "corplot", 6, 0, 1, "null", 1
"mcmcplots", "denoverplot", -1, 0, 0, "null", 1
"mcmcplots", "denoverplot", 0, 0, 0, "tuple<^double[], ^double[], ^double[]>", 1
"mcmcplots", "denoverplot", 1, 0, 0, "tuple<^double[], ^double[], ^double[]>", 1
"mcmcplots", "denoverplot", 2, 0, 0, "null", 1
"mcmcplots", "denoverplot", 3, 0, 0, "null", 1
"mcmcplots", "denoverplot", 4, 0, 0, "null", 1
"mcmcplots", "denoverplot", 5, 0, 0, "null", 1
"mcmcplots", "denoverplot", 5, 0, 1, "double", 1
"mcmcplots", "denoverplot", 6, 0, 0, "logical", 1
"mcmcplots", "denoverplot", 7, 0, 0, "logical", 1
"mcmcplots", "denoverplot", 8, 0, 0, "double[]", 1
"mcmcplots", "denoverplot", 9, 0, 0, "character[]", 1
"mcmcplots", "denoverplot", 9, 0, 1, "double", 1
"mcmcplots", "denoverplot", 9, 0, 2, "pairlist", 1
"mcmcplots", "denoverplot", 10, 0, 0, "null", 1
"mcmcplots", "denoverplot", 10, 0, 1, "integer", 1
"mcmcplots", "denoverplot", 10, 0, 2, "any => any", 1
"mcmcplots", "denoverplot", 11, 0, 0, "null", 1
"mcmcplots", "denoverplot", 11, 0, 1, "character", 1
"mcmcplots", "denoverplot", 12, 0, 0, "double", 1
"mcmcplots", "denoverplot", 12, 0, 1, "character", 1
"mcmcplots", "denoverplot", 13, 0, 0, "logical", 1
"mcmcplots", "denoverplot", 14, 0, 0, "character", 1
"mcmcplots", "denoverplot", 14, 0, 1, "double", 1
"mcmcplots", "denoverplot", 14, 0, 2, "null", 1
"mcmcplots", "denoverplot", 15, 0, 0, "null", 1
"mcmcplots", "denoverplot1", -1, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 0, 0, 0, "double[]", 1
"mcmcplots", "denoverplot1", 0, 0, 1, "tuple<^double[]>", 1
"mcmcplots", "denoverplot1", 1, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 1, 0, 1, "double", 1
"mcmcplots", "denoverplot1", 2, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 2, 0, 1, "character[]", 1
"mcmcplots", "denoverplot1", 3, 0, 0, "double[]", 1
"mcmcplots", "denoverplot1", 4, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 4, 0, 1, "double[]", 1
"mcmcplots", "denoverplot1", 5, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 6, 0, 0, "character", 1
"mcmcplots", "denoverplot1", 7, 0, 0, "character", 1
"mcmcplots", "denoverplot1", 8, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 8, 0, 1, "expression", 1
"mcmcplots", "denoverplot1", 8, 0, 2, "character", 1
"mcmcplots", "denoverplot1", 9, 0, 0, "character[]", 1
"mcmcplots", "denoverplot1", 10, 0, 0, "null", 1
"mcmcplots", "denoverplot1", 10, 0, 1, "tuple<>", 1
"mcmcplots", "filter", -1, 0, 0, "logical[]", 1
"mcmcplots", "filter", 0, 0, 0, "character[]", 1
"mcmcplots", "FUN", -1, 0, 0, "^double[]", 1
"mcmcplots", "FUN", 0, 0, 0, "struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>", 1
"mcmcplots", "FUN", 0, 0, 1, "^double[]", 1
"mcmcplots", "FUN", 0, 0, 2, "struct<`alpha[2]`:struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>, `alpha[1]`:struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>, `gamma[1]`:struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>, `gamma[3]`:struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>, `gamma[4]`:struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>, `alpha[3]`:struct<`x`:double[], `y`:double[], `bw`:double, `n`:integer, `call`:language, `data.name`:character, `has.na`:logical>>", 1
"mcmcplots", "FUN", 0, 0, 3, "character", 1
"mcmcplots", "FUN", 1, 0, 0, "character[]", 1
