package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mice", "ampute", -1, 0, 0, "class<`mads`>", 1
"mice", "ampute", 0, 0, 0, "class<`matrix`>", 1
"mice", "ampute", 1, 0, 0, "double", 1
"mice", "ampute", 2, 0, 0, "class<`data.frame`>", 1
"mice", "ampute", 2, 0, 1, "null", 1
"mice", "ampute", 3, 0, 0, "double[]", 1
"mice", "ampute", 3, 0, 1, "null", 1
"mice", "ampute", 4, 0, 0, "character", 1
"mice", "ampute", 5, 0, 0, "null", 1
"mice", "ampute", 6, 0, 0, "logical", 1
"mice", "ampute", 7, 0, 0, "logical", 1
"mice", "ampute", 8, 0, 0, "null", 1
"mice", "ampute", 8, 0, 1, "character[]", 1
"mice", "ampute", 9, 0, 0, "class<`matrix`>", 1
"mice", "ampute", 9, 0, 1, "null", 1
"mice", "ampute", 10, 0, 0, "logical", 1
"mice", "ampute", 11, 0, 0, "logical", 1
"mice", "ampute.continuous", -1, 0, 0, "list<double[]>", 1
"mice", "ampute.continuous", 0, 0, 0, "double[]", 1
"mice", "ampute.continuous", 1, 0, 0, "list<class<`matrix`>>", 1
"mice", "ampute.continuous", 2, 0, 0, "double", 1
"mice", "ampute.continuous", 3, 0, 0, "character[]", 1
"mice", "ampute.default.freq", -1, 0, 0, "double[]", 1
"mice", "ampute.default.freq", 0, 0, 0, "class<`data.frame`>", 1
"mice", "ampute.default.odds", -1, 0, 0, "class<`matrix`>", 1
"mice", "ampute.default.odds", 0, 0, 0, "class<`data.frame`>", 1
"mice", "ampute.default.patterns", -1, 0, 0, "class<`matrix`>", 1
"mice", "ampute.default.patterns", 0, 0, 0, "integer", 1
"mice", "ampute.default.type", -1, 0, 0, "character[]", 1
"mice", "ampute.default.type", 0, 0, 0, "class<`data.frame`>", 1
"mice", "ampute.default.weights", -1, 0, 0, "class<`matrix`>", 1
"mice", "ampute.default.weights", 0, 0, 0, "class<`data.frame`>", 1
"mice", "ampute.default.weights", 1, 0, 0, "character", 1
"mice", "ampute.discrete", -1, 0, 0, "list<double[]>", 1
"mice", "ampute.discrete", 0, 0, 0, "double[]", 1
"mice", "ampute.discrete", 1, 0, 0, "list<class<`matrix`>>", 1
"mice", "ampute.discrete", 2, 0, 0, "double", 1
"mice", "ampute.discrete", 3, 0, 0, "class<`matrix`>", 1
"mice", "as.mids", -1, 0, 0, "class<`mids`>", 1
"mice", "as.mids", 0, 0, 0, "class<`data.frame`>", 1
"mice", "as.mids", 1, 0, 0, "class<`matrix`>", 1
"mice", "as.mids", 1, 0, 1, "null", 1
"mice", "as.mids", 2, 0, 0, "character", 1
"mice", "as.mids", 3, 0, 0, "character", 1
"mice", "as.mids", 3, 0, 1, "double", 1
"mice", "as.mira", -1, 0, 0, "class<`matrix`, `mira`>", 1
"mice", "as.mira", 0, 0, 0, "class<`list`, `mitml.result`>", 1
"mice", "as.mira", 0, 0, 1, "class<`matrix`, `mira`>", 1
"mice", "as.mitml.result", -1, 0, 0, "class<`list`, `mitml.result`>", 1
"mice", "as.mitml.result", 0, 0, 0, "class<`matrix`, `mira`>", 1
"mice", "augment", -1, 0, 0, "list<class<`factor`> | class<`data.frame`> | double[]>", 1
"mice", "augment", 0, 0, 0, "class<`factor`>", 1
"mice", "augment", 0, 0, 1, "class<`factor`, `ordered`>", 1
"mice", "augment", 1, 0, 0, "logical[]", 1
"mice", "augment", 2, 0, 0, "class<`matrix`>", 1
"mice", "augment", 3, 0, 0, "logical[]", 1
"mice", "augment", 4, 0, 0, "double", 1
"mice", "barnard.rubin", -1, 0, 0, "double", 1
"mice", "barnard.rubin", 0, 0, 0, "integer", 1
"mice", "barnard.rubin", 1, 0, 0, "double", 1
"mice", "barnard.rubin", 2, 0, 0, "double", 1
"mice", "barnard.rubin", 3, 0, 0, "double", 1
"mice", "bootfunc.plain", -1, 0, 0, "double[]", 1
"mice", "bootfunc.plain", 0, 0, 0, "integer", 1
"mice", "bwplot.mids", -1, 0, 0, "class<`trellis`>", 1
"mice", "bwplot.mids", 0, 0, 0, "class<`mids`>", 1
"mice", "bwplot.mids", 1, 0, 0, "any", 1
"mice", "bwplot.mids", 2, 0, 0, "null", 1
"mice", "bwplot.mids", 3, 0, 0, "null", 1
"mice", "bwplot.mids", 4, 0, 0, "logical", 1
"mice", "bwplot.mids", 5, 0, 0, "list<any>", 1
"mice", "bwplot.mids", 6, 0, 0, "logical", 1
"mice", "bwplot.mids", 7, 0, 0, "logical", 1
"mice", "bwplot.mids", 8, 0, 0, "logical", 1
"mice", "bwplot.mids", 9, 0, 0, "list<logical>", 1
"mice", "bwplot.mids", 10, 0, 0, "...", 1
"mice", "bwplot.mids", 11, 0, 0, "logical", 1
"mice", "bwplot.mids", 12, 0, 0, "logical", 1
"mice", "cbind", -1, 0, 0, "class<`data.frame`>", 1
"mice", "cbind", -1, 0, 1, "class<`matrix`>", 1
"mice", "cbind", -1, 0, 2, "class<`mids`>", 1
"mice", "cbind", 0, 0, 0, "...", 1
"mice", "cbind.mids", -1, 0, 0, "class<`mids`>", 1
"mice", "cbind.mids", 0, 0, 0, "class<`mids`>", 1
"mice", "cbind.mids", 1, 0, 0, "class<`data.frame`>", 1
"mice", "cbind.mids", 1, 0, 1, "class<`mids`>", 1
"mice", "cbind.mids", 1, 0, 2, "null", 1
"mice", "cbind.mids", 2, 0, 0, "...", 1
"mice", "cbind.mids.mids", -1, 0, 0, "class<`mids`>", 1
"mice", "cbind.mids.mids", 0, 0, 0, "class<`mids`>", 1
"mice", "cbind.mids.mids", 1, 0, 0, "class<`mids`>", 1
"mice", "cbind.mids.mids", 2, 0, 0, "class<`call`>", 1
"mice", "cci", -1, 0, 0, "logical[]", 1
"mice", "cci", 0, 0, 0, "class<`data.frame`>", 1
"mice", "cci", 0, 0, 1, "class<`mids`>", 1
"mice", "cci.default", -1, 0, 0, "logical[]", 1
"mice", "cci.default", 0, 0, 0, "class<`data.frame`>", 1
"mice", "cci.mids", -1, 0, 0, "logical[]", 1
"mice", "cci.mids", 0, 0, 0, "class<`mids`>", 1
"mice", "check.blocks", -1, 0, 0, "list<character[]>", 1
"mice", "check.blocks", 0, 0, 0, "list<character[]>", 1
"mice", "check.blocks", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.blocks", 2, 0, 0, "character", 1
"mice", "check.blots", -1, 0, 0, "list<list<any>>", 1
"mice", "check.blots", 0, 0, 0, "null", 1
"mice", "check.blots", 0, 0, 1, "list<list<character | character | character | class<`matrix`>>>", 1
"mice", "check.blots", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.blots", 2, 0, 0, "list<character[]>", 1
"mice", "check.cluster", -1, 0, 0, "logical", 1
"mice", "check.cluster", 0, 0, 0, "any", 1
"mice", "check.cluster", 1, 0, 0, "class<`matrix`>", 1
"mice", "check.dataform", -1, 0, 0, "class<`data.frame`>", 1
"mice", "check.dataform", 0, 0, 0, "class<`data.frame`>", 1
"mice", "check.dataform", 0, 0, 1, "class<`matrix`>", 1
"mice", "check.deprecated", -1, 0, 0, "null", 1
"mice", "check.deprecated", 0, 0, 0, "...", 1
"mice", "check.df", -1, 0, 0, "null", 1
"mice", "check.df", 0, 0, 0, "class<`matrix`>", 1
"mice", "check.df", 1, 0, 0, "any", 1
"mice", "check.df", 2, 0, 0, "logical[]", 1
"mice", "check.formulas", -1, 0, 0, "list<class<`formula`>>", 1
"mice", "check.formulas", 0, 0, 0, "list<class<`formula`>>", 1
"mice", "check.formulas", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.m", -1, 0, 0, "double", 1
"mice", "check.m", 0, 0, 0, "double", 1
"mice", "check.method", -1, 0, 0, "character[]", 1
"mice", "check.method", 0, 0, 0, "character[]", 1
"mice", "check.method", 0, 0, 1, "null", 1
"mice", "check.method", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.method", 2, 0, 0, "class<`matrix`>", 1
"mice", "check.method", 3, 0, 0, "list<character[]>", 1
"mice", "check.method", 4, 0, 0, "any", 1
"mice", "check.post", -1, 0, 0, "character[]", 1
"mice", "check.post", 0, 0, 0, "null", 1
"mice", "check.post", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.predictorMatrix", -1, 0, 0, "class<`matrix`>", 1
"mice", "check.predictorMatrix", -1, 0, 1, "list<class<`matrix`> | list<character[]>>", 1
"mice", "check.predictorMatrix", 0, 0, 0, "class<`matrix`>", 1
"mice", "check.predictorMatrix", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.predictorMatrix", 2, 0, 0, "null", 1
"mice", "check.predictorMatrix", 2, 0, 1, "list<character[]>", 1
"mice", "check.visitSequence", -1, 0, 0, "character[]", 1
"mice", "check.visitSequence", 0, 0, 0, "null", 1
"mice", "check.visitSequence", 1, 0, 0, "any", 1
"mice", "check.visitSequence", 2, 0, 0, "any", 1
"mice", "check.visitSequence", 3, 0, 0, "list<character[]>", 1
"mice", "check.where", -1, 0, 0, "class<`matrix`>", 1
"mice", "check.where", 0, 0, 0, "class<`matrix`>", 1
"mice", "check.where", 0, 0, 1, "null", 1
"mice", "check.where", 1, 0, 0, "class<`data.frame`>", 1
"mice", "check.where", 2, 0, 0, "list<character[]>", 1
"mice", "complete.mids", -1, 0, 0, "class<`data.frame`>", 1
"mice", "complete.mids", -1, 0, 1, "class<`list`, `mild`>", 1
"mice", "complete.mids", 0, 0, 0, "class<`mids`>", 1
"mice", "complete.mids", 1, 0, 0, "character", 1
"mice", "complete.mids", 1, 0, 1, "double[]", 1
"mice", "complete.mids", 2, 0, 0, "logical", 1
"mice", "complete.mids", 3, 0, 0, "logical", 1
"mice", "complete.mids", 4, 0, 0, "...", 1
"mice", "construct.blocks", -1, 0, 0, "list<character[]>", 1
"mice", "construct.blocks", 0, 0, 0, "list<class<`formula`>>", 1
"mice", "construct.blocks", 1, 0, 0, "null", 1
"mice", "construct.blocks", 1, 0, 1, "class<`matrix`>", 1
"mice", "D2", -1, 0, 0, "class<`list`, `mice.anova`, `mitml.result`>", 1
"mice", "D2", 0, 0, 0, "class<`matrix`, `mira`>", 1
"mice", "D2", 1, 0, 0, "class<`matrix`, `mira`>", 1
"mice", "D2", 2, 0, 0, "character", 1
"mice", "D2", 3, 0, 0, "...", 1
"mice", "densityplot.mids", -1, 0, 0, "class<`trellis`>", 1
"mice", "densityplot.mids", 0, 0, 0, "class<`mids`>", 1
"mice", "densityplot.mids", 1, 0, 0, "class<`formula`>", 1
"mice", "densityplot.mids", 2, 0, 0, "null", 1
"mice", "densityplot.mids", 3, 0, 0, "null", 1
"mice", "densityplot.mids", 4, 0, 0, "logical", 1
"mice", "densityplot.mids", 5, 0, 0, "logical", 1
"mice", "densityplot.mids", 6, 0, 0, "list<list<character[] | double | character[] | logical>>", 1
"mice", "densityplot.mids", 7, 0, 0, "logical", 1
"mice", "densityplot.mids", 8, 0, 0, "double", 1
"mice", "densityplot.mids", 9, 0, 0, "logical", 1
"mice", "densityplot.mids", 10, 0, 0, "logical", 1
"mice", "densityplot.mids", 11, 0, 0, "list<logical>", 1
"mice", "densityplot.mids", 12, 0, 0, "character", 1
"mice", "densityplot.mids", 13, 0, 0, "character", 1
"mice", "densityplot.mids", 14, 0, 0, "...", 1
"mice", "densityplot.mids", 15, 0, 0, "logical", 1
"mice", "densityplot.mids", 16, 0, 0, "logical", 1
"mice", "edit.setup", -1, 0, 0, "list<character[] | class<`matrix`> | class<`matrix`> | character[]>", 1
"mice", "edit.setup", 0, 0, 0, "any", 1
"mice", "edit.setup", 1, 0, 0, "list<character[] | class<`matrix`> | class<`matrix`> | character[]>", 1
"mice", "edit.setup", 2, 0, 0, "logical", 1
"mice", "edit.setup", 3, 0, 0, "logical", 1
"mice", "edit.setup", 4, 0, 0, "logical", 1
"mice", "edit.setup", 5, 0, 0, "logical", 1
"mice", "edit.setup", 6, 0, 0, "...", 1
"mice", "estimice", -1, 0, 0, "list<class<`matrix`> | double | character>", 1
"mice", "estimice", 0, 0, 0, "class<`matrix`>", 1
"mice", "estimice", 1, 0, 0, "double[]", 1
"mice", "estimice", 2, 0, 0, "character", 1
"mice", "estimice", 3, 0, 0, "any", 1
"mice", "estimice", 4, 0, 0, "...", 1
"mice", "fico", -1, 0, 0, "double[]", 1
"mice", "fico", 0, 0, 0, "class<`data.frame`>", 1
"mice", "find.collinear", -1, 0, 0, "character[]", 1
"mice", "find.collinear", 0, 0, 0, "class<`data.frame`>", 1
"mice", "find.collinear", 1, 0, 0, "double", 1
