package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"miniUI", "filter", -1, 0, 0, "logical[]", 1
"miniUI", "filter", 0, 0, 0, "character[]", 1
"miniUI", "appendIcon", -1, 0, 0, "struct<`name`:character, `attribs`:struct<`href`:character, `data-toggle`:character, `data-value`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<>>>>", 1
"miniUI", "appendIcon", 0, 0, 0, "struct<`name`:character, `attribs`:struct<`href`:character, `data-toggle`:character, `data-value`:character>, `children`:tuple<>>", 1
"miniUI", "appendIcon", 1, 0, 0, "character", 1
"miniUI", "buildTabset", -1, 0, 0, "struct<`navList`:struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`href`:character, `data-toggle`:character, `data-value`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<>>, character>>>>, struct<`name`:character, `attribs`:tuple<>, `children`:tuple<struct<`name`:character, `attribs`:struct<`href`:character, `data-toggle`:character, `data-value`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<>>, character>>>>>>, `content`:struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `data-value`:character, `data-icon-class`:character, `id`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `for`:character>, `children`:tuple<character>>, struct<`name`:character, `attribs`:tuple<>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character>, `children`:tuple<character>>, struct<`name`:character, `attribs`:struct<`type`:character, `data-for`:character, `data-nonempty`:character>, `children`:tuple<character>>>>>>>>>>, struct<`name`:character, `attribs`:struct<`class`:character, `data-value`:character, `data-icon-class`:character, `id`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character, `class`:character>, `children`:tuple<>>>>>>>>>", 1
"miniUI", "buildTabset", 0, 0, 0, "tuple<struct<`name`:character, `attribs`:struct<`class`:character, `title`:character, `data-value`:character, `data-icon-class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `for`:character>, `children`:tuple<character>>, struct<`name`:character, `attribs`:tuple<>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character>, `children`:tuple<character>>, struct<`name`:character, `attribs`:struct<`type`:character, `data-for`:character, `data-nonempty`:character>, `children`:tuple<character>>>>>>>>>>, struct<`name`:character, `attribs`:struct<`class`:character, `title`:character, `data-value`:character, `data-icon-class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character, `class`:character>, `children`:tuple<>>>>>>>", 1
"miniUI", "buildTabset", 1, 0, 0, "character", 1
"miniUI", "buildTabset", 2, 0, 0, "null", 1
"miniUI", "buildTabset", 3, 0, 0, "null", 1
"miniUI", "buildTabset", 4, 0, 0, "null", 1
"miniUI", "container", -1, 0, 0, "struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `style`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character, `class`:character, `style`:character>, `children`:tuple<>>>>>>>>", 1
"miniUI", "container", 0, 0, 0, "language", 1
"miniUI", "gadgetDependencies", -1, 0, 0, "tuple<struct<`name`:character, `version`:character, `src`:struct<`file`:character>, `meta`:null, `script`:null, `stylesheet`:character, `head`:null, `attachment`:null, `package`:null, `all_files`:logical>>", 1
"miniUI", "miniButtonBlock", -1, 0, 0, "struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character, `type`:character, `class`:character>, `children`:tuple<tuple<null, character>>>, struct<`name`:character, `attribs`:struct<`id`:character, `type`:character, `class`:character>, `children`:tuple<tuple<null, character>>>>>", 1
"miniUI", "miniButtonBlock", 0, 0, 0, "language", 1
"miniUI", "miniButtonBlock", 1, 0, 0, "character", 1
"miniUI", "miniContentPanel", -1, 0, 0, "struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `style`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character, `class`:character, `style`:character>, `children`:tuple<>>>>>>>>", 1
"miniUI", "miniContentPanel", 0, 0, 0, "language", 1
"miniUI", "miniContentPanel", 1, 0, 0, "double", 1
"miniUI", "miniContentPanel", 2, 0, 0, "logical", 1
"miniUI", "miniTabPanel", -1, 0, 0, "struct<`name`:character, `attribs`:struct<`class`:character, `title`:character, `data-value`:character, `data-icon-class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<struct<`name`:character, `attribs`:struct<`class`:character, `for`:character>, `children`:tuple<character>>, struct<`name`:character, `attribs`:tuple<>, `children`:tuple<struct<`name`:character, `attribs`:struct<`id`:character>, `children`:tuple<character>>, struct<`name`:character, `attribs`:struct<`type`:character, `data-for`:character, `data-nonempty`:character>, `children`:tuple<character>>>>>>>>>>", 1
"miniUI", "miniTabPanel", 0, 0, 0, "character", 1
"miniUI", "miniTabPanel", 1, 0, 0, "language", 1
"miniUI", "miniTabPanel", 2, 0, 0, "symbol", 1
"miniUI", "miniTabPanel", 3, 0, 0, "struct<`name`:character, `attribs`:struct<`class`:character>, `children`:tuple<>>", 1
