package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"minqa", "bobyqa", -1, 0, 0, "class<`bobyqa`, `minqa`>", 1
"minqa", "bobyqa", 0, 0, 0, "double[]", 1
"minqa", "bobyqa", 1, 0, 0, "class<`function`>", 1
"minqa", "bobyqa", 2, 0, 0, "double[]", 1
"minqa", "bobyqa", 3, 0, 0, "double[]", 1
"minqa", "bobyqa", 4, 0, 0, "list<any>", 1
"minqa", "bobyqa", 5, 0, 0, "...", 1
"minqa", "commonArgs", -1, 0, 0, "environment", 1
"minqa", "commonArgs", 0, 0, 0, "double[]", 1
"minqa", "commonArgs", 1, 0, 0, "class<`function`>", 1
"minqa", "commonArgs", 2, 0, 0, "list<any>", 1
"minqa", "commonArgs", 3, 0, 0, "environment", 1
"minqa", "newuoa", -1, 0, 0, "class<`minqa`, `newuoa`>", 1
"minqa", "newuoa", 0, 0, 0, "double[]", 1
"minqa", "newuoa", 1, 0, 0, "class<`function`>", 1
"minqa", "newuoa", 2, 0, 0, "list<any>", 1
"minqa", "newuoa", 3, 0, 0, "...", 1
"minqa", "uobyqa", -1, 0, 0, "class<`minqa`, `uobyqa`>", 1
"minqa", "uobyqa", 0, 0, 0, "double[]", 1
"minqa", "uobyqa", 1, 0, 0, "class<`function`>", 1
"minqa", "uobyqa", 2, 0, 0, "list<any>", 1
"minqa", "uobyqa", 3, 0, 0, "...", 1
