package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mlbench", "as.data.frame.mlbench", -1, 0, 0, "class<`data.frame`>", 1
"mlbench", "as.data.frame.mlbench", 0, 0, 0, "class<`mlbench`, `mlbench.hypercube`>", 1
"mlbench", "as.data.frame.mlbench", 0, 0, 1, "class<`mlbench`, `mlbench.simplex`>", 1
"mlbench", "as.data.frame.mlbench", 0, 0, 2, "class<`mlbench`, `mlbench.xor`>", 1
"mlbench", "as.data.frame.mlbench", 1, 0, 0, "null", 1
"mlbench", "as.data.frame.mlbench", 2, 0, 0, "logical", 1
"mlbench", "as.data.frame.mlbench", 3, 0, 0, "...", 1
"mlbench", "bayesclass", -1, 0, 0, "class<`factor`>", 1
"mlbench", "bayesclass", 0, 0, 0, "class<`mlbench`, `mlbench.2dnormals`>", 1
"mlbench", "bayesclass.mlbench.2dnormals", -1, 0, 0, "class<`factor`>", 1
"mlbench", "bayesclass.mlbench.2dnormals", 0, 0, 0, "class<`mlbench`, `mlbench.2dnormals`>", 1
"mlbench", "hypercube", -1, 0, 0, "class<`matrix`>", 1
"mlbench", "hypercube", 0, 0, 0, "double", 1
"mlbench", "mlbench.1spiral", -1, 0, 0, "class<`matrix`>", 1
"mlbench", "mlbench.1spiral", 0, 0, 0, "double", 1
"mlbench", "mlbench.1spiral", 1, 0, 0, "double", 1
"mlbench", "mlbench.1spiral", 2, 0, 0, "double", 1
"mlbench", "mlbench.2dnormals", -1, 0, 0, "class<`mlbench`, `mlbench.2dnormals`>", 1
"mlbench", "mlbench.2dnormals", 0, 0, 0, "double", 1
"mlbench", "mlbench.2dnormals", 1, 0, 0, "double", 1
"mlbench", "mlbench.2dnormals", 2, 0, 0, "double", 1
"mlbench", "mlbench.2dnormals", 3, 0, 0, "double", 1
"mlbench", "mlbench.cassini", -1, 0, 0, "class<`mlbench`, `mlbench.cassini`>", 1
"mlbench", "mlbench.cassini", 0, 0, 0, "double", 1
"mlbench", "mlbench.cassini", 1, 0, 0, "double[]", 1
"mlbench", "mlbench.circle", -1, 0, 0, "class<`mlbench`, `mlbench.circle`>", 1
"mlbench", "mlbench.circle", 0, 0, 0, "double", 1
"mlbench", "mlbench.circle", 1, 0, 0, "double", 1
"mlbench", "mlbench.cuboids", -1, 0, 0, "class<`mlbench`, `mlbench.cuboids`>", 1
"mlbench", "mlbench.cuboids", 0, 0, 0, "double", 1
"mlbench", "mlbench.cuboids", 1, 0, 0, "double[]", 1
"mlbench", "mlbench.hypercube", -1, 0, 0, "class<`mlbench`, `mlbench.hypercube`>", 1
"mlbench", "mlbench.hypercube", 0, 0, 0, "double", 1
"mlbench", "mlbench.hypercube", 1, 0, 0, "double", 1
"mlbench", "mlbench.hypercube", 2, 0, 0, "double[]", 1
"mlbench", "mlbench.hypercube", 3, 0, 0, "double", 1
