package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mlegp", "createGP", -1, 0, 0, "struct<`Z`:^double[], `numObs`:integer, `numDim`:integer, `constantMean`:double, `mu`:^double[], `Bhat`:double, `beta`:double[], `a`:double[], `sig2`:double, `params`:character[], `X`:^double[], `invVarMatrix`:^double[], `nugget`:double, `loglike`:^double[], `cv`:^double[]>", 1
"mlegp", "createGP", 0, 0, 0, "^double[]", 1
"mlegp", "createGP", 1, 0, 0, "^double[]", 1
"mlegp", "createGP", 2, 0, 0, "double[]", 1
"mlegp", "createGP", 3, 0, 0, "double[]", 1
"mlegp", "createGP", 4, 0, 0, "double", 1
"mlegp", "createGP", 5, 0, 0, "double", 1
"mlegp", "createGP", 6, 0, 0, "^double[]", 1
"mlegp", "createGP", 7, 0, 0, "character[]", 1
"mlegp", "createGP", 8, 0, 0, "double", 1
