package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mlr3", "append_log", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "append_log", 0, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "append_log", 0, 0, 1, "null", 1
"mlr3", "append_log", 1, 0, 0, "character", 1
"mlr3", "append_log", 2, 0, 0, "any", 1
"mlr3", "append_log", 3, 0, 0, "character[]", 1
"mlr3", "as_benchmark_result", -1, 0, 0, "class<`BenchmarkResult`, `R6`>", 1
"mlr3", "as_benchmark_result", 0, 0, 0, "class<`R6`, `ResampleResult`>", 1
"mlr3", "as_benchmark_result", 1, 0, 0, "...", 1
"mlr3", "as_benchmark_result.ResampleResult", -1, 0, 0, "class<`BenchmarkResult`, `R6`>", 1
"mlr3", "as_benchmark_result.ResampleResult", 0, 0, 0, "class<`R6`, `ResampleResult`>", 1
"mlr3", "as_benchmark_result.ResampleResult", 1, 0, 0, "...", 1
"mlr3", "as_data_backend", -1, 0, 0, "(class<`DataBackend`, `DataBackendDataTable`, `R6`> | class<`DataBackend`, `DataBackendMatrix`, `R6`>)", 1
"mlr3", "as_data_backend", 0, 0, 0, "class<`data.frame`>", 1
"mlr3", "as_data_backend", 0, 0, 1, "class<`data.frame`, `data.table`>", 1
"mlr3", "as_data_backend", 0, 0, 2, "class<`dgCMatrix`>", 1
"mlr3", "as_data_backend", 1, 0, 0, "...", 1
"mlr3", "as_data_backend.data.frame", -1, 0, 0, "class<`DataBackend`, `DataBackendDataTable`, `R6`>", 1
"mlr3", "as_data_backend.data.frame", 0, 0, 0, "class<`data.frame`>", 1
"mlr3", "as_data_backend.data.frame", 0, 0, 1, "class<`data.frame`, `data.table`>", 1
"mlr3", "as_data_backend.data.frame", 1, 0, 0, "null", 1
"mlr3", "as_data_backend.data.frame", 2, 0, 0, "logical", 1
"mlr3", "as_data_backend.data.frame", 2, 0, 1, "character", 1
"mlr3", "as_data_backend.data.frame", 3, 0, 0, "...", 1
"mlr3", "as_data_backend.Matrix", -1, 0, 0, "class<`DataBackend`, `DataBackendMatrix`, `R6`>", 1
"mlr3", "as_data_backend.Matrix", 0, 0, 0, "class<`dgCMatrix`>", 1
"mlr3", "as_data_backend.Matrix", 1, 0, 0, "class<`data.frame`>", 1
"mlr3", "as_data_backend.Matrix", 2, 0, 0, "character", 1
"mlr3", "as_data_backend.Matrix", 3, 0, 0, "...", 1
"mlr3", "as.data.table.BenchmarkResult", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.BenchmarkResult", 0, 0, 0, "class<`BenchmarkResult`, `R6`>", 1
"mlr3", "as.data.table.BenchmarkResult", 1, 0, 0, "...", 1
"mlr3", "as.data.table.DictionaryLearner", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.DictionaryLearner", 0, 0, 0, "class<`Dictionary`, `DictionaryLearner`, `R6`>", 1
"mlr3", "as.data.table.DictionaryLearner", 1, 0, 0, "...", 1
"mlr3", "as.data.table.DictionaryMeasure", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.DictionaryMeasure", 0, 0, 0, "class<`Dictionary`, `DictionaryMeasure`, `R6`>", 1
"mlr3", "as.data.table.DictionaryMeasure", 1, 0, 0, "...", 1
"mlr3", "as.data.table.DictionaryResampling", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.DictionaryResampling", 0, 0, 0, "class<`Dictionary`, `DictionaryResampling`, `R6`>", 1
"mlr3", "as.data.table.DictionaryResampling", 1, 0, 0, "...", 1
"mlr3", "as.data.table.DictionaryTask", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.DictionaryTask", 0, 0, 0, "class<`Dictionary`, `DictionaryTask`, `R6`>", 1
"mlr3", "as.data.table.DictionaryTask", 1, 0, 0, "...", 1
"mlr3", "as.data.table.PredictionClassif", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.PredictionClassif", 0, 0, 0, "class<`Prediction`, `PredictionClassif`, `R6`>", 1
"mlr3", "as.data.table.PredictionClassif", 1, 0, 0, "...", 1
"mlr3", "as.data.table.PredictionRegr", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3", "as.data.table.PredictionRegr", 0, 0, 0, "class<`Prediction`, `PredictionRegr`, `R6`>", 1
"mlr3", "as.data.table.PredictionRegr", 1, 0, 0, "...", 1
"mlr3", "as_learner", -1, 0, 0, "(class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`> | class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>)", 1
"mlr3", "as_learner", 0, 0, 0, "class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`>", 1
"mlr3", "as_learner", 0, 0, 1, "class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>", 1
"mlr3", "as_learner", 1, 0, 0, "logical", 1
"mlr3", "as_learner.Learner", -1, 0, 0, "(class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`> | class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>)", 1
"mlr3", "as_learner.Learner", 0, 0, 0, "class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`>", 1
"mlr3", "as_learner.Learner", 0, 0, 1, "class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>", 1
"mlr3", "as_learner.Learner", 1, 0, 0, "logical", 1
"mlr3", "as_learners", -1, 0, 0, "list<class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`> | class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>>", 1
"mlr3", "as_learners", 0, 0, 0, "list<class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`> | class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>>", 1
"mlr3", "as_learners", 1, 0, 0, "logical", 1
"mlr3", "as_learners.list", -1, 0, 0, "list<class<`Learner`, `LearnerClassif`, `LearnerClassifFeatureless`, `R6`> | class<`Learner`, `LearnerClassif`, `LearnerClassifRpart`, `R6`>>", 1
