package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mlr3misc", "as_factor", -1, 0, 0, "class<`factor`>", 1
"mlr3misc", "as_factor", 0, 0, 0, "class<`factor`>", 1
"mlr3misc", "as_factor", 1, 0, 0, "character[]", 1
"mlr3misc", "as_factor", 2, 0, 0, "logical", 1
"mlr3misc", "as_short_string", -1, 0, 0, "character", 1
"mlr3misc", "as_short_string", 0, 0, 0, "list<any>", 1
"mlr3misc", "as_short_string", 1, 0, 0, "integer", 1
"mlr3misc", "as_short_string", 2, 0, 0, "character", 1
"mlr3misc", "check_packages_installed", -1, 0, 0, "any", 1
"mlr3misc", "check_packages_installed", 0, 0, 0, "character[]", 1
"mlr3misc", "check_packages_installed", 1, 0, 0, "logical", 1
"mlr3misc", "check_packages_installed", 2, 0, 0, "character", 1
"mlr3misc", "chunk", -1, 0, 0, "integer[]", 1
"mlr3misc", "chunk", 0, 0, 0, "integer", 1
"mlr3misc", "chunk", 1, 0, 0, "double", 1
"mlr3misc", "chunk", 2, 0, 0, "null", 1
"mlr3misc", "chunk", 3, 0, 0, "logical", 1
"mlr3misc", "chunk_vector", -1, 0, 0, "list<integer[]>", 1
"mlr3misc", "chunk_vector", 0, 0, 0, "integer[]", 1
"mlr3misc", "chunk_vector", 1, 0, 0, "double", 1
"mlr3misc", "chunk_vector", 2, 0, 0, "null", 1
"mlr3misc", "chunk_vector", 3, 0, 0, "logical", 1
"mlr3misc", "cite_bib", -1, 0, 0, "character", 1
"mlr3misc", "cite_bib", 0, 0, 0, "character", 1
"mlr3misc", "cite_bib", 1, 0, 0, "character", 1
"mlr3misc", "compute_mode", -1, 0, 0, "double", 1
"mlr3misc", "compute_mode", 0, 0, 0, "double[]", 1
"mlr3misc", "compute_mode", 1, 0, 0, "character", 1
"mlr3misc", "compute_mode", 2, 0, 0, "logical", 1
"mlr3misc", "cross_join", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3misc", "cross_join", 0, 0, 0, "list<integer[] | character[]>", 1
"mlr3misc", "cross_join", 1, 0, 0, "logical", 1
"mlr3misc", "cross_join", 2, 0, 0, "logical", 1
"mlr3misc", "dictionary_get", -1, 0, 0, "class<`Item`, `R6`>", 1
"mlr3misc", "dictionary_get", 0, 0, 0, "class<`Dictionary`, `R6`>", 1
"mlr3misc", "dictionary_get", 1, 0, 0, "character", 1
"mlr3misc", "dictionary_get", 2, 0, 0, "...", 1
"mlr3misc", "dictionary_initialize_item", -1, 0, 0, "class<`Item`, `R6`>", 1
"mlr3misc", "dictionary_initialize_item", 0, 0, 0, "any", 1
"mlr3misc", "dictionary_initialize_item", 1, 0, 0, "list<class<`R6ClassGenerator`> | character[] | list<any>>", 1
"mlr3misc", "dictionary_initialize_item", 2, 0, 0, "list<any>", 1
"mlr3misc", "dictionary_retrieve_item", -1, 0, 0, "list<class<`R6ClassGenerator`> | character[] | list<any>>", 1
"mlr3misc", "dictionary_retrieve_item", 0, 0, 0, "class<`Dictionary`, `R6`>", 1
"mlr3misc", "dictionary_retrieve_item", 1, 0, 0, "character", 1
"mlr3misc", "dictionary_sugar_get", -1, 0, 0, "class<`Item`, `R6`>", 1
"mlr3misc", "dictionary_sugar_get", 0, 0, 0, "class<`Dictionary`, `R6`>", 1
"mlr3misc", "dictionary_sugar_get", 1, 0, 0, "character", 1
"mlr3misc", "dictionary_sugar_get", 2, 0, 0, "...", 1
"mlr3misc", "did_you_mean", -1, 0, 0, "character", 1
"mlr3misc", "did_you_mean", 0, 0, 0, "character", 1
"mlr3misc", "did_you_mean", 1, 0, 0, "character[]", 1
"mlr3misc", "distinct_values", -1, 0, 0, "^character[]", 1
"mlr3misc", "distinct_values", -1, 0, 1, "integer[]", 1
"mlr3misc", "distinct_values", 0, 0, 0, "class<`factor`>", 1
"mlr3misc", "distinct_values", 0, 0, 1, "integer[]", 1
"mlr3misc", "distinct_values", 1, 0, 0, "logical", 1
"mlr3misc", "distinct_values", 2, 0, 0, "logical", 1
"mlr3misc", "distinct_values.default", -1, 0, 0, "integer[]", 1
"mlr3misc", "distinct_values.default", 0, 0, 0, "integer[]", 1
"mlr3misc", "distinct_values.default", 1, 0, 0, "logical", 1
"mlr3misc", "distinct_values.default", 2, 0, 0, "logical", 1
"mlr3misc", "distinct_values.factor", -1, 0, 0, "^character[]", 1
"mlr3misc", "distinct_values.factor", 0, 0, 0, "class<`factor`>", 1
"mlr3misc", "distinct_values.factor", 1, 0, 0, "logical", 1
"mlr3misc", "distinct_values.factor", 2, 0, 0, "logical", 1
"mlr3misc", "distinct_values.logical", -1, 0, 0, "logical[]", 1
"mlr3misc", "distinct_values.logical", 0, 0, 0, "logical", 1
"mlr3misc", "distinct_values.logical", 1, 0, 0, "logical", 1
"mlr3misc", "distinct_values.logical", 2, 0, 0, "logical", 1
"mlr3misc", "encapsulate", -1, 0, 0, "list<double | class<`data.frame`, `data.table`>>", 1
"mlr3misc", "encapsulate", 0, 0, 0, "character", 1
"mlr3misc", "encapsulate", 1, 0, 0, "class<`function`>", 1
"mlr3misc", "encapsulate", 2, 0, 0, "list<double>", 1
"mlr3misc", "encapsulate", 3, 0, 0, "list<any>", 1
"mlr3misc", "encapsulate", 4, 0, 0, "character[]", 1
"mlr3misc", "encapsulate", 5, 0, 0, "double", 1
"mlr3misc", "enframe", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3misc", "enframe", 0, 0, 0, "integer[]", 1
"mlr3misc", "enframe", 1, 0, 0, "character", 1
"mlr3misc", "enframe", 2, 0, 0, "character", 1
"mlr3misc", "extract_vars", -1, 0, 0, "list<character[]>", 1
"mlr3misc", "extract_vars", 0, 0, 0, "class<`formula`>", 1
"mlr3misc", "formulate", -1, 0, 0, "class<`formula`>", 1
"mlr3misc", "formulate", 0, 0, 0, "character", 1
"mlr3misc", "formulate", 0, 0, 1, "null", 1
"mlr3misc", "formulate", 1, 0, 0, "character[]", 1
"mlr3misc", "formulate", 2, 0, 0, "null", 1
"mlr3misc", "get_constructor_formals", -1, 0, 0, "character[]", 1
"mlr3misc", "get_constructor_formals", 0, 0, 0, "class<`R6ClassGenerator`>", 1
"mlr3misc", "get_seed", -1, 0, 0, "integer[]", 1
"mlr3misc", "has_element", -1, 0, 0, "logical", 1
"mlr3misc", "has_element", 0, 0, 0, "list<double>", 1
"mlr3misc", "has_element", 1, 0, 0, "double", 1
"mlr3misc", "ids", -1, 0, 0, "character[]", 1
"mlr3misc", "ids", 0, 0, 0, "list<list<character | double>>", 1
"mlr3misc", "insert_named", -1, 0, 0, "list<any>", 1
"mlr3misc", "insert_named", 0, 0, 0, "list<any>", 1
"mlr3misc", "insert_named", 1, 0, 0, "list<any>", 1
"mlr3misc", "insert_named.default", -1, 0, 0, "list<double>", 1
"mlr3misc", "insert_named.default", 0, 0, 0, "list<double>", 1
"mlr3misc", "insert_named.default", 1, 0, 0, "list<double>", 1
"mlr3misc", "invoke", -1, 0, 0, "class<`data.frame`, `data.table`>", 1
"mlr3misc", "invoke", -1, 0, 1, "double", 1
"mlr3misc", "invoke", 0, 0, 0, "any", 1
"mlr3misc", "invoke", 1, 0, 0, "...", 1
"mlr3misc", "invoke", 2, 0, 0, "list<integer[] | character[]>", 1
"mlr3misc", "invoke", 2, 0, 1, "list<integer[]>", 1
"mlr3misc", "invoke", 2, 0, 2, "list<double>", 1
"mlr3misc", "invoke", 3, 0, 0, "list<any>", 1
"mlr3misc", "invoke", 4, 0, 0, "null", 1
"mlr3misc", "invoke", 4, 0, 1, "double", 1
"mlr3misc", "keep_in_bounds", -1, 0, 0, "integer[]", 1
"mlr3misc", "keep_in_bounds", 0, 0, 0, "integer[]", 1
"mlr3misc", "keep_in_bounds", 1, 0, 0, "double", 1
"mlr3misc", "keep_in_bounds", 2, 0, 0, "double", 1
"mlr3misc", "load_dataset", -1, 0, 0, "class<`data.frame`>", 1
"mlr3misc", "load_dataset", 0, 0, 0, "character", 1
"mlr3misc", "load_dataset", 1, 0, 0, "character", 1
"mlr3misc", "load_dataset", 2, 0, 0, "logical", 1
"mlr3misc", "map", -1, 0, 0, "list<character[]>", 1
"mlr3misc", "map", -1, 0, 1, "list<list<character>>", 1
"mlr3misc", "map", -1, 0, 2, "list<double[]>", 1
"mlr3misc", "map", 0, 0, 0, "list<character[]>", 1
"mlr3misc", "map", 0, 0, 1, "list<class<`condition`, `message`, `simpleMessage`>>", 1
"mlr3misc", "map", 0, 0, 2, "class<`data.frame`>", 1
"mlr3misc", "map", 1, 0, 0, "class<`function`>", 1
