package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mnormt", "biv.nt.prob", -1, 0, 0, "double", 1
"mnormt", "biv.nt.prob", 0, 0, 0, "double", 1
"mnormt", "biv.nt.prob", 1, 0, 0, "double[]", 1
"mnormt", "biv.nt.prob", 2, 0, 0, "double[]", 1
"mnormt", "biv.nt.prob", 3, 0, 0, "double[]", 1
"mnormt", "biv.nt.prob", 4, 0, 0, "class<`matrix`>", 1
"mnormt", "dmnorm", -1, 0, 0, "double[]", 1
"mnormt", "dmnorm", 0, 0, 0, "class<`matrix`>", 1
"mnormt", "dmnorm", 0, 0, 1, "double[]", 1
"mnormt", "dmnorm", 1, 0, 0, "double[]", 1
"mnormt", "dmnorm", 2, 0, 0, "class<`matrix`>", 1
"mnormt", "dmnorm", 3, 0, 0, "logical", 1
"mnormt", "dmt", -1, 0, 0, "double[]", 1
"mnormt", "dmt", 0, 0, 0, "class<`matrix`>", 1
"mnormt", "dmt", 1, 0, 0, "double[]", 1
"mnormt", "dmt", 2, 0, 0, "class<`matrix`>", 1
"mnormt", "dmt", 3, 0, 0, "double", 1
"mnormt", "dmt", 4, 0, 0, "logical", 1
"mnormt", "pd.solve", -1, 0, 0, "class<`matrix`>", 1
"mnormt", "pd.solve", 0, 0, 0, "class<`matrix`>", 1
"mnormt", "pd.solve", 1, 0, 0, "logical", 1
"mnormt", "pd.solve", 2, 0, 0, "logical", 1
"mnormt", "pmnorm", -1, 0, 0, "double[]", 1
"mnormt", "pmnorm", 0, 0, 0, "class<`matrix`>", 1
"mnormt", "pmnorm", 0, 0, 1, "double[]", 1
"mnormt", "pmnorm", 1, 0, 0, "double[]", 1
"mnormt", "pmnorm", 2, 0, 0, "class<`matrix`>", 1
"mnormt", "pmnorm", 2, 0, 1, "double", 1
"mnormt", "pmnorm", 3, 0, 0, "...", 1
"mnormt", "pmt", -1, 0, 0, "double", 1
"mnormt", "pmt", 0, 0, 0, "double[]", 1
"mnormt", "pmt", 1, 0, 0, "double[]", 1
"mnormt", "pmt", 2, 0, 0, "class<`matrix`>", 1
"mnormt", "pmt", 3, 0, 0, "double", 1
"mnormt", "pmt", 4, 0, 0, "...", 1
"mnormt", "rmnorm", -1, 0, 0, "class<`matrix`>", 1
"mnormt", "rmnorm", 0, 0, 0, "double", 1
"mnormt", "rmnorm", 1, 0, 0, "double[]", 1
"mnormt", "rmnorm", 2, 0, 0, "any", 1
"mnormt", "rmnorm", 3, 0, 0, "null", 1
"mnormt", "rmnorm", 3, 0, 1, "class<`matrix`>", 1
"mnormt", "rmt", -1, 0, 0, "class<`matrix`>", 1
"mnormt", "rmt", 0, 0, 0, "double", 1
"mnormt", "rmt", 1, 0, 0, "double[]", 1
"mnormt", "rmt", 2, 0, 0, "class<`matrix`>", 1
"mnormt", "rmt", 3, 0, 0, "double", 1
"mnormt", "rmt", 4, 0, 0, "null", 1
"mnormt", "sadmvn", -1, 0, 0, "double", 1
"mnormt", "sadmvn", 0, 0, 0, "double[]", 1
"mnormt", "sadmvn", 1, 0, 0, "double[]", 1
"mnormt", "sadmvn", 2, 0, 0, "double[]", 1
"mnormt", "sadmvn", 3, 0, 0, "class<`matrix`>", 1
"mnormt", "sadmvn", 4, 0, 0, "double", 1
"mnormt", "sadmvn", 5, 0, 0, "double", 1
"mnormt", "sadmvn", 6, 0, 0, "double", 1
"mnormt", "sadmvt", -1, 0, 0, "double", 1
"mnormt", "sadmvt", 0, 0, 0, "double", 1
"mnormt", "sadmvt", 1, 0, 0, "double[]", 1
"mnormt", "sadmvt", 2, 0, 0, "double[]", 1
"mnormt", "sadmvt", 3, 0, 0, "double[]", 1
"mnormt", "sadmvt", 4, 0, 0, "class<`matrix`>", 1
"mnormt", "sadmvt", 5, 0, 0, "double", 1
"mnormt", "sadmvt", 6, 0, 0, "double", 1
"mnormt", "sadmvt", 7, 0, 0, "double", 1
