package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"modeltools", "clusters", -1, 0, 0, "integer[]", 1
"modeltools", "clusters", 0, 0, 0, "struct<`flexmix`:null, `call`:language>", 1
"modeltools", "clusters", 1, 0, 0, "null", 1
"modeltools", "clusters", 1, 0, 1, "^double[]", 1
"modeltools", "clusters", 2, 0, 0, "null", 1
"modeltools", "clusters", 2, 0, 1, "double", 1
"modeltools", "filter", -1, 0, 0, "logical[]", 1
"modeltools", "filter", 0, 0, 0, "character[]", 1
"modeltools", "parameters", -1, 0, 0, "^double[]", 1
"modeltools", "parameters", 0, 0, 0, "double", 1
"modeltools", "parameters", 0, 0, 1, "null", 1
