package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"moments", "agostino.test", -1, 0, 0, "class<`htest`>", 1
"moments", "agostino.test", 0, 0, 0, "double[]", 1
"moments", "agostino.test", 1, 0, 0, "character[]", 1
"moments", "all.cumulants", -1, 0, 0, "class<`matrix`>", 1
"moments", "all.cumulants", -1, 0, 1, "double[]", 1
"moments", "all.cumulants", 0, 0, 0, "class<`matrix`>", 1
"moments", "all.cumulants", 0, 0, 1, "double[]", 1
"moments", "all.moments", -1, 0, 0, "class<`matrix`>", 1
"moments", "all.moments", -1, 0, 1, "double[]", 1
"moments", "all.moments", 0, 0, 0, "class<`data.frame`>", 1
"moments", "all.moments", 0, 0, 1, "class<`matrix`>", 1
"moments", "all.moments", 0, 0, 2, "double[]", 1
"moments", "all.moments", 1, 0, 0, "double", 1
"moments", "all.moments", 2, 0, 0, "logical", 1
"moments", "all.moments", 3, 0, 0, "logical", 1
"moments", "all.moments", 4, 0, 0, "logical", 1
"moments", "anscombe.test", -1, 0, 0, "class<`htest`>", 1
"moments", "anscombe.test", 0, 0, 0, "double[]", 1
"moments", "anscombe.test", 1, 0, 0, "character[]", 1
"moments", "bonett.test", -1, 0, 0, "class<`htest`>", 1
"moments", "bonett.test", 0, 0, 0, "double[]", 1
"moments", "bonett.test", 1, 0, 0, "character[]", 1
"moments", "central2raw", -1, 0, 0, "class<`matrix`>", 1
"moments", "central2raw", -1, 0, 1, "double[]", 1
"moments", "central2raw", 0, 0, 0, "class<`matrix`>", 1
"moments", "central2raw", 0, 0, 1, "double[]", 1
"moments", "central2raw", 1, 0, 0, "double[]", 1
"moments", "geary", -1, 0, 0, "double", 1
"moments", "geary", 0, 0, 0, "double[]", 1
"moments", "geary", 1, 0, 0, "logical", 1
"moments", "jarque.test", -1, 0, 0, "class<`htest`>", 1
"moments", "jarque.test", 0, 0, 0, "double[]", 1
"moments", "kurtosis", -1, 0, 0, "double", 1
"moments", "kurtosis", 0, 0, 0, "double[]", 1
"moments", "kurtosis", 1, 0, 0, "logical", 1
"moments", "moment", -1, 0, 0, "double[]", 1
"moments", "moment", 0, 0, 0, "double[]", 1
"moments", "moment", 0, 0, 1, "class<`matrix`>", 1
"moments", "moment", 0, 0, 2, "class<`data.frame`>", 1
"moments", "moment", 1, 0, 0, "double", 1
"moments", "moment", 2, 0, 0, "logical", 1
"moments", "moment", 3, 0, 0, "logical", 1
"moments", "moment", 4, 0, 0, "logical", 1
"moments", "raw2central", -1, 0, 0, "double[]", 1
"moments", "raw2central", -1, 0, 1, "class<`matrix`>", 1
"moments", "raw2central", 0, 0, 0, "double[]", 1
"moments", "raw2central", 0, 0, 1, "class<`matrix`>", 1
"moments", "skewness", -1, 0, 0, "double", 1
"moments", "skewness", 0, 0, 0, "double[]", 1
"moments", "skewness", 1, 0, 0, "logical", 1
