package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"moveHMM", "AIC.moveHMM", -1, 0, 0, "double", 1
"moveHMM", "AIC.moveHMM", 0, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "AIC.moveHMM", 1, 0, 0, "...", 1
"moveHMM", "AIC.moveHMM", 2, 0, 0, "double", 1
"moveHMM", "allProbs", -1, 0, 0, "class<`matrix`>", 1
"moveHMM", "allProbs", 0, 0, 0, "class<`data.frame`>", 1
"moveHMM", "allProbs", 1, 0, 0, "integer", 1
"moveHMM", "allProbs", 2, 0, 0, "character", 1
"moveHMM", "allProbs", 3, 0, 0, "character", 1
"moveHMM", "allProbs", 4, 0, 0, "class<`matrix`>", 1
"moveHMM", "allProbs", 5, 0, 0, "class<`matrix`>", 1
"moveHMM", "allProbs", 6, 0, 0, "logical", 1
"moveHMM", "allProbs", 7, 0, 0, "null", 1
"moveHMM", "CI", -1, 0, 0, "list<list<class<`matrix`>>>", 1
"moveHMM", "CI", 0, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "CI", 1, 0, 0, "double", 1
"moveHMM", "CI", 2, 0, 0, "any", 1
"moveHMM", "f", -1, 0, 0, "double", 1
"moveHMM", "f", 0, 0, 0, "double[]", 1
"moveHMM", "f", 1, 0, 0, "double", 1
"moveHMM", "f", 2, 0, 0, "class<`matrix`>", 1
"moveHMM", "f", 3, 0, 0, "double[]", 1
"moveHMM", "f", 4, 0, 0, "class<`data.frame`>", 1
"moveHMM", "f", 5, 0, 0, "character", 1
"moveHMM", "f", 6, 0, 0, "character", 1
"moveHMM", "f", 7, 0, 0, "double[]", 1
"moveHMM", "f", 8, 0, 0, "logical", 1
"moveHMM", "f", 9, 0, 0, "logical", 1
"moveHMM", "f", 10, 0, 0, "null", 1
"moveHMM", "filter", -1, 0, 0, "logical[]", 1
"moveHMM", "filter", 0, 0, 0, "character[]", 1
"moveHMM", "fitHMM", -1, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "fitHMM", 0, 0, 0, "class<`data.frame`, `moveData`>", 1
"moveHMM", "fitHMM", 1, 0, 0, "double", 1
"moveHMM", "fitHMM", 2, 0, 0, "double[]", 1
"moveHMM", "fitHMM", 3, 0, 0, "double[]", 1
"moveHMM", "fitHMM", 4, 0, 0, "null", 1
"moveHMM", "fitHMM", 5, 0, 0, "null", 1
"moveHMM", "fitHMM", 6, 0, 0, "class<`formula`>", 1
"moveHMM", "fitHMM", 7, 0, 0, "character", 1
"moveHMM", "fitHMM", 8, 0, 0, "character", 1
"moveHMM", "fitHMM", 9, 0, 0, "double[]", 1
"moveHMM", "fitHMM", 10, 0, 0, "logical", 1
"moveHMM", "fitHMM", 11, 0, 0, "null", 1
"moveHMM", "FUN", -1, 0, 0, "double[]", 1
"moveHMM", "FUN", 0, 0, 0, "class<`matrix`>", 1
"moveHMM", "is.formula", -1, 0, 0, "logical", 1
"moveHMM", "is.formula", 0, 0, 0, "class<`formula`>", 1
"moveHMM", "is.moveData", -1, 0, 0, "logical", 1
"moveHMM", "is.moveData", 0, 0, 0, "class<`data.frame`, `moveData`>", 1
"moveHMM", "is.moveHMM", -1, 0, 0, "logical", 1
"moveHMM", "is.moveHMM", 0, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "logAlpha", -1, 0, 0, "class<`matrix`>", 1
"moveHMM", "logAlpha", 0, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "logBeta", -1, 0, 0, "class<`matrix`>", 1
"moveHMM", "logBeta", 0, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "moveData", -1, 0, 0, "class<`data.frame`, `moveData`>", 1
"moveHMM", "moveData", 0, 0, 0, "class<`data.frame`>", 1
"moveHMM", "moveHMM", -1, 0, 0, "class<`list`, `moveHMM`>", 1
"moveHMM", "moveHMM", 0, 0, 0, "list<class<`data.frame`> | null | list<class<`matrix`> | double[] | double[] | class<`matrix`> | character | logical | class<`formula`>>>", 1
"moveHMM", "n2w", -1, 0, 0, "double[]", 1
"moveHMM", "n2w", 0, 0, 0, "double[]", 1
"moveHMM", "n2w", 1, 0, 0, "class<`matrix`>", 1
"moveHMM", "n2w", 2, 0, 0, "class<`matrix`>", 1
"moveHMM", "n2w", 3, 0, 0, "double[]", 1
