package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"msm", "[.msm.est", -1, 0, 0, "double[]", 1
"msm", "[.msm.est", 0, 0, 0, "^double[]", 1
"msm", "[.msm.est", 1, 0, 0, "integer", 1
"msm", "[.msm.est", 2, 0, 0, "null", 1
"msm", "[.msm.est", 3, 0, 0, "logical", 1
"msm", "absorbing.msm", -1, 0, 0, "integer[]", 1
"msm", "absorbing.msm", 0, 0, 0, "null", 1
"msm", "absorbing.msm", 0, 0, 1, "struct<`call`:language, `minus2loglik`:double, `deriv`:double[], `estimates`:double[], `estimates.t`:double[], `fixedpars`:integer[], `center`:logical, `covmat`:^double[], `ci`:^double[], `opt`:struct<`par`:double[], `value`:double, `counts`:integer[], `convergence`:integer, `message`:null, `hessian`:^double[]>, `foundse`:logical, `data`:struct<`mf`:struct<`ollwsdrt`:integer[], `hieffusn`:integer[], `(subject)`:integer[], `(state)`:integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:integer[], `(obs)`:integer[], `(pcomb)`:^integer[]>, `mf.agg`:struct<`ollwsdrt`:integer[], `hieffusn`:integer[], `(subject)`:integer[], `(fromstate)`:integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:integer[], `(obs)`:integer[], `(tostate)`:integer[], `(timelag)`:double[], `(nocc)`:double[], `(whicha)`:integer[], `(noccsum)`:double[]>, `mm.cov`:^double[], `mm.cov.agg`:^double[], `mm.mcov`:null, `mm.hcov`:null, `mm.icov`:null>, `qmodel`:struct<`nstates`:integer, `iso`:double, `perm`:double[], `qperm`:integer[], `npars`:double, `imatrix`:^double[], `qmatrix`:^double[], `inits`:double[], `constr`:integer[], `ndpars`:integer, `expm`:double>, `emodel`:struct<`misc`:logical, `npars`:double, `ndpars`:double, `nipars`:double, `nicoveffs`:double>, `qcmodel`:struct<`npars`:double, `ndpars`:double, `ncovs`:double, `constr`:double[], `covlabels`:character[], `inits`:double[], `covmeans`:double[]>, `ecmodel`:struct<`npars`:double, `ncovs`:double>, `hmodel`:struct<`hidden`:logical, `models`:double[], `nipars`:double, `nicoveffs`:double, `totpars`:double, `ncoveffs`:double, `ematrix`:logical>, `cmodel`:struct<`ncens`:double, `censor`:null, `states`:null, `index`:null>, `pci`:null, `paramdata`:struct<`inits`:double[], `plabs`:character[], `allinits`:double[], `hmmpars`:integer[], `fixed`:logical, `fixedpars`:integer[], `optpars`:integer[], `auxpars`:integer[], `constr`:double[], `npars`:double, `duppars`:integer[], `nfix`:integer, `nopt`:integer, `ndup`:integer, `ranges`:^double[], `params`:double[], `lik`:double, `opt`:struct<`par`:double[], `value`:double, `counts`:integer[], `convergence`:integer, `message`:null, `hessian`:^double[]>, `deriv`:double[], `information`:^double[], `foundse`:logical, `covmat`:^double[], `ci`:^double[], `estimates.t`:double[]>, `cl`:double, `covariates`:language, `misccovariates`:null, `hcovariates`:null, `initcovariates`:null, `Qmatrices`:struct<`logbaseline`:^double[], `ollwsdrt`:^double[], `hieffusn`:^double[], `baseline`:^double[]>, `QmatricesSE`:struct<`logbaseline`:^double[], `ollwsdrt`:^double[], `hieffusn`:^double[], `baseline`:^double[]>, `QmatricesL`:struct<`logbaseline`:^double[], `ollwsdrt`:^double[], `hieffusn`:^double[], `baseline`:^double[]>, `QmatricesU`:struct<`logbaseline`:^double[], `ollwsdrt`:^double[], `hieffusn`:^double[], `baseline`:^double[]>, `QmatricesFixed`:struct<`logbaseline`:^logical[], `ollwsdrt`:^logical[], `hieffusn`:^logical[]>, `sojourn`:struct<`estimates`:double[], `SE`:double[], `L`:double[], `U`:double[]>>", 1
"msm", "absorbing.msm", 1, 0, 0, "null", 1
"msm", "absorbing.msm", 1, 0, 1, "^double[]", 1
"msm", "agg.tables", -1, 0, 0, "struct<`obs`:double[], `exp`:double[]>", 1
"msm", "agg.tables", 0, 0, 0, "integer[]", 1
"msm", "agg.tables", 1, 0, 0, "double[]", 1
"msm", "agg.tables", 2, 0, 0, "integer[]", 1
"msm", "agg.tables", 3, 0, 0, "tuple<character[], character[], character[], character>", 1
"msm", "agg.tables", 4, 0, 0, "struct<`allowed`:^double[], `labsall`:character[], `na`:integer, `use`:integer[], `labsagg`:character[], `from`:double[], `to`:double[], `ngroups`:integer>", 1
"msm", "Ccall.msm", -1, 0, 0, "^double[]", 1
"msm", "Ccall.msm", 0, 0, 0, "double[]", 1
"msm", "Ccall.msm", 1, 0, 0, "character", 1
"msm", "Ccall.msm", 2, 0, 0, "struct<`mf`:struct<`(subject)`:double[], `(state)`:^integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:double[], `(obs)`:integer[], `(pcomb)`:^integer[]>, `mf.agg`:null, `mm.cov`:^double[], `mm.cov.agg`:null, `mm.mcov`:null, `mm.hcov`:tuple<^double[], ^double[]>, `mm.icov`:^double[]>", 1
"msm", "Ccall.msm", 2, 0, 1, "struct<`mf`:struct<`(subject)`:integer[], `(state)`:integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:integer[], `(obs)`:integer[], `(pcomb)`:^integer[]>, `mf.agg`:struct<`(subject)`:integer[], `(fromstate)`:integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:integer[], `(obs)`:integer[], `(tostate)`:integer[], `(timelag)`:double[], `(nocc)`:double[], `(whicha)`:integer[], `(noccsum)`:double[]>, `mm.cov`:^double[], `mm.cov.agg`:^double[], `mm.mcov`:null, `mm.hcov`:null, `mm.icov`:null>", 1
"msm", "Ccall.msm", 2, 0, 2, "struct<`mf`:struct<`ollwsdrt`:integer[], `hieffusn`:integer[], `(subject)`:integer[], `(state)`:integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:integer[], `(obs)`:integer[], `(pcomb)`:^integer[]>, `mf.agg`:struct<`ollwsdrt`:integer[], `hieffusn`:integer[], `(subject)`:integer[], `(fromstate)`:integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:integer[], `(obs)`:integer[], `(pcomb)`:^integer[], `(tostate)`:integer[], `(timelag)`:double[], `(nocc)`:double[], `(whicha)`:integer[], `(noccsum)`:double[]>, `mm.cov`:^double[], `mm.cov.agg`:^double[]>", 1
"msm", "Ccall.msm", 3, 0, 0, "struct<`nstates`:integer, `iso`:double, `perm`:double[], `qperm`:integer[], `npars`:double, `imatrix`:^double[], `qmatrix`:^double[], `inits`:double[], `constr`:integer[], `ndpars`:integer, `expm`:double>", 1
"msm", "Ccall.msm", 3, 0, 1, "struct<`nstates`:integer, `iso`:double, `perm`:null, `qperm`:null, `npars`:double, `imatrix`:^double[], `qmatrix`:^double[], `inits`:double[], `constr`:integer[], `ndpars`:integer, `expm`:double>", 1
"msm", "Ccall.msm", 4, 0, 0, "struct<`npars`:double, `ncovs`:double, `ndpars`:double>", 1
"msm", "Ccall.msm", 5, 0, 0, "struct<`ncens`:double, `censor`:null, `states`:null, `index`:null>", 1
"msm", "Ccall.msm", 6, 0, 0, "struct<`hidden`:logical, `models`:double[], `nipars`:double, `nicoveffs`:double, `totpars`:double, `ncoveffs`:double, `ematrix`:logical>", 1
"msm", "Ccall.msm", 6, 0, 1, "struct<`hidden`:logical, `nstates`:integer, `fitted`:logical, `nipars`:double, `initprobs`:double[], `est.initprobs`:logical, `ematrix`:logical, `models`:^integer[], `labels`:^character[], `npars`:^double[], `nout`:integer[], `mv`:logical, `totpars`:double, `pars`:double[], `plabs`:character[], `parstate`:integer[], `parout`:integer[], `firstpar`:^double[], `locpars`:integer[], `ncovs`:double[], `ncoveffs`:double, `nicovs`:double, `nicoveffs`:double, `cri`:null, `constr`:integer[], `covconstr`:integer[], `ranges`:^double[]>", 1
"msm", "Ccall.msm", 7, 0, 0, "struct<`inits`:double[], `plabs`:character[], `allinits`:double[], `hmmpars`:integer[], `fixed`:logical, `fixedpars`:integer[], `optpars`:integer[], `auxpars`:integer[], `constr`:double[], `npars`:double, `duppars`:integer[], `nfix`:integer, `nopt`:integer, `ndup`:integer, `ranges`:^double[], `params`:double[]>", 1
"msm", "crudeinits.msm", -1, 0, 0, "^double[]", 1
"msm", "crudeinits.msm", 0, 0, 0, "language", 1
"msm", "crudeinits.msm", 1, 0, 0, "symbol", 1
"msm", "crudeinits.msm", 2, 0, 0, "^double[]", 1
"msm", "crudeinits.msm", 3, 0, 0, "struct<`PTNUM`:integer[], `age`:double[], `years`:double[], `dage`:integer[], `sex`:integer[], `pdiag`:^integer[], `cumrej`:integer[], `state`:integer[], `firstobs`:integer[], `statemax`:double[]>", 1
"msm", "crudeinits.msm", 4, 0, 0, "null", 1
"msm", "crudeinits.msm", 5, 0, 0, "null", 1
"msm", "deltamethod", -1, 0, 0, "double", 1
"msm", "deltamethod", 0, 0, 0, "language", 1
"msm", "deltamethod", 1, 0, 0, "double[]", 1
"msm", "deltamethod", 2, 0, 0, "^double[]", 1
"msm", "deltamethod", 3, 0, 0, "logical", 1
"msm", "deriv.msm", -1, 0, 0, "double[]", 1
"msm", "deriv.msm", 0, 0, 0, "double[]", 1
"msm", "deriv.msm", 1, 0, 0, "struct<`mf`:struct<`(subject)`:double[], `(state)`:^integer[], `(time)`:double[], `(obstype)`:double[], `(obstrue)`:double[], `(obs)`:integer[], `(pcomb)`:^integer[]>, `mf.agg`:null, `mm.cov`:^double[], `mm.cov.agg`:null, `mm.mcov`:null, `mm.hcov`:tuple<^double[], ^double[]>, `mm.icov`:^double[]>", 1
