package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"multicool", "allPerm", -1, 0, 0, "class<`matrix`>", 1
"multicool", "allPerm", 0, 0, 0, "class<`mc`>", 1
"multicool", "B", -1, 0, 0, "double[]", 1
"multicool", "B", 0, 0, 0, "integer[]", 1
"multicool", "Bell", -1, 0, 0, "double[]", 1
"multicool", "Bell", 0, 0, 0, "integer[]", 1
"multicool", "Bell", 0, 0, 1, "double", 1
"multicool", "genComp", -1, 0, 0, "list<double[]>", 1
"multicool", "genComp", 0, 0, 0, "double", 1
"multicool", "genComp", 1, 0, 0, "double", 1
"multicool", "genComp", 2, 0, 0, "logical", 1
"multicool", "generateCompositions", -1, 0, 0, "list<integer[]>", 1
"multicool", "generateCompositions", 0, 0, 0, "double", 1
"multicool", "initMC", -1, 0, 0, "class<`mc`>", 1
"multicool", "initMC", 0, 0, 0, "character[]", 1
"multicool", "initMC", 0, 0, 1, "double[]", 1
"multicool", "multinom", -1, 0, 0, "double", 1
"multicool", "multinom", 0, 0, 0, "character[]", 1
"multicool", "multinom", 0, 0, 1, "integer[]", 1
"multicool", "multinom", 1, 0, 0, "logical", 1
"multicool", "multinom", 2, 0, 0, "logical", 1
"multicool", "nextPerm", -1, 0, 0, "character[]", 1
"multicool", "nextPerm", -1, 0, 1, "double[]", 1
"multicool", "nextPerm", 0, 0, 0, "class<`mc`>", 1
"multicool", "S2", -1, 0, 0, "double[]", 1
"multicool", "S2", 0, 0, 0, "double", 1
"multicool", "S2", 0, 0, 1, "integer[]", 1
"multicool", "S2", 1, 0, 0, "integer[]", 1
"multicool", "Stirling2", -1, 0, 0, "double[]", 1
"multicool", "Stirling2", 0, 0, 0, "double", 1
"multicool", "Stirling2", 0, 0, 1, "integer[]", 1
"multicool", "Stirling2", 1, 0, 0, "integer[]", 1
"multicool", "Stirling2", 1, 0, 1, "double", 1
"multicool", "Stirling2C", -1, 0, 0, "double", 1
"multicool", "Stirling2C", 0, 0, 0, "double", 1
"multicool", "Stirling2C", 1, 0, 0, "double", 1
