package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"mvtnorm", "filter", -1, 0, 0, "logical[]", 1
"mvtnorm", "filter", 0, 0, 0, "character[]", 1
"mvtnorm", "rmvnorm", -1, 0, 0, "^double[]", 1
"mvtnorm", "rmvnorm", 0, 0, 0, "double", 1
"mvtnorm", "rmvnorm", 1, 0, 0, "^double[]", 1
"mvtnorm", "rmvnorm", 2, 0, 0, "^double[]", 1
"mvtnorm", "rmvnorm", 3, 0, 0, "character[]", 1
"mvtnorm", "rmvnorm", 4, 0, 0, "logical", 1
"mvtnorm", "checkmvArgs", -1, 0, 0, "struct<`lower`:double[], `upper`:double[], `mean`:double[], `corr`:^double[], `sigma`:null, `uni`:logical>", 1
"mvtnorm", "checkmvArgs", 0, 0, 0, "double[]", 1
"mvtnorm", "checkmvArgs", 1, 0, 0, "double[]", 1
"mvtnorm", "checkmvArgs", 2, 0, 0, "double[]", 1
"mvtnorm", "checkmvArgs", 3, 0, 0, "null", 1
"mvtnorm", "checkmvArgs", 3, 0, 1, "^double[]", 1
"mvtnorm", "checkmvArgs", 4, 0, 0, "null", 1
"mvtnorm", "checkmvArgs", 4, 0, 1, "^double[]", 1
