package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"nloptr", "$", -1, 0, 0, "double[]", 1
"nloptr", "$", 0, 0, 0, "double[]", 1
"nloptr", "eval_f", -1, 0, 0, "double", 1
"nloptr", "eval_f", 0, 0, 0, "double[]", 1
"nloptr", "eval_g_eq", -1, 0, 0, "double[]", 1
"nloptr", "eval_g_eq", 0, 0, 0, "double[]", 1
"nloptr", "eval_g_eq_wrapper", -1, 0, 0, "double", 1
"nloptr", "eval_g_eq_wrapper", 0, 0, 0, "double[]", 1
"nloptr", "eval_g_ineq", -1, 0, 0, "double[]", 1
"nloptr", "eval_g_ineq", 0, 0, 0, "double[]", 1
"nloptr", "eval_g_ineq_wrapper", -1, 0, 0, "double[]", 1
"nloptr", "eval_g_ineq_wrapper", 0, 0, 0, "double[]", 1
"nloptr", "eval_grad_f", -1, 0, 0, "double[]", 1
"nloptr", "eval_grad_f", 0, 0, 0, "double[]", 1
"nloptr", "eval_jac_g_eq", -1, 0, 0, "^double[]", 1
"nloptr", "eval_jac_g_eq", 0, 0, 0, "double[]", 1
"nloptr", "eval_jac_g_ineq", -1, 0, 0, "^double[]", 1
"nloptr", "eval_jac_g_ineq", 0, 0, 0, "double[]", 1
"nloptr", "filter", -1, 0, 0, "logical[]", 1
"nloptr", "filter", 0, 0, 0, "character[]", 1
"nloptr", "fn", -1, 0, 0, "double[]", 1
"nloptr", "fn", 0, 0, 0, "double[]", 1
"nloptr", "fun", -1, 0, 0, "double[]", 1
"nloptr", "fun", 0, 0, 0, "double[]", 1
"nloptr", "fun", 0, 0, 1, "symbol", 1
"nloptr", "fun", 1, 0, 0, "symbol", 1
