package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"nlstools", "asCI", -1, 0, 0, "^double[]", 1
"nlstools", "asCI", 0, 0, 0, "struct<`m`:struct<`resid`:any => any, `fitted`:any => any, `formula`:any => any, `deviance`:any => any, `lhs`:any => any, `gradient`:any => any, `conv`:any => any, `incr`:any => any, `setVarying`:any => any, `setPars`:any => any, `getPars`:any => any, `getAllPars`:any => any, `getEnv`:any => any, `trace`:any => any, `Rmat`:any => any, `predict`:any => any>, `convInfo`:struct<`isConv`:logical, `finIter`:integer, `finTol`:double, `stopCode`:integer, `stopMessage`:character>, `data`:symbol, `call`:language, `dataClasses`:character, `control`:struct<`maxiter`:double, `tol`:double, `minFactor`:double, `printEval`:logical, `warnOnly`:logical>>", 1
"nlstools", "asCI", 1, 0, 0, "character[]", 1
"nlstools", "asCI", 2, 0, 0, "double", 1
"nlstools", "confint2", -1, 0, 0, "^double[]", 1
"nlstools", "confint2", 0, 0, 0, "struct<`m`:struct<`resid`:any => any, `fitted`:any => any, `formula`:any => any, `deviance`:any => any, `lhs`:any => any, `gradient`:any => any, `conv`:any => any, `incr`:any => any, `setVarying`:any => any, `setPars`:any => any, `getPars`:any => any, `getAllPars`:any => any, `getEnv`:any => any, `trace`:any => any, `Rmat`:any => any, `predict`:any => any>, `convInfo`:struct<`isConv`:logical, `finIter`:integer, `finTol`:double, `stopCode`:integer, `stopMessage`:character>, `data`:symbol, `call`:language, `dataClasses`:character, `control`:struct<`maxiter`:double, `tol`:double, `minFactor`:double, `printEval`:logical, `warnOnly`:logical>>", 1
"nlstools", "confint2", 1, 0, 0, "character", 1
"nlstools", "confint2", 1, 0, 1, "null", 1
"nlstools", "confint2", 2, 0, 0, "double", 1
"nlstools", "confint2", 3, 0, 0, "character[]", 1
"nlstools", "confint2", 4, 0, 0, "null", 1
"nlstools", "filter", -1, 0, 0, "logical[]", 1
"nlstools", "filter", 0, 0, 0, "character[]", 1
"nlstools", "fmodele", -1, 0, 0, "double[]", 1
"nlstools", "fmodele", 0, 0, 0, "double[]", 1
"nlstools", "fmodele", 1, 0, 0, "double", 1
"nlstools", "fmodele", 2, 0, 0, "double", 1
"nlstools", "fmodele", 3, 0, 0, "double", 1
"nlstools", "format.perc", -1, 0, 0, "character[]", 1
"nlstools", "format.perc", 0, 0, 0, "double[]", 1
"nlstools", "format.perc", 1, 0, 0, "double", 1
"nlstools", "fun", -1, 0, 0, "null", 1
"nlstools", "fun", 0, 0, 0, "symbol", 1
"nlstools", "fun", 1, 0, 0, "symbol", 1
"nlstools", "FUN", -1, 0, 0, "double[]", 1
"nlstools", "FUN", 0, 0, 0, "struct<`coef`:double[], `rse`:double>", 1
"nlstools", "FUN", 0, 0, 1, "double[]", 1
"nlstools", "overview", -1, 0, 0, "null", 1
