package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"norm", ".code.to.na", -1, 0, 0, "class<`matrix`>", 1
"norm", ".code.to.na", 0, 0, 0, "class<`matrix`>", 1
"norm", ".code.to.na", 1, 0, 0, "double", 1
"norm", "da.norm", -1, 0, 0, "double[]", 1
"norm", "da.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "da.norm", 1, 0, 0, "double[]", 1
"norm", "da.norm", 2, 0, 0, "any", 1
"norm", "da.norm", 3, 0, 0, "double", 1
"norm", "da.norm", 4, 0, 0, "logical", 1
"norm", "da.norm", 5, 0, 0, "logical", 1
"norm", "em.norm", -1, 0, 0, "double[]", 1
"norm", "em.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "em.norm", 1, 0, 0, "any", 1
"norm", "em.norm", 2, 0, 0, "logical", 1
"norm", "em.norm", 3, 0, 0, "double", 1
"norm", "em.norm", 4, 0, 0, "double", 1
"norm", "em.norm", 5, 0, 0, "any", 1
"norm", "getparam.norm", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"norm", "getparam.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "getparam.norm", 1, 0, 0, "double[]", 1
"norm", "getparam.norm", 2, 0, 0, "logical", 1
"norm", "imp.norm", -1, 0, 0, "class<`matrix`>", 1
"norm", "imp.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "imp.norm", 1, 0, 0, "double[]", 1
"norm", "imp.norm", 2, 0, 0, "class<`matrix`>", 1
"norm", "loglik.norm", -1, 0, 0, "double", 1
"norm", "loglik.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "loglik.norm", 1, 0, 0, "double[]", 1
"norm", "logpost.norm", -1, 0, 0, "double", 1
"norm", "logpost.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "logpost.norm", 1, 0, 0, "double[]", 1
"norm", "logpost.norm", 2, 0, 0, "list<double[] | class<`matrix`>>", 1
"norm", "makeparam.norm", -1, 0, 0, "double[]", 1
"norm", "makeparam.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "makeparam.norm", 1, 0, 0, "list<double[] | class<`matrix`>>", 1
"norm", "mda.norm", -1, 0, 0, "double[]", 1
"norm", "mda.norm", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "mda.norm", 1, 0, 0, "double[]", 1
"norm", "mda.norm", 2, 0, 0, "double", 1
"norm", "mda.norm", 3, 0, 0, "logical", 1
"norm", ".na.to.snglcode", -1, 0, 0, "class<`matrix`>", 1
"norm", ".na.to.snglcode", 0, 0, 0, "class<`matrix`>", 1
"norm", ".na.to.snglcode", 1, 0, 0, "double", 1
"norm", "ninvwish", -1, 0, 0, "double[]", 1
"norm", "ninvwish", 0, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "ninvwish", 1, 0, 0, "list<double[] | class<`matrix`>>", 1
"norm", "prelim.norm", -1, 0, 0, "list<class<`matrix`> | double[]>", 1
"norm", "prelim.norm", 0, 0, 0, "class<`matrix`>", 1
"norm", "rngseed", -1, 0, 0, "null", 1
"norm", "rngseed", 0, 0, 0, "double", 1
