package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"numDeriv", "genD", -1, 0, 0, "class<`Darray`>", 1
"numDeriv", "genD", 0, 0, 0, "class<`function`>", 1
"numDeriv", "genD", 1, 0, 0, "double[]", 1
"numDeriv", "genD", 2, 0, 0, "character", 1
"numDeriv", "genD", 3, 0, 0, "any", 1
"numDeriv", "genD", 4, 0, 0, "...", 1
"numDeriv", "genD.default", -1, 0, 0, "class<`Darray`>", 1
"numDeriv", "genD.default", 0, 0, 0, "class<`function`>", 1
"numDeriv", "genD.default", 1, 0, 0, "double[]", 1
"numDeriv", "genD.default", 2, 0, 0, "character", 1
"numDeriv", "genD.default", 3, 0, 0, "list<any>", 1
"numDeriv", "genD.default", 4, 0, 0, "...", 1
"numDeriv", "grad", -1, 0, 0, "^double[]", 1
"numDeriv", "grad", -1, 0, 1, "null", 1
"numDeriv", "grad", 0, 0, 0, "class<`function`>", 1
"numDeriv", "grad", 1, 0, 0, "double[]", 1
"numDeriv", "grad", 2, 0, 0, "character", 1
"numDeriv", "grad", 3, 0, 0, "^double[]", 1
"numDeriv", "grad", 3, 0, 1, "null", 1
"numDeriv", "grad", 4, 0, 0, "any", 1
"numDeriv", "grad", 5, 0, 0, "...", 1
"numDeriv", "grad.default", -1, 0, 0, "^double[]", 1
"numDeriv", "grad.default", -1, 0, 1, "null", 1
"numDeriv", "grad.default", 0, 0, 0, "class<`function`>", 1
"numDeriv", "grad.default", 1, 0, 0, "double[]", 1
"numDeriv", "grad.default", 2, 0, 0, "character", 1
"numDeriv", "grad.default", 3, 0, 0, "^double[]", 1
"numDeriv", "grad.default", 3, 0, 1, "null", 1
"numDeriv", "grad.default", 4, 0, 0, "any", 1
"numDeriv", "grad.default", 5, 0, 0, "...", 1
"numDeriv", "hessian", -1, 0, 0, "class<`matrix`>", 1
"numDeriv", "hessian", 0, 0, 0, "class<`function`>", 1
"numDeriv", "hessian", 1, 0, 0, "double[]", 1
"numDeriv", "hessian", 2, 0, 0, "character", 1
"numDeriv", "hessian", 3, 0, 0, "any", 1
"numDeriv", "hessian", 4, 0, 0, "...", 1
"numDeriv", "hessian.default", -1, 0, 0, "class<`matrix`>", 1
"numDeriv", "hessian.default", 0, 0, 0, "class<`function`>", 1
"numDeriv", "hessian.default", 1, 0, 0, "double[]", 1
"numDeriv", "hessian.default", 2, 0, 0, "character", 1
"numDeriv", "hessian.default", 3, 0, 0, "list<any>", 1
"numDeriv", "hessian.default", 4, 0, 0, "...", 1
"numDeriv", "jacobian", -1, 0, 0, "class<`matrix`>", 1
"numDeriv", "jacobian", 0, 0, 0, "class<`function`>", 1
"numDeriv", "jacobian", 1, 0, 0, "double[]", 1
"numDeriv", "jacobian", 2, 0, 0, "character", 1
"numDeriv", "jacobian", 3, 0, 0, "null", 1
"numDeriv", "jacobian", 3, 0, 1, "double", 1
"numDeriv", "jacobian", 4, 0, 0, "any", 1
"numDeriv", "jacobian", 5, 0, 0, "...", 1
"numDeriv", "jacobian.default", -1, 0, 0, "class<`matrix`>", 1
"numDeriv", "jacobian.default", 0, 0, 0, "class<`function`>", 1
"numDeriv", "jacobian.default", 1, 0, 0, "double[]", 1
"numDeriv", "jacobian.default", 2, 0, 0, "character", 1
"numDeriv", "jacobian.default", 3, 0, 0, "null", 1
"numDeriv", "jacobian.default", 3, 0, 1, "double", 1
"numDeriv", "jacobian.default", 4, 0, 0, "any", 1
"numDeriv", "jacobian.default", 5, 0, 0, "...", 1
