package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"numbers", "agm", -1, 0, 0, "double", 1
"numbers", "agm", 0, 0, 0, "double", 1
"numbers", "agm", 1, 0, 0, "double", 1
"numbers", "coprime", -1, 0, 0, "logical", 1
"numbers", "coprime", 0, 0, 0, "double", 1
"numbers", "coprime", 1, 0, 0, "double", 1
"numbers", "egyptian_complete", -1, 0, 0, "double", 1
"numbers", "egyptian_complete", 0, 0, 0, "double", 1
"numbers", "egyptian_complete", 1, 0, 0, "double", 1
"numbers", "egyptian_complete", 2, 0, 0, "logical", 1
"numbers", "egyptian_methods", -1, 0, 0, "null", 1
"numbers", "egyptian_methods", 0, 0, 0, "double", 1
"numbers", "egyptian_methods", 1, 0, 0, "double", 1
"numbers", "filter", -1, 0, 0, "logical[]", 1
"numbers", "filter", 0, 0, 0, "character[]", 1
"numbers", "FUN", -1, 0, 0, "double", 1
"numbers", "FUN", 0, 0, 0, "integer", 1
"numbers", "isNatural", -1, 0, 0, "logical[]", 1
"numbers", "isNatural", 0, 0, 0, "double[]", 1
"numbers", "modinv", -1, 0, 0, "double", 1
"numbers", "modinv", 0, 0, 0, "double", 1
"numbers", "modinv", 1, 0, 0, "double", 1
"numbers", "omega", -1, 0, 0, "integer", 1
"numbers", "omega", 0, 0, 0, "double", 1
"numbers", "Omega", -1, 0, 0, "integer", 1
"numbers", "Omega", 0, 0, 0, "double", 1
"numbers", "primeSieve", -1, 0, 0, "double[]", 1
"numbers", "primeSieve", 0, 0, 0, "double", 1
"numbers", "print_eg", -1, 0, 0, "null", 1
"numbers", "print_eg", 0, 0, 0, "double", 1
"numbers", "print_eg", 1, 0, 0, "double", 1
"numbers", "print_eg", 2, 0, 0, "double[]", 1
"numbers", "quadratic_residues", -1, 0, 0, "double[]", 1
"numbers", "quadratic_residues", 0, 0, 0, "double", 1
"numbers", "radical", -1, 0, 0, "double", 1
"numbers", "radical", 0, 0, 0, "double", 1
"numbers", "twinPrimes", -1, 0, 0, "^integer[]", 1
"numbers", "twinPrimes", 0, 0, 0, "double", 1
"numbers", "twinPrimes", 1, 0, 0, "double", 1
