package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"officer", "absolute_path", -1, 0, 0, "character", 1
"officer", "absolute_path", 0, 0, 0, "character", 1
"officer", "add_sheet", -1, 0, 0, "class<`rxlsx`>", 1
"officer", "add_sheet", 0, 0, 0, "class<`rxlsx`>", 1
"officer", "add_sheet", 1, 0, 0, "character", 1
"officer", "add_slide", -1, 0, 0, "class<`rpptx`>", 1
"officer", "add_slide", 0, 0, 0, "class<`rpptx`>", 1
"officer", "add_slide", 1, 0, 0, "character", 1
"officer", "add_slide", 2, 0, 0, "character", 1
"officer", "annotate_base", -1, 0, 0, "class<`rpptx`>", 1
"officer", "annotate_base", 0, 0, 0, "null", 1
"officer", "annotate_base", 1, 0, 0, "character", 1
"officer", "as_ph_location", -1, 0, 0, "list<double | character | double | character | null>", 1
"officer", "as_ph_location", 0, 0, 0, "class<`data.frame`>", 1
"officer", "as_ph_location", 1, 0, 0, "...", 1
"officer", "as_xpath_content_sel", -1, 0, 0, "character", 1
"officer", "as_xpath_content_sel", 0, 0, 0, "character", 1
"officer", "attr_chunk", -1, 0, 0, "character", 1
"officer", "attr_chunk", 0, 0, 0, "character", 1
"officer", "a_xfrm_str", -1, 0, 0, "character", 1
"officer", "a_xfrm_str", 0, 0, 0, "double", 1
"officer", "a_xfrm_str", 1, 0, 0, "double", 1
"officer", "a_xfrm_str", 2, 0, 0, "double", 1
"officer", "a_xfrm_str", 3, 0, 0, "double", 1
"officer", "a_xfrm_str", 4, 0, 0, "double", 1
"officer", "a_xfrm_str", 4, 0, 1, "null", 1
"officer", "between", -1, 0, 0, "logical", 1
"officer", "between", 0, 0, 0, "double", 1
"officer", "between", 1, 0, 0, "double", 1
"officer", "between", 2, 0, 0, "integer", 1
"officer", "block_caption", -1, 0, 0, "class<`block`, `block_caption`>", 1
"officer", "block_caption", 0, 0, 0, "character", 1
"officer", "block_caption", 1, 0, 0, "character", 1
"officer", "block_caption", 2, 0, 0, "character", 1
"officer", "block_caption", 3, 0, 0, "class<`run`, `run_autonum`>", 1
"officer", "block_list", -1, 0, 0, "class<`block_list`>", 1
"officer", "block_list", 0, 0, 0, "...", 1
"officer", "block_table", -1, 0, 0, "class<`block`, `block_table`>", 1
"officer", "block_table", 0, 0, 0, "class<`data.frame`>", 1
"officer", "block_table", 1, 0, 0, "character", 1
"officer", "block_table", 1, 0, 1, "null", 1
"officer", "block_table", 2, 0, 0, "logical", 1
"officer", "block_table", 3, 0, 0, "logical", 1
"officer", "block_table", 4, 0, 0, "logical", 1
"officer", "block_table", 5, 0, 0, "logical", 1
"officer", "block_table", 6, 0, 0, "logical", 1
"officer", "block_table", 7, 0, 0, "logical", 1
"officer", "block_table", 8, 0, 0, "logical", 1
"officer", "block_toc", -1, 0, 0, "class<`block`, `block_toc`>", 1
"officer", "block_toc", 0, 0, 0, "double", 1
"officer", "block_toc", 1, 0, 0, "character", 1
"officer", "block_toc", 1, 0, 1, "null", 1
"officer", "block_toc", 2, 0, 0, "character", 1
"officer", "body_add", -1, 0, 0, "class<`rdocx`>", 1
"officer", "body_add", 0, 0, 0, "class<`rdocx`>", 1
"officer", "body_add", 1, 0, 0, "character[]", 1
"officer", "body_add", 1, 0, 1, "class<`block`, `block_caption`>", 1
"officer", "body_add", 1, 0, 2, "class<`block`, `block_toc`>", 1
"officer", "body_add", 1, 0, 3, "class<`block_list`>", 1
"officer", "body_add", 1, 0, 4, "class<`cot`, `external_img`>", 1
"officer", "body_add", 1, 0, 5, "class<`data.frame`>", 1
"officer", "body_add", 1, 0, 6, "class<`fpar`>", 1
"officer", "body_add", 1, 0, 7, "class<`gg`, `ggplot`>", 1
"officer", "body_add", 1, 0, 8, "class<`plot_instr`>", 1
"officer", "body_add", 2, 0, 0, "...", 1
"officer", "body_add.block_caption", -1, 0, 0, "class<`rdocx`>", 1
"officer", "body_add.block_caption", 0, 0, 0, "class<`rdocx`>", 1
"officer", "body_add.block_caption", 1, 0, 0, "class<`block`, `block_caption`>", 1
"officer", "body_add.block_caption", 1, 0, 1, "class<`block`, `block_toc`>", 1
"officer", "body_add.block_caption", 2, 0, 0, "...", 1
"officer", "body_add.block_list", -1, 0, 0, "class<`rdocx`>", 1
"officer", "body_add.block_list", 0, 0, 0, "class<`rdocx`>", 1
