package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"openssl", ":::", -1, 0, 0, "raw[]", 1
"openssl", ":::", 0, 0, 0, "class<`bignum`>", 1
"openssl", ":::", 0, 0, 1, "raw[]", 1
"openssl", ":::", 1, 0, 0, "class<`bignum`>", 1
"openssl", ":::", 1, 0, 1, "raw[]", 1
"openssl", ":::", 2, 0, 0, "character", 1
"openssl", ":::", -1, 1, 0, "character", 1
"openssl", ":::", 0, 1, 0, "class<`pubkey`>", 1
"openssl", ":::", 0, 1, 1, "class<`ecdsa`, `pubkey`>", 1
"openssl", ":::", 0, 1, 2, "class<`NA`, `pubkey`>", 1
"openssl", ":::", 0, 1, 3, "class<`pubkey`, `rsa`>", 1
"openssl", ":::", 0, 1, 4, "class<`pubkey`, `x25519`>", 1
"openssl", ":::", 0, 1, 5, "raw[]", 1
"openssl", "aes_any", -1, 0, 0, "raw[]", 1
"openssl", "aes_any", 0, 0, 0, "raw[]", 1
"openssl", "aes_any", 1, 0, 0, "class<`hash`, `sha256`>", 1
"openssl", "aes_any", 1, 0, 1, "raw[]", 1
"openssl", "aes_any", 2, 0, 0, "raw[]", 1
"openssl", "aes_any", 3, 0, 0, "logical", 1
"openssl", "aes_any", 4, 0, 0, "character", 1
"openssl", "aes_cbc_decrypt", -1, 0, 0, "raw[]", 1
"openssl", "aes_cbc_decrypt", 0, 0, 0, "raw[]", 1
"openssl", "aes_cbc_decrypt", 1, 0, 0, "class<`hash`, `sha256`>", 1
"openssl", "aes_cbc_decrypt", 1, 0, 1, "raw[]", 1
"openssl", "aes_cbc_decrypt", 2, 0, 0, "raw[]", 1
"openssl", "aes_cbc_encrypt", -1, 0, 0, "raw[]", 1
"openssl", "aes_cbc_encrypt", 0, 0, 0, "character", 1
"openssl", "aes_cbc_encrypt", 0, 0, 1, "raw[]", 1
"openssl", "aes_cbc_encrypt", 1, 0, 0, "raw[]", 1
"openssl", "aes_cbc_encrypt", 1, 0, 1, "class<`hash`, `sha256`>", 1
"openssl", "aes_cbc_encrypt", 2, 0, 0, "raw[]", 1
"openssl", "aes_decrypt", -1, 0, 0, "raw[]", 1
"openssl", "aes_decrypt", 0, 0, 0, "raw[]", 1
"openssl", "aes_decrypt", 1, 0, 0, "class<`hash`, `sha256`>", 1
"openssl", "aes_decrypt", 1, 0, 1, "raw[]", 1
"openssl", "aes_decrypt", 2, 0, 0, "raw[]", 1
"openssl", "aes_decrypt", 3, 0, 0, "character", 1
"openssl", "aes_encrypt", -1, 0, 0, "raw[]", 1
"openssl", "aes_encrypt", 0, 0, 0, "character", 1
"openssl", "aes_encrypt", 0, 0, 1, "raw[]", 1
"openssl", "aes_encrypt", 1, 0, 0, "raw[]", 1
"openssl", "aes_encrypt", 1, 0, 1, "class<`hash`, `sha256`>", 1
"openssl", "aes_encrypt", 2, 0, 0, "raw[]", 1
"openssl", "aes_encrypt", 3, 0, 0, "character", 1
"openssl", "as.character.bignum", -1, 0, 0, "character", 1
"openssl", "as.character.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "as.character.bignum", 1, 0, 0, "logical", 1
"openssl", "as.character.bignum", 2, 0, 0, "...", 1
"openssl", "as.character.hash", -1, 0, 0, "class<`hash`, `md5`>", 1
"openssl", "as.character.hash", -1, 0, 1, "class<`hash`, `sha1`>", 1
"openssl", "as.character.hash", 0, 0, 0, "class<`hash`, `md5`>", 1
"openssl", "as.character.hash", 0, 0, 1, "class<`hash`, `sha1`>", 1
"openssl", "as.character.hash", 1, 0, 0, "character", 1
"openssl", "as.character.hash", 2, 0, 0, "...", 1
"openssl", "as.list.cert", -1, 0, 0, "list<any>", 1
"openssl", "as.list.cert", 0, 0, 0, "class<`cert`>", 1
"openssl", "as.list.cert", 1, 0, 0, "...", 1
"openssl", "as.list.cert", 2, 0, 0, "null", 1
"openssl", "as.list.key", -1, 0, 0, "list<any>", 1
"openssl", "as.list.key", 0, 0, 0, "class<`ecdsa`, `key`>", 1
"openssl", "as.list.key", 0, 0, 1, "class<`ed25519`, `key`>", 1
"openssl", "as.list.key", 0, 0, 2, "class<`key`, `rsa`>", 1
"openssl", "as.list.key", 0, 0, 3, "class<`key`, `x25519`>", 1
"openssl", "as.list.key", 1, 0, 0, "...", 1
"openssl", "as.list.pubkey", -1, 0, 0, "list<any>", 1
"openssl", "as.list.pubkey", 0, 0, 0, "class<`ed25519`, `pubkey`>", 1
"openssl", "as.list.pubkey", 0, 0, 1, "class<`pubkey`, `x25519`>", 1
"openssl", "as.list.pubkey", 0, 0, 2, "class<`ecdsa`, `pubkey`>", 1
"openssl", "as.list.pubkey", 0, 0, 3, "class<`pubkey`, `rsa`>", 1
"openssl", "as.list.pubkey", 1, 0, 0, "...", 1
"openssl", "base64_decode", -1, 0, 0, "raw[]", 1
"openssl", "base64_decode", 0, 0, 0, "character", 1
"openssl", "base64_encode", -1, 0, 0, "character", 1
"openssl", "base64_encode", 0, 0, 0, "class<`bignum`>", 1
"openssl", "base64_encode", 0, 0, 1, "raw[]", 1
"openssl", "base64_encode", 1, 0, 0, "logical", 1
"openssl", "bignum", -1, 0, 0, "class<`bignum`>", 1
"openssl", "bignum", 0, 0, 0, "character", 1
"openssl", "bignum", 0, 0, 1, "integer", 1
"openssl", "bignum", 0, 0, 2, "raw[]", 1
"openssl", "bignum", 0, 0, 3, "class<`bignum`>", 1
"openssl", "bignum", 1, 0, 0, "logical", 1
"openssl", "^.bignum", -1, 0, 0, "class<`bignum`>", 1
"openssl", "^.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "^.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "<.bignum", -1, 0, 0, "logical", 1
"openssl", "<.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "<.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "==.bignum", -1, 0, 0, "logical", 1
"openssl", "==.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "==.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "*.bignum", -1, 0, 0, "class<`bignum`>", 1
"openssl", "*.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "*.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "%/%.bignum", -1, 0, 0, "class<`bignum`>", 1
"openssl", "%/%.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "%/%.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "%%.bignum", -1, 0, 0, "class<`bignum`>", 1
"openssl", "%%.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "%%.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "+.bignum", -1, 0, 0, "class<`bignum`>", 1
"openssl", "+.bignum", 0, 0, 0, "class<`bignum`>", 1
"openssl", "+.bignum", 1, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod", -1, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod", 0, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod", 1, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod_exp", -1, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod_exp", 0, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod_exp", 1, 0, 0, "class<`bignum`>", 1
"openssl", "bignum_mod_exp", 2, 0, 0, "class<`bignum`>", 1
"openssl", "bn", -1, 0, 0, "class<`bignum`>", 1
"openssl", "bn", 0, 0, 0, "character", 1
"openssl", "bn", 0, 0, 1, "integer", 1
"openssl", "bn", 0, 0, 2, "raw[]", 1
"openssl", "bn", 0, 0, 3, "class<`bignum`>", 1
"openssl", "bn", 1, 0, 0, "logical", 1
"openssl", "ca_bundle", -1, 0, 0, "list<class<`cert`>>", 1
"openssl", "cert_info", -1, 0, 0, "list<any>", 1
"openssl", "cert_info", 0, 0, 0, "class<`cert`>", 1
"openssl", "cert_info", 1, 0, 0, "null", 1
"openssl", "cert_pubkey", -1, 0, 0, "class<`pubkey`, `rsa`>", 1
"openssl", "cert_pubkey", 0, 0, 0, "class<`cert`>", 1
"openssl", "cert_verify", -1, 0, 0, "logical", 1
"openssl", "cert_verify", 0, 0, 0, "list<class<`cert`>>", 1
"openssl", "cert_verify", 1, 0, 0, "list<class<`cert`>>", 1
"openssl", "cert_verify_cert", -1, 0, 0, "logical", 1
"openssl", "cert_verify_cert", 0, 0, 0, "class<`cert`>", 1
"openssl", "cert_verify_cert", 1, 0, 0, "list<class<`cert`>>", 1
"openssl", "cert_verify_cert", 2, 0, 0, "list<class<`cert`>>", 1
"openssl", "connectionhash", -1, 0, 0, "raw[]", 1
"openssl", "connectionhash", 0, 0, 0, "class<`connection`, `file`>", 1
"openssl", "connectionhash", 1, 0, 0, "character", 1
"openssl", "connectionhmac", -1, 0, 0, "raw[]", 1
"openssl", "connectionhmac", 0, 0, 0, "class<`connection`, `file`>", 1
"openssl", "connectionhmac", 1, 0, 0, "character", 1
"openssl", "connectionhmac", 2, 0, 0, "raw[]", 1
"openssl", "data_sign", -1, 0, 0, "raw[]", 1
"openssl", "data_sign", 0, 0, 0, "raw[]", 1
"openssl", "data_sign", 1, 0, 0, "class<`ed25519`, `key`>", 1
"openssl", "data_verify", -1, 0, 0, "logical", 1
"openssl", "data_verify", 0, 0, 0, "raw[]", 1
"openssl", "data_verify", 1, 0, 0, "raw[]", 1
"openssl", "data_verify", 2, 0, 0, "class<`ed25519`, `pubkey`>", 1
"openssl", "decompose", -1, 0, 0, "raw[]", 1
"openssl", "decompose", -1, 0, 1, "list<character | class<`bignum`> | class<`bignum`>>", 1
"openssl", "decompose", 0, 0, 0, "class<`ed25519`, `key`>", 1
"openssl", "decompose", 0, 0, 1, "class<`ed25519`, `pubkey`>", 1
"openssl", "decompose", 0, 0, 2, "class<`key`, `x25519`>", 1
