package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"openxlsx", "addFilter", -1, 0, 0, "class<`Workbook`>", 1
"openxlsx", "addFilter", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "addFilter", 1, 0, 0, "double", 1
"openxlsx", "addFilter", 2, 0, 0, "double", 1
"openxlsx", "addFilter", 3, 0, 0, "integer[]", 1
"openxlsx", "addStyle", -1, 0, 0, "list<list<any>>", 1
"openxlsx", "addStyle", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "addStyle", 1, 0, 0, "double", 1
"openxlsx", "addStyle", 1, 0, 1, "character", 1
"openxlsx", "addStyle", 2, 0, 0, "class<`Style`>", 1
"openxlsx", "addStyle", 3, 0, 0, "double", 1
"openxlsx", "addStyle", 3, 0, 1, "integer[]", 1
"openxlsx", "addStyle", 4, 0, 0, "double[]", 1
"openxlsx", "addStyle", 5, 0, 0, "logical", 1
"openxlsx", "addStyle", 6, 0, 0, "logical", 1
"openxlsx", "addWorksheet", -1, 0, 0, "integer", 1
"openxlsx", "addWorksheet", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "addWorksheet", 1, 0, 0, "character", 1
"openxlsx", "addWorksheet", 2, 0, 0, "logical", 1
"openxlsx", "addWorksheet", 3, 0, 0, "character", 1
"openxlsx", "addWorksheet", 3, 0, 1, "null", 1
"openxlsx", "addWorksheet", 4, 0, 0, "double", 1
"openxlsx", "addWorksheet", 5, 0, 0, "null", 1
"openxlsx", "addWorksheet", 5, 0, 1, "character[]", 1
"openxlsx", "addWorksheet", 6, 0, 0, "null", 1
"openxlsx", "addWorksheet", 6, 0, 1, "^character[]", 1
"openxlsx", "addWorksheet", 7, 0, 0, "null", 1
"openxlsx", "addWorksheet", 7, 0, 1, "character[]", 1
"openxlsx", "addWorksheet", 8, 0, 0, "null", 1
"openxlsx", "addWorksheet", 8, 0, 1, "character[]", 1
"openxlsx", "addWorksheet", 9, 0, 0, "null", 1
"openxlsx", "addWorksheet", 9, 0, 1, "^character[]", 1
"openxlsx", "addWorksheet", 10, 0, 0, "null", 1
"openxlsx", "addWorksheet", 10, 0, 1, "^character[]", 1
"openxlsx", "addWorksheet", 11, 0, 0, "logical", 1
"openxlsx", "addWorksheet", 12, 0, 0, "double", 1
"openxlsx", "addWorksheet", 13, 0, 0, "character", 1
"openxlsx", "addWorksheet", 14, 0, 0, "double", 1
"openxlsx", "addWorksheet", 15, 0, 0, "double", 1
"openxlsx", "build_cell_merges", -1, 0, 0, "list<any>", 1
"openxlsx", "build_cell_merges", 0, 0, 0, "list<any>", 1
"openxlsx", "build_cell_types_integer", -1, 0, 0, "(^integer[] | null)", 1
"openxlsx", "build_cell_types_integer", 0, 0, 0, "character[]", 1
"openxlsx", "build_cell_types_integer", 1, 0, 0, "integer", 1
"openxlsx", "buildFillList", -1, 0, 0, "list<character | list<character[]>>", 1
"openxlsx", "buildFillList", 0, 0, 0, "character[]", 1
"openxlsx", "buildFontList", -1, 0, 0, "list<list<character>>", 1
"openxlsx", "buildFontList", 0, 0, 0, "character[]", 1
"openxlsx", "build_table_xml", -1, 0, 0, "character", 1
"openxlsx", "build_table_xml", 0, 0, 0, "character", 1
"openxlsx", "build_table_xml", 1, 0, 0, "character", 1
"openxlsx", "build_table_xml", 2, 0, 0, "character", 1
"openxlsx", "build_table_xml", 3, 0, 0, "character[]", 1
"openxlsx", "build_table_xml", 4, 0, 0, "logical", 1
"openxlsx", "build_table_xml", 5, 0, 0, "logical", 1
"openxlsx", "classStyles", -1, 0, 0, "double", 1
"openxlsx", "classStyles", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "classStyles", 1, 0, 0, "character", 1
"openxlsx", "classStyles", 1, 0, 1, "double", 1
"openxlsx", "classStyles", 2, 0, 0, "integer", 1
"openxlsx", "classStyles", 3, 0, 0, "double", 1
"openxlsx", "classStyles", 4, 0, 0, "logical", 1
"openxlsx", "classStyles", 5, 0, 0, "integer", 1
"openxlsx", "classStyles", 6, 0, 0, "list<character[]>", 1
"openxlsx", "classStyles", 7, 0, 0, "any", 1
"openxlsx", "cloneWorksheet", -1, 0, 0, "integer", 1
"openxlsx", "cloneWorksheet", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "cloneWorksheet", 1, 0, 0, "character", 1
"openxlsx", "cloneWorksheet", 2, 0, 0, "character", 1
"openxlsx", "col2hex", -1, 0, 0, "character[]", 1
"openxlsx", "col2hex", 0, 0, 0, "character[]", 1
"openxlsx", "conditionalFormatting", -1, 0, 0, "double", 1
"openxlsx", "conditionalFormatting", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "conditionalFormatting", 1, 0, 0, "character", 1
"openxlsx", "conditionalFormatting", 2, 0, 0, "double", 1
"openxlsx", "conditionalFormatting", 2, 0, 1, "integer[]", 1
"openxlsx", "conditionalFormatting", 3, 0, 0, "integer[]", 1
"openxlsx", "conditionalFormatting", 4, 0, 0, "character", 1
"openxlsx", "conditionalFormatting", 4, 0, 1, "double[]", 1
"openxlsx", "conditionalFormatting", 4, 0, 2, "null", 1
"openxlsx", "conditionalFormatting", 5, 0, 0, "class<`Style`>", 1
"openxlsx", "conditionalFormatting", 5, 0, 1, "null", 1
"openxlsx", "conditionalFormatting", 5, 0, 2, "character[]", 1
"openxlsx", "conditionalFormatting", 6, 0, 0, "character", 1
"openxlsx", "conditionalFormatting", 7, 0, 0, "...", 1
"openxlsx", "convert_from_excel_ref", -1, 0, 0, "integer[]", 1
"openxlsx", "convert_from_excel_ref", 0, 0, 0, "character[]", 1
"openxlsx", "convertFromExcelRef", -1, 0, 0, "integer[]", 1
"openxlsx", "convertFromExcelRef", 0, 0, 0, "character[]", 1
"openxlsx", "convertFromExcelRef", 0, 0, 1, "double[]", 1
"openxlsx", "convertToDate", -1, 0, 0, "class<`Date`>", 1
"openxlsx", "convertToDate", 0, 0, 0, "^double[]", 1
"openxlsx", "convertToDate", 1, 0, 0, "character", 1
"openxlsx", "convertToDate", 2, 0, 0, "...", 1
"openxlsx", "convertToDateTime", -1, 0, 0, "class<`POSIXct`, `POSIXt`>", 1
"openxlsx", "convertToDateTime", 0, 0, 0, "^double[]", 1
"openxlsx", "convertToDateTime", 1, 0, 0, "character", 1
"openxlsx", "convertToDateTime", 2, 0, 0, "...", 1
"openxlsx", "convert_to_excel_ref", -1, 0, 0, "character[]", 1
"openxlsx", "convert_to_excel_ref", 0, 0, 0, "double[]", 1
"openxlsx", "convert_to_excel_ref", 1, 0, 0, "character[]", 1
"openxlsx", "convert_to_excel_ref_expand", -1, 0, 0, "character[]", 1
"openxlsx", "convert_to_excel_ref_expand", 0, 0, 0, "double", 1
"openxlsx", "convert_to_excel_ref_expand", 1, 0, 0, "character[]", 1
"openxlsx", "convert_to_excel_ref_expand", 2, 0, 0, "character[]", 1
"openxlsx", "copyWorkbook", -1, 0, 0, "class<`Workbook`>", 1
"openxlsx", "copyWorkbook", 0, 0, 0, "class<`Workbook`>", 1
"openxlsx", "cppReadFile", -1, 0, 0, "character", 1
"openxlsx", "cppReadFile", 0, 0, 0, "character", 1
"openxlsx", "createComment", -1, 0, 0, "class<`Comment`>", 1
"openxlsx", "createComment", 0, 0, 0, "character[]", 1
"openxlsx", "createComment", 1, 0, 0, "character", 1
"openxlsx", "createComment", 2, 0, 0, "null", 1
"openxlsx", "createComment", 2, 0, 1, "list<class<`Style`>>", 1
"openxlsx", "createComment", 3, 0, 0, "logical", 1
"openxlsx", "createComment", 4, 0, 0, "double", 1
"openxlsx", "createComment", 5, 0, 0, "double", 1
"openxlsx", "createNamedRegion", -1, 0, 0, "character", 1
"openxlsx", "createNamedRegion", 0, 0, 0, "class<`Workbook`>", 1
