package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"optimx", "as.data.frame.opm", -1, 0, 0, "class<`data.frame`>", 1
"optimx", "as.data.frame.opm", 0, 0, 0, "class<`data.frame`, `opm`>", 1
"optimx", "as.data.frame.opm", 0, 0, 1, "class<`data.frame`, `optimx`>", 1
"optimx", "as.data.frame.opm", 1, 0, 0, "null", 1
"optimx", "as.data.frame.opm", 2, 0, 0, "logical", 1
"optimx", "as.data.frame.opm", 3, 0, 0, "...", 1
"optimx", "as.data.frame.optimx", -1, 0, 0, "class<`data.frame`>", 1
"optimx", "as.data.frame.optimx", 0, 0, 0, "class<`data.frame`, `opm`>", 1
"optimx", "as.data.frame.optimx", 0, 0, 1, "class<`data.frame`, `optimx`>", 1
"optimx", "as.data.frame.optimx", 1, 0, 0, "null", 1
"optimx", "as.data.frame.optimx", 2, 0, 0, "logical", 1
"optimx", "as.data.frame.optimx", 3, 0, 0, "...", 1
"optimx", "axsearch", -1, 0, 0, "list<double[] | class<`data.frame`>>", 1
"optimx", "axsearch", 0, 0, 0, "double[]", 1
"optimx", "axsearch", 1, 0, 0, "class<`function`>", 1
"optimx", "axsearch", 2, 0, 0, "double", 1
"optimx", "axsearch", 3, 0, 0, "double[]", 1
"optimx", "axsearch", 4, 0, 0, "double[]", 1
"optimx", "axsearch", 5, 0, 0, "null", 1
"optimx", "axsearch", 6, 0, 0, "double", 1
"optimx", "axsearch", 7, 0, 0, "...", 1
"optimx", "bmchk", -1, 0, 0, "list<double[] | character[]>", 1
"optimx", "bmchk", -1, 0, 1, "list<double | character>", 1
"optimx", "bmchk", 0, 0, 0, "double[]", 1
"optimx", "bmchk", 1, 0, 0, "double[]", 1
"optimx", "bmchk", 1, 0, 1, "null", 1
"optimx", "bmchk", 2, 0, 0, "double[]", 1
"optimx", "bmchk", 2, 0, 1, "null", 1
"optimx", "bmchk", 3, 0, 0, "double[]", 1
"optimx", "bmchk", 3, 0, 1, "null", 1
"optimx", "bmchk", 4, 0, 0, "double", 1
"optimx", "bmchk", 5, 0, 0, "double", 1
"optimx", "bmchk", 5, 0, 1, "null", 1
"optimx", "bmchk", 6, 0, 0, "any", 1
"optimx", "bmstep", -1, 0, 0, "double", 1
"optimx", "bmstep", 0, 0, 0, "double[]", 1
"optimx", "bmstep", 1, 0, 0, "double[]", 1
"optimx", "bmstep", 2, 0, 0, "double[]", 1
"optimx", "bmstep", 3, 0, 0, "double[]", 1
"optimx", "bmstep", 4, 0, 0, "double[]", 1
"optimx", "bmstep", 5, 0, 0, "double", 1
"optimx", "checksolver", -1, 0, 0, "character", 1
"optimx", "checksolver", -1, 0, 1, "null", 1
"optimx", "checksolver", 0, 0, 0, "character", 1
"optimx", "checksolver", 1, 0, 0, "character[]", 1
"optimx", "checksolver", 2, 0, 0, "any", 1
"optimx", "cnvtst", -1, 0, 0, "list<double[]>", 1
"optimx", "cnvtst", 0, 0, 0, "any", 1
"optimx", "cnvtst", 1, 0, 0, "any", 1
"optimx", "cnvtst", 2, 0, 0, "any", 1
"optimx", "cnvtst", 3, 0, 0, "any", 1
"optimx", "cnvtst", 4, 0, 0, "any", 1
"optimx", "cnvtst", 5, 0, 0, "any", 1
"optimx", "cnvtst", 6, 0, 0, "double", 1
"optimx", "cnvtst", 6, 0, 1, "class<`matrix`>", 1
"optimx", "cnvtst", 7, 0, 0, "double", 1
"optimx", "cnvtst", 8, 0, 0, "double", 1
"optimx", "cnvtst", 9, 0, 0, "any", 1
"optimx", "cnvtst", 10, 0, 0, "double[]", 1
"optimx", "cnvtst", 11, 0, 0, "double", 1
"optimx", "coef.opm", -1, 0, 0, "class<`matrix`>", 1
"optimx", "coef.opm", 0, 0, 0, "class<`data.frame`, `opm`>", 1
"optimx", "coef.opm", 0, 0, 1, "class<`data.frame`, `optimx`>", 1
"optimx", "coef.opm", 1, 0, 0, "...", 1
"optimx", "coef.optimx", -1, 0, 0, "class<`matrix`>", 1
"optimx", "coef.optimx", 0, 0, 0, "class<`data.frame`, `opm`>", 1
"optimx", "coef.optimx", 0, 0, 1, "class<`data.frame`, `optimx`>", 1
"optimx", "coef.optimx", 1, 0, 0, "...", 1
"optimx", "crash", -1, 0, 0, "list<double[]>", 1
"optimx", "crash", 0, 0, 0, "double[]", 1
"optimx", "crash", 1, 0, 0, "double[]", 1
"optimx", "crash", 2, 0, 0, "double[]", 1
"optimx", "ctrldefault", -1, 0, 0, "list<character[] | double[]>", 1
"optimx", "ctrldefault", -1, 0, 1, "list<double | character[]>", 1
"optimx", "ctrldefault", 0, 0, 0, "double", 1
"optimx", "fnchk", -1, 0, 0, "list<double | character>", 1
"optimx", "fnchk", -1, 0, 1, "list<null | double | character>", 1
"optimx", "fnchk", 0, 0, 0, "double[]", 1
"optimx", "fnchk", 1, 0, 0, "class<`function`>", 1
"optimx", "fnchk", 2, 0, 0, "double", 1
"optimx", "fnchk", 3, 0, 0, "...", 1
"optimx", "gHgen", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"optimx", "gHgen", 0, 0, 0, "double[]", 1
"optimx", "gHgen", 1, 0, 0, "any", 1
"optimx", "gHgen", 2, 0, 0, "class<`function`>", 1
"optimx", "gHgen", 2, 0, 1, "null", 1
"optimx", "gHgen", 3, 0, 0, "class<`function`>", 1
"optimx", "gHgen", 3, 0, 1, "null", 1
"optimx", "gHgen", 4, 0, 0, "list<double>", 1
"optimx", "gHgen", 5, 0, 0, "...", 1
"optimx", "gHgenb", -1, 0, 0, "list<double[] | class<`matrix`>>", 1
"optimx", "gHgenb", 0, 0, 0, "double[]", 1
"optimx", "gHgenb", 1, 0, 0, "any", 1
"optimx", "gHgenb", 2, 0, 0, "class<`function`>", 1
"optimx", "gHgenb", 2, 0, 1, "null", 1
"optimx", "gHgenb", 3, 0, 0, "class<`function`>", 1
"optimx", "gHgenb", 3, 0, 1, "null", 1
"optimx", "gHgenb", 4, 0, 0, "null", 1
"optimx", "gHgenb", 5, 0, 0, "null", 1
"optimx", "gHgenb", 6, 0, 0, "null", 1
"optimx", "gHgenb", 7, 0, 0, "list<double>", 1
"optimx", "gHgenb", 8, 0, 0, "...", 1
"optimx", "grback", -1, 0, 0, "double[]", 1
"optimx", "grback", 0, 0, 0, "double[]", 1
"optimx", "grback", 1, 0, 0, "class<`function`>", 1
"optimx", "grback", 2, 0, 0, "null", 1
"optimx", "grback", 3, 0, 0, "environment", 1
"optimx", "grback", 4, 0, 0, "...", 1
"optimx", "grcentral", -1, 0, 0, "double[]", 1
"optimx", "grcentral", 0, 0, 0, "double[]", 1
"optimx", "grcentral", 1, 0, 0, "class<`function`>", 1
"optimx", "grcentral", 2, 0, 0, "null", 1
"optimx", "grcentral", 3, 0, 0, "environment", 1
"optimx", "grcentral", 4, 0, 0, "...", 1
"optimx", "grchk", -1, 0, 0, "logical", 1
"optimx", "grchk", 0, 0, 0, "double[]", 1
"optimx", "grchk", 1, 0, 0, "class<`function`>", 1
"optimx", "grchk", 2, 0, 0, "class<`function`>", 1
"optimx", "grchk", 3, 0, 0, "double", 1
"optimx", "grchk", 4, 0, 0, "double", 1
"optimx", "grchk", 5, 0, 0, "...", 1
"optimx", "grfwd", -1, 0, 0, "double[]", 1
"optimx", "grfwd", 0, 0, 0, "double[]", 1
"optimx", "grfwd", 1, 0, 0, "class<`function`>", 1
"optimx", "grfwd", 2, 0, 0, "null", 1
"optimx", "grfwd", 3, 0, 0, "environment", 1
"optimx", "grfwd", 4, 0, 0, "...", 1
"optimx", "grnd", -1, 0, 0, "double[]", 1
"optimx", "grnd", 0, 0, 0, "double[]", 1
"optimx", "grnd", 1, 0, 0, "class<`function`>", 1
"optimx", "grnd", 2, 0, 0, "...", 1
"optimx", "gtims", -1, 0, 0, "double[]", 1
"optimx", "gtims", 0, 0, 0, "double[]", 1
"optimx", "gtims", 1, 0, 0, "double[]", 1
"optimx", "gtims", 2, 0, 0, "double[]", 1
"optimx", "gtims", 3, 0, 0, "double", 1
"optimx", "gtims", 4, 0, 0, "double", 1
"optimx", "gtims", 5, 0, 0, "class<`function`>", 1
"optimx", "gtims", 6, 0, 0, "...", 1
"optimx", "hesschk", -1, 0, 0, "logical", 1
"optimx", "hesschk", 0, 0, 0, "double[]", 1
"optimx", "hesschk", 1, 0, 0, "class<`function`>", 1
"optimx", "hesschk", 2, 0, 0, "class<`function`>", 1
"optimx", "hesschk", 3, 0, 0, "class<`function`>", 1
"optimx", "hesschk", 4, 0, 0, "double", 1
"optimx", "hesschk", 5, 0, 0, "double", 1
"optimx", "hesschk", 6, 0, 0, "...", 1
"optimx", "hjn", -1, 0, 0, "any", 1
"optimx", "hjn", 0, 0, 0, "double[]", 1
"optimx", "hjn", 1, 0, 0, "any", 1
"optimx", "hjn", 2, 0, 0, "any", 1
"optimx", "hjn", 3, 0, 0, "double[]", 1
"optimx", "hjn", 4, 0, 0, "null", 1
"optimx", "hjn", 4, 0, 1, "double[]", 1
"optimx", "hjn", 5, 0, 0, "list<double>", 1
"optimx", "hjn", 5, 0, 1, "list<character[] | double[]>", 1
"optimx", "hjn", 6, 0, 0, "...", 1
"optimx", "initpc", -1, 0, 0, "list<double[]>", 1
"optimx", "initpc", 0, 0, 0, "double[]", 1
"optimx", "initpc", 1, 0, 0, "double", 1
"optimx", "initpc", 2, 0, 0, "any", 1
"optimx", "kktchk", -1, 0, 0, "list<any>", 1
"optimx", "kktchk", 0, 0, 0, "double[]", 1
"optimx", "kktchk", 1, 0, 0, "class<`function`>", 1
"optimx", "kktchk", 2, 0, 0, "character", 1
"optimx", "kktchk", 2, 0, 1, "class<`function`>", 1
"optimx", "kktchk", 3, 0, 0, "null", 1
"optimx", "kktchk", 4, 0, 0, "null", 1
"optimx", "kktchk", 4, 0, 1, "double[]", 1
"optimx", "kktchk", 5, 0, 0, "null", 1
"optimx", "kktchk", 5, 0, 1, "double[]", 1
"optimx", "kktchk", 6, 0, 0, "logical", 1
"optimx", "kktchk", 7, 0, 0, "list<any>", 1
"optimx", "kktchk", 8, 0, 0, "...", 1
"optimx", "lin1", -1, 0, 0, "list<double[]>", 1
"optimx", "lin1", 0, 0, 0, "double[]", 1
"optimx", "lin1", 1, 0, 0, "double[]", 1
"optimx", "lin1", 2, 0, 0, "double", 1
"optimx", "lin1", 3, 0, 0, "double", 1
"optimx", "lin1", 4, 0, 0, "double[]", 1
"optimx", "lin1", 5, 0, 0, "class<`function`>", 1
"optimx", "lin1", 6, 0, 0, "...", 1
"optimx", "lmqn", -1, 0, 0, "list<double[]>", 1
"optimx", "lmqn", 0, 0, 0, "double[]", 1
"optimx", "lmqn", 1, 0, 0, "class<`function`>", 1
"optimx", "lmqn", 2, 0, 0, "double", 1
"optimx", "lmqn", 3, 0, 0, "double", 1
