package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"optparse", ".convert_to_getopt", -1, 0, 0, "^character[]", 1
"optparse", ".convert_to_getopt", 0, 0, 0, "class<`OptionParserOption`>", 1
"optparse", "filter", -1, 0, 0, "logical[]", 1
"optparse", "filter", 0, 0, 0, "character[]", 1
"optparse", ".get_long_options", -1, 0, 0, "character[]", 1
"optparse", ".get_long_options", 0, 0, 0, "class<`OptionParser`>", 1
"optparse", ".get_option_strings_and_n_arguments", -1, 0, 0, "list<character[] | double[]>", 1
"optparse", ".get_option_strings_and_n_arguments", 0, 0, 0, "class<`OptionParser`>", 1
"optparse", ".is_long_flag", -1, 0, 0, "logical", 1
"optparse", ".is_long_flag", 0, 0, 0, "character", 1
"optparse", ".is_option_string", -1, 0, 0, "logical", 1
"optparse", ".is_option_string", 0, 0, 0, "character", 1
"optparse", ".is_option_string", 1, 0, 0, "any", 1
"optparse", ".is_short_flag", -1, 0, 0, "logical", 1
"optparse", ".is_short_flag", 0, 0, 0, "character", 1
"optparse", "make_option", -1, 0, 0, "class<`OptionParserOption`>", 1
"optparse", "make_option", 0, 0, 0, "character[]", 1
"optparse", "make_option", 1, 0, 0, "character", 1
"optparse", "make_option", 2, 0, 0, "character", 1
"optparse", "make_option", 2, 0, 1, "null", 1
"optparse", "make_option", 3, 0, 0, "null", 1
"optparse", "make_option", 3, 0, 1, "character", 1
"optparse", "make_option", 4, 0, 0, "double", 1
"optparse", "make_option", 4, 0, 1, "null", 1
"optparse", "make_option", 4, 0, 2, "character", 1
"optparse", "make_option", 5, 0, 0, "character", 1
"optparse", "make_option", 6, 0, 0, "character", 1
"optparse", "make_option", 6, 0, 1, "null", 1
"optparse", "make_option", 7, 0, 0, "null", 1
"optparse", "make_option", 8, 0, 0, "null", 1
"optparse", ".option_needs_argument", -1, 0, 0, "logical", 1
"optparse", ".option_needs_argument", 0, 0, 0, "class<`OptionParserOption`>", 1
"optparse", ".option_needs_argument_helper", -1, 0, 0, "logical", 1
"optparse", ".option_needs_argument_helper", 0, 0, 0, "character", 1
"optparse", ".option_needs_argument_helper", 1, 0, 0, "any", 1
"optparse", "OptionParser", -1, 0, 0, "class<`OptionParser`>", 1
"optparse", "OptionParser", 0, 0, 0, "character", 1
"optparse", "OptionParser", 1, 0, 0, "list<class<`OptionParserOption`>>", 1
"optparse", "OptionParser", 2, 0, 0, "logical", 1
"optparse", "OptionParser", 3, 0, 0, "null", 1
"optparse", "OptionParser", 4, 0, 0, "character", 1
"optparse", "OptionParser", 5, 0, 0, "character", 1
"optparse", "parse_args", -1, 0, 0, "list<character | list<logical> | character | double>", 1
"optparse", "parse_args", 0, 0, 0, "class<`OptionParser`>", 1
"optparse", "parse_args", 1, 0, 0, "character[]", 1
"optparse", "parse_args", 2, 0, 0, "any", 1
"optparse", "parse_args", 3, 0, 0, "logical", 1
"optparse", "parse_args", 4, 0, 0, "logical", 1
"optparse", "parse_args2", -1, 0, 0, "list<character | list<logical>>", 1
"optparse", "parse_args2", 0, 0, 0, "class<`OptionParser`>", 1
"optparse", "parse_args2", 1, 0, 0, "character[]", 1
"optparse", "parse_args2", 2, 0, 0, "logical", 1
"optparse", ".requires_argument", -1, 0, 0, "logical", 1
"optparse", ".requires_argument", 0, 0, 0, "character", 1
"optparse", ".requires_argument", 1, 0, 0, "class<`OptionParser`>", 1
