package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"ordinal", ":::", -1, 0, 0, "null", 1
"ordinal", ":::", 0, 0, 0, "struct<`aliased`:struct<`alpha`:logical[], `beta`:logical[]>, `alpha`:double[], `beta`:double[], `call`:language, `coefficients`:double[], `cond.H`:double, `contrasts`:struct<`temp`:character, `contact`:character>, `control`:struct<`method`:character, `sign.location`:character, `sign.nominal`:character, `convergence`:character, `trace`:integer, `maxIter`:integer, `gradTol`:double, `relTol`:double, `tol`:double, `maxLineIter`:integer, `maxModIter`:integer>, `convergence`:struct<`code`:integer, `messages`:character, `alg.message`:character>, `df.residual`:double, `edf`:integer, `fitted.values`:double[], `formula`:language, `formulas`:struct<`formula`:language, `fullForm`:language>, `gradient`:double[], `Hessian`:^double[], `info`:struct<`link`:integer, `threshold`:integer, `nobs`:double, `logLik`:integer, `AIC`:integer, `niter`:integer, `max.grad`:integer, `cond.H`:integer>, `link`:character, `logLik`:double, `maxGradient`:double, `message`:character, `model`:struct<`rating`:integer[], `temp`:integer[], `contact`:integer[]>, `n`:integer, `niter`:double[], `nobs`:double, `start`:null, `terms`:language, `Theta`:^double[], `threshold`:character, `tJac`:^double[], `vcov`:^double[], `xlevels`:struct<`temp`:character[], `contact`:character[]>, `y`:integer[], `y.levels`:character[]>", 1
"ordinal", ":::", 0, 0, 1, "tuple<>", 1
"ordinal", ":::", 0, 0, 2, "struct<`maxIter`:double>", 1
"ordinal", ":::", 0, 0, 3, "struct<`method`:character, `useMatrix`:logical, `ctrl`:struct<`trace`:double, `maxIter`:double, `gradTol`:double, `maxLineIter`:double, `innerCtrl`:character>, `optCtrl`:struct<`trace`:double>, `checkRanef`:character>", 1
"ordinal", ":::", 0, 0, 4, "struct<`link`:integer, `threshold`:integer, `nobs`:double, `logLik`:integer, `AIC`:integer, `niter`:integer, `max.grad`:integer, `cond.H`:integer>", 1
"ordinal", ":::", 0, 0, 5, "language", 1
"ordinal", ":::", 1, 0, 0, "language", 1
"ordinal", ":::", 1, 0, 1, "tuple<>", 1
"ordinal", ":::", 1, 0, 2, "struct<`maxIter`:double>", 1
"ordinal", ":::", 1, 0, 3, "struct<`trace`:double>", 1
"ordinal", ":::", 1, 0, 4, "struct<`formula`:language, `scale`:language, `nominal`:language>", 1
"ordinal", ":::", 1, 0, 5, "struct<`contact`:character>", 1
"ordinal", ":::", 2, 0, 0, "null", 1
"ordinal", ":::", 2, 0, 1, "struct<`temp`:character, `contact`:character, `contact`:character>", 1
