package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"orthopolynom", "chebyshev.c.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.c.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.c.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "chebyshev.c.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.c.polynomials", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.c.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "chebyshev.c.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.c.recurrences", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.c.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.c.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.s.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.s.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.s.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "chebyshev.s.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.s.polynomials", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.s.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "chebyshev.s.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.s.recurrences", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.s.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.s.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.t.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.t.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.t.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "chebyshev.t.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.t.polynomials", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.t.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "chebyshev.t.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.t.recurrences", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.t.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.t.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.u.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.u.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.u.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "chebyshev.u.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.u.polynomials", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.u.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "chebyshev.u.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "chebyshev.u.recurrences", 1, 0, 0, "logical", 1
"orthopolynom", "chebyshev.u.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "chebyshev.u.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "gegenbauer.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "gegenbauer.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "gegenbauer.inner.products", 1, 0, 0, "double", 1
"orthopolynom", "gegenbauer.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "gegenbauer.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "gegenbauer.polynomials", 1, 0, 0, "double", 1
"orthopolynom", "gegenbauer.polynomials", 2, 0, 0, "logical", 1
"orthopolynom", "gegenbauer.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "gegenbauer.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "gegenbauer.recurrences", 1, 0, 0, "double", 1
"orthopolynom", "gegenbauer.recurrences", 2, 0, 0, "logical", 1
"orthopolynom", "gegenbauer.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "gegenbauer.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "gegenbauer.weight", 1, 0, 0, "double", 1
"orthopolynom", "ghermite.h.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "ghermite.h.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "ghermite.h.inner.products", 1, 0, 0, "double", 1
"orthopolynom", "ghermite.h.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "ghermite.h.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "ghermite.h.polynomials", 1, 0, 0, "double", 1
"orthopolynom", "ghermite.h.polynomials", 2, 0, 0, "logical", 1
"orthopolynom", "ghermite.h.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "ghermite.h.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "ghermite.h.recurrences", 1, 0, 0, "double", 1
"orthopolynom", "ghermite.h.recurrences", 2, 0, 0, "logical", 1
"orthopolynom", "ghermite.h.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "ghermite.h.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "ghermite.h.weight", 1, 0, 0, "double", 1
"orthopolynom", "glaguerre.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "glaguerre.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "glaguerre.inner.products", 1, 0, 0, "double", 1
"orthopolynom", "glaguerre.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "glaguerre.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "glaguerre.polynomials", 1, 0, 0, "double", 1
"orthopolynom", "glaguerre.polynomials", 2, 0, 0, "logical", 1
"orthopolynom", "glaguerre.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "glaguerre.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "glaguerre.recurrences", 1, 0, 0, "double", 1
"orthopolynom", "glaguerre.recurrences", 2, 0, 0, "logical", 1
"orthopolynom", "glaguerre.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "glaguerre.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "glaguerre.weight", 1, 0, 0, "double", 1
"orthopolynom", "hermite.he.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "hermite.he.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "hermite.he.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "hermite.he.polynomials", 0, 0, 0, "double", 1
"orthopolynom", "hermite.he.polynomials", 1, 0, 0, "logical", 1
"orthopolynom", "hermite.he.recurrences", -1, 0, 0, "class<`data.frame`>", 1
"orthopolynom", "hermite.he.recurrences", 0, 0, 0, "double", 1
"orthopolynom", "hermite.he.recurrences", 1, 0, 0, "logical", 1
"orthopolynom", "hermite.he.weight", -1, 0, 0, "double[]", 1
"orthopolynom", "hermite.he.weight", 0, 0, 0, "double[]", 1
"orthopolynom", "hermite.h.inner.products", -1, 0, 0, "double[]", 1
"orthopolynom", "hermite.h.inner.products", 0, 0, 0, "double", 1
"orthopolynom", "hermite.h.polynomials", -1, 0, 0, "list<class<`polynomial`>>", 1
"orthopolynom", "hermite.h.polynomials", 0, 0, 0, "double", 1
