package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"pROC", "are.paired", -1, 0, 0, "logical", 1
"pROC", "are.paired", 0, 0, 0, "...", 1
"pROC", "are.paired.roc", -1, 0, 0, "logical", 1
"pROC", "are.paired.roc", 0, 0, 0, "class<`smooth.roc`>", 1
"pROC", "are.paired.roc", 0, 0, 1, "class<`roc`>", 1
"pROC", "are.paired.roc", 1, 0, 0, "class<`roc`>", 1
"pROC", "are.paired.roc", 2, 0, 0, "logical", 1
"pROC", "are.paired.roc", 3, 0, 0, "logical", 1
"pROC", "are.paired.roc", 4, 0, 0, "logical", 1
"pROC", "are.paired.roc", 5, 0, 0, "logical", 1
"pROC", "are.paired.roc", 6, 0, 0, "...", 1
"pROC", "are.paired.smooth.roc", -1, 0, 0, "logical", 1
"pROC", "are.paired.smooth.roc", 0, 0, 0, "class<`smooth.roc`>", 1
"pROC", "are.paired.smooth.roc", 1, 0, 0, "class<`roc`>", 1
"pROC", "are.paired.smooth.roc", 2, 0, 0, "...", 1
"pROC", "auc", -1, 0, 0, "class<`auc`, `numeric`>", 1
"pROC", "auc", 0, 0, 0, "...", 1
"pROC", "auc.default", -1, 0, 0, "class<`auc`, `numeric`>", 1
"pROC", "auc.default", 0, 0, 0, "class<`factor`>", 1
"pROC", "auc.default", 1, 0, 0, "double[]", 1
"pROC", "auc.default", 2, 0, 0, "...", 1
"pROC", "auc.multiclass.roc", -1, 0, 0, "class<`multiclass.auc`, `numeric`>", 1
"pROC", "auc.multiclass.roc", 0, 0, 0, "class<`multiclass.roc`>", 1
"pROC", "auc.multiclass.roc", 1, 0, 0, "...", 1
"pROC", "auc.mv.multiclass.roc", -1, 0, 0, "class<`mv.multiclass.auc`, `numeric`>", 1
"pROC", "auc.mv.multiclass.roc", 0, 0, 0, "class<`mv.multiclass.roc`>", 1
"pROC", "auc.mv.multiclass.roc", 1, 0, 0, "...", 1
"pROC", "auc.roc", -1, 0, 0, "class<`auc`, `numeric`>", 1
"pROC", "auc.roc", 0, 0, 0, "class<`roc`>", 1
"pROC", "auc.roc", 0, 0, 1, "class<`smooth.roc`>", 1
"pROC", "auc.roc", 1, 0, 0, "double[]", 1
"pROC", "auc.roc", 2, 0, 0, "any", 1
"pROC", "auc.roc", 3, 0, 0, "logical", 1
"pROC", "auc.roc", 4, 0, 0, "logical", 1
"pROC", "auc.roc", 5, 0, 0, "...", 1
"pROC", "auc.smooth.roc", -1, 0, 0, "class<`auc`, `numeric`>", 1
"pROC", "auc.smooth.roc", 0, 0, 0, "class<`smooth.roc`>", 1
"pROC", "auc.smooth.roc", 1, 0, 0, "...", 1
"pROC", "cdagger", -1, 0, 0, "double", 1
"pROC", "cdagger", 0, 0, 0, "double", 1
"pROC", "cdagger", 1, 0, 0, "double", 1
"pROC", "cdagger", 2, 0, 0, "double", 1
"pROC", "cddagger", -1, 0, 0, "double", 1
"pROC", "cddagger", 0, 0, 0, "double", 1
"pROC", "ci", -1, 0, 0, "class<`ci`, `ci.auc`, `numeric`>", 1
"pROC", "ci", 0, 0, 0, "...", 1
"pROC", "ci.auc", -1, 0, 0, "class<`ci`, `ci.auc`, `numeric`>", 1
"pROC", "ci.auc", 0, 0, 0, "...", 1
"pROC", "ci.auc.auc", -1, 0, 0, "class<`ci`, `ci.auc`, `numeric`>", 1
"pROC", "ci.auc.auc", 0, 0, 0, "class<`auc`, `numeric`>", 1
"pROC", "ci.auc.auc", 1, 0, 0, "...", 1
"pROC", "ci.auc.bootstrap", -1, 0, 0, "double[]", 1
"pROC", "ci.auc.bootstrap", 0, 0, 0, "class<`roc`>", 1
"pROC", "ci.auc.bootstrap", 1, 0, 0, "double", 1
"pROC", "ci.auc.bootstrap", 2, 0, 0, "double", 1
"pROC", "ci.auc.bootstrap", 3, 0, 0, "logical", 1
