package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"paradox", "assert_id", -1, 0, 0, "character", 1
"paradox", "assert_id", 0, 0, 0, "character", 1
"paradox", "assert_param", -1, 0, 0, "class<`Param`, `ParamDbl`, `R6`>", 1
"paradox", "assert_param", -1, 0, 1, "class<`Param`, `ParamFct`, `R6`>", 1
"paradox", "assert_param", 0, 0, 0, "class<`Param`, `ParamDbl`, `R6`>", 1
"paradox", "assert_param", 0, 0, 1, "class<`Param`, `ParamFct`, `R6`>", 1
"paradox", "assert_param", 1, 0, 0, "character", 1
"paradox", "assert_param", 2, 0, 0, "logical", 1
"paradox", "assert_param", 3, 0, 0, "logical", 1
"paradox", "assert_param_set", -1, 0, 0, "class<`ParamSet`, `R6`>", 1
"paradox", "assert_param_set", 0, 0, 0, "class<`ParamSet`, `R6`>", 1
"paradox", "assert_param_set", 1, 0, 0, "character", 1
"paradox", "assert_param_set", 2, 0, 0, "logical", 1
"paradox", "assert_param_set", 3, 0, 0, "logical", 1
"paradox", "assert_param_set", 4, 0, 0, "logical", 1
"paradox", "generate_design_grid", -1, 0, 0, "class<`Design`, `R6`>", 1
"paradox", "generate_design_grid", 0, 0, 0, "class<`ParamSet`, `R6`>", 1
"paradox", "generate_design_grid", 1, 0, 0, "double", 1
"paradox", "generate_design_grid", 2, 0, 0, "null", 1
"paradox", "generate_design_lhs", -1, 0, 0, "class<`Design`, `R6`>", 1
"paradox", "generate_design_lhs", 0, 0, 0, "class<`ParamSet`, `R6`>", 1
"paradox", "generate_design_lhs", 1, 0, 0, "double", 1
"paradox", "generate_design_lhs", 2, 0, 0, "null", 1
"paradox", "generate_design_random", -1, 0, 0, "class<`Design`, `R6`>", 1
"paradox", "generate_design_random", 0, 0, 0, "class<`ParamSet`, `R6`>", 1
"paradox", "generate_design_random", 1, 0, 0, "double", 1
"paradox", "is_nodefault", -1, 0, 0, "logical", 1
"paradox", "is_nodefault", 0, 0, 0, "class<`NoDefault`, `R6`>", 1
"paradox", "is_nodefault", 0, 0, 1, "double", 1
