package_name, function_name, parameter_position, outer_alternative, inner_alternative, type, count
"parallelMap", "assignInFunctionNamespace", -1, 0, 0, "null", 1
"parallelMap", "assignInFunctionNamespace", 0, 0, 0, "class<`function`>", 1
"parallelMap", "assignInFunctionNamespace", 1, 0, 0, "list<any>", 1
"parallelMap", "assignInFunctionNamespace", 2, 0, 0, "environment", 1
"parallelMap", "checkResultsAndStopWithErrorsMessages", -1, 0, 0, "null", 1
"parallelMap", "checkResultsAndStopWithErrorsMessages", 0, 0, 0, "list<integer>", 1
"parallelMap", "getExtraPackages", -1, 0, 0, "character[]", 1
"parallelMap", "getExtraPackages", 0, 0, 0, "character", 1
"parallelMap", "getPMDefOptCpus", -1, 0, 0, "null", 1
"parallelMap", "getPMDefOptCpus", 0, 0, 0, "any", 1
"parallelMap", "getPMDefOption", -1, 0, 0, "character", 1
"parallelMap", "getPMDefOption", -1, 0, 1, "logical", 1
"parallelMap", "getPMDefOption", -1, 0, 2, "null", 1
"parallelMap", "getPMDefOption", 0, 0, 0, "character", 1
"parallelMap", "getPMDefOption", 1, 0, 0, "character", 1
"parallelMap", "getPMDefOption", 1, 0, 1, "logical", 1
"parallelMap", "getPMDefOption", 1, 0, 2, "null", 1
"parallelMap", "getPMDefOptLevel", -1, 0, 0, "null", 1
"parallelMap", "getPMDefOptLevel", 0, 0, 0, "any", 1
"parallelMap", "getPMDefOptLogging", -1, 0, 0, "logical", 1
"parallelMap", "getPMDefOptLogging", 0, 0, 0, "any", 1
"parallelMap", "getPMDefOptMode", -1, 0, 0, "character", 1
"parallelMap", "getPMDefOptMode", 0, 0, 0, "any", 1
"parallelMap", "getPMDefOptShowInfo", -1, 0, 0, "logical", 1
"parallelMap", "getPMDefOptShowInfo", 0, 0, 0, "any", 1
"parallelMap", "getPMDefOptSocketHosts", -1, 0, 0, "null", 1
"parallelMap", "getPMDefOptSocketHosts", 0, 0, 0, "any", 1
"parallelMap", "getPMDefOptStorageDir", -1, 0, 0, "character", 1
"parallelMap", "getPMDefOptStorageDir", 0, 0, 0, "any", 1
"parallelMap", "getPMOptCpus", -1, 0, 0, "null", 1
"parallelMap", "getPMOption", -1, 0, 0, "character", 1
"parallelMap", "getPMOption", -1, 0, 1, "integer", 1
"parallelMap", "getPMOption", -1, 0, 2, "null", 1
"parallelMap", "getPMOption", -1, 0, 3, "list<any>", 1
"parallelMap", "getPMOption", 0, 0, 0, "character", 1
"parallelMap", "getPMOption", 1, 0, 0, "any", 1
"parallelMap", "getPMOptLoadBalancing", -1, 0, 0, "logical", 1
"parallelMap", "getPMOptLogging", -1, 0, 0, "logical", 1
"parallelMap", "getPMOptMode", -1, 0, 0, "character", 1
"parallelMap", "getPMOptNextMap", -1, 0, 0, "integer", 1
"parallelMap", "getPMOptStatus", -1, 0, 0, "character", 1
"parallelMap", "isModeBatchJobs", -1, 0, 0, "logical", 1
"parallelMap", "isModeBatchtools", -1, 0, 0, "logical", 1
"parallelMap", "isModeLocal", -1, 0, 0, "logical", 1
"parallelMap", "isModeMPI", -1, 0, 0, "logical", 1
"parallelMap", "isModeMulticore", -1, 0, 0, "logical", 1
"parallelMap", "isModeSocket", -1, 0, 0, "logical", 1
"parallelMap", "isStatusStarted", -1, 0, 0, "logical", 1
"parallelMap", "makeMulticoreCluster", -1, 0, 0, "logical", 1
"parallelMap", "makeMulticoreCluster", 0, 0, 0, "logical", 1
"parallelMap", "makeMulticoreCluster", 1, 0, 0, "logical", 1
"parallelMap", "makeMulticoreCluster", 2, 0, 0, "logical", 1
"parallelMap", "makeMulticoreCluster", 3, 0, 0, "logical", 1
"parallelMap", "parallelGetRegisteredLevels", -1, 0, 0, "character[]", 1
"parallelMap", "parallelGetRegisteredLevels", 0, 0, 0, "logical", 1
"parallelMap", "parallelMap", -1, 0, 0, "list<integer>", 1
"parallelMap", "parallelMap", 0, 0, 0, "class<`function`>", 1
"parallelMap", "parallelMap", 1, 0, 0, "...", 1
"parallelMap", "parallelMap", 2, 0, 0, "list<any>", 1
"parallelMap", "parallelMap", 3, 0, 0, "logical", 1
"parallelMap", "parallelMap", 4, 0, 0, "logical", 1
"parallelMap", "parallelMap", 5, 0, 0, "null", 1
"parallelMap", "parallelMap", 6, 0, 0, "null", 1
"parallelMap", "parallelMap", 7, 0, 0, "null", 1
"parallelMap", "parallelStart", -1, 0, 0, "null", 1
"parallelMap", "parallelStart", 0, 0, 0, "any", 1
"parallelMap", "parallelStart", 1, 0, 0, "any", 1
"parallelMap", "parallelStart", 2, 0, 0, "any", 1
"parallelMap", "parallelStart", 3, 0, 0, "list<any>", 1
"parallelMap", "parallelStart", 4, 0, 0, "list<any>", 1
"parallelMap", "parallelStart", 5, 0, 0, "any", 1
"parallelMap", "parallelStart", 6, 0, 0, "any", 1
"parallelMap", "parallelStart", 7, 0, 0, "any", 1
"parallelMap", "parallelStart", 8, 0, 0, "logical", 1
"parallelMap", "parallelStart", 9, 0, 0, "any", 1
"parallelMap", "parallelStart", 10, 0, 0, "logical", 1
"parallelMap", "parallelStart", 11, 0, 0, "...", 1
"parallelMap", "parallelStop", -1, 0, 0, "null", 1
"parallelMap", "showStartupMsg", -1, 0, 0, "null", 1
"parallelMap", "showStartupMsg", 0, 0, 0, "character", 1
"parallelMap", "showStartupMsg", 1, 0, 0, "any", 1
"parallelMap", "showStartupMsg", 2, 0, 0, "any", 1
